structure_name,species,source_atlas,category,expected_homba_id,expected_homba_name,coverage_status,notes
P1 Mesencephalic Reticulum,Macaque,SARM,gray_matter,HOMBA:12767,mesencephalic trigeminal tract,unmapped,auto: RCS top-1 score=0.406
Parabigeminal Nucleus,Macaque,SARM,gray_matter,HOMBA:12312,parabigeminal nucleus,mapped,auto: RCS top-1 score=1.000
Paraflocculus,Macaque,SARM,gray_matter,HOMBA:AA30421,lobule IXb (paraflocculus),mapped,auto: RCS top-1 score=1.000
Parahippocampal gyrus,Macaque,mHOA2,gray_matter,HOMBA:12162,parahippocampal gyrus,mapped,auto: RCS top-1 score=1.000
Paralaminar amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10370,paralaminar nucleus of amygdala,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.752
Paramedian Lobule,Macaque,SARM,gray_matter,HOMBA:AA30417,"lobule VIIIA (biventral lobule, part 1, paramedian lobule)",mapped,auto: RCS top-1 score=1.000
Paratenial-paraventral-thalamus,Macaque,SARM,gray_matter,HOMBA:AA30265,regions of thalamus,approximate,auto: RCS top-1 score=0.628
Paraventricular Anterior Thalamus,Macaque,SARM,ventricle,HOMBA:AA30274,dorsal midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.660
Paraventricular hypothalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10457,paraventricular nucleus of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.718
Paraventricular Hypothalamus,Macaque,SARM,ventricle,HOMBA:10467,hypothalamus,approximate,auto: RCS top-1 score=0.658
Paraventricular Posterior Thalamus,Macaque,SARM,ventricle,HOMBA:13046,periventricular area of posterior thalamus,approximate,auto: RCS top-1 score=0.813
Parietal opercular cortex,Macaque,mHOA2,gray_matter,HOMBA:10208,parietal cortex,approximate,auto: RCS top-1 score=0.698
Parvicellular and Intermediate Reticular Nuclei,Macaque,SARM,gray_matter,HOMBA:12620,intermediate reticular nucleus,mapped,auto: RCS top-1 score=0.904
Peduncular lateral hypothalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:13070,magnocellular nucleus of lateral hypothalamic area,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.760
Peduncular Lateral Hypothalamus,Macaque,SARM,gray_matter,HOMBA:13337,accessory secretory cells of lateral hypothalamus,approximate,auto: RCS top-1 score=0.631
Pedunculopontine Nucleus,Macaque,SARM,gray_matter,HOMBA:12406,pontine nucleus,approximate,auto: RCS top-1 score=0.740
Peri-basal region,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10349,basal forebrain,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.568
Periaqueductal gray,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:AA30359,periaqueductal gray region,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.940
Perifornical nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:11578,perifornical nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Pineal gland,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10460,pineal body,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Piriform cortex,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10311,piriform cortex,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Pontine nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12406,pontine nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Pontine Reticulum Caudal,Macaque,SARM,gray_matter,HOMBA:12493,"pontine reticular nucleus, caudal division",approximate,auto: RCS top-1 score=0.718
Pontine Reticulum Oral,Macaque,SARM,gray_matter,HOMBA:12494,"pontine reticular nucleus, rostral division",approximate,auto: RCS top-1 score=0.733
"Postcentral gyrus, lateral",Macaque,mHOA2,gray_matter,HOMBA:12132,postcentral gyrus,approximate,auto: RCS top-1 score=0.754
"Postcentral gyrus, medial",Macaque,mHOA2,gray_matter,HOMBA:12132,postcentral gyrus,approximate,auto: RCS top-1 score=0.754
Posterior Commissural Nuclei,Macaque,SARM,gray_matter,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),approximate,auto: RCS top-1 score=0.788
Posterior Commissure,Macaque,SARM,white_matter,HOMBA:10567,posterior commissure,mapped,auto: RCS top-1 score=1.000
Posterior hypothalamic nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10503,posterior hypothalamic nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Posterior Interposed Cerebellar Nucleus,Macaque,SARM,gray_matter,HOMBA:12844,posterior lobe of cerebellar cortex,approximate,auto: RCS top-1 score=0.665
Posterior Interstitial Nucleus,Macaque,SARM,gray_matter,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),approximate,auto: RCS top-1 score=0.821
Posterior interstitial nucleus of the anterior commissure,Macaque,Hartig2020_SARM,gray_matter,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.957
Posterior pituitary,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.788
Pre-supplementary motor area,Macaque,mHOA2,gray_matter,HOMBA:AA30012,medial division of area 6 (supplementary motor area),approximate,auto: RCS top-1 score=0.737
"Precentral gyrus, lateral",Macaque,mHOA2,gray_matter,HOMBA:12114,precentral gyrus,approximate,auto: RCS top-1 score=0.752
"Precentral gyrus, medial/supplementary motor area",Macaque,mHOA2,gray_matter,HOMBA:AA30012,medial division of area 6 (supplementary motor area),approximate,auto: RCS top-1 score=0.827
Precommissural nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12287,precommissural nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Precuneiform Nucleus,Macaque,SARM,gray_matter,HOMBA:12240,cuneiform nucleus,approximate,auto: RCS top-1 score=0.773
Prefornical Hypothalamus,Macaque,SARM,gray_matter,HOMBA:10467,hypothalamus,approximate,auto: RCS top-1 score=0.688
Prelunate gyrus,Macaque,mHOA2,gray_matter,HOMBA:AA30555,prelunate gyrus,mapped,auto: RCS top-1 score=1.000
"Premotor cortex, dorsal",Macaque,mHOA2,gray_matter,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",approximate,auto: RCS top-1 score=0.754
"Premotor cortex, ventral",Macaque,mHOA2,gray_matter,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",approximate,auto: RCS top-1 score=0.742
Preoptic area,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10468,preoptic region of HTH,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.815
Prepositus Nucleus,Macaque,SARM,gray_matter,HOMBA:AA30453,other nuclei in dorsal medulla,approximate,auto: RCS top-1 score=0.779
Prerubral Field,Macaque,SARM,gray_matter,HOMBA:AA30325,prerubral field (field H3),mapped,auto: RCS top-1 score=1.000
Principal Trigeminal Nucleus,Macaque,SARM,gray_matter,HOMBA:12444,principal sensory nucleus of trigeminal nerve,mapped,auto: RCS top-1 score=1.000
Putamen,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10338,putamen (lateroventral division of the CP),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Pyramidal Tract,Macaque,SARM,white_matter,HOMBA:12773,pyramidal tract,mapped,auto: RCS top-1 score=1.000
Pyramidal Tract Decussation,Macaque,SARM,white_matter,HOMBA:12772,pyramidal decussation,approximate,auto: RCS top-1 score=0.895
Raphe Magnus Nucleus,Macaque,SARM,gray_matter,HOMBA:12642,raphe magnus nucleus,mapped,auto: RCS top-1 score=1.000
Raphe Obscurus Nucleus,Macaque,SARM,gray_matter,HOMBA:12643,raphe obscurus nucleus,mapped,auto: RCS top-1 score=1.000
Red nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12247,red nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Reticular thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10464,reticular nucleus of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.740
Reticular Thalamus,Macaque,SARM,gray_matter,HOMBA:10464,reticular nucleus of thalamus,approximate,auto: RCS top-1 score=0.833
Reticulotegmentum,Macaque,SARM,gray_matter,HOMBA:12497,reticulotegmental nucleus,unmapped,auto: RCS top-1 score=0.388
Retro-mammillary nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10498,mammillary nuclear complex,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.857
Retroisthmic Nucleus,Macaque,SARM,gray_matter,HOMBA:12289,retrorubral field (retroisthmic nucleus),mapped,auto: RCS top-1 score=1.000
Retromammillary Hypothalamus,Macaque,SARM,gray_matter,HOMBA:10467,hypothalamus,approximate,auto: RCS top-1 score=0.664
Retrorubral Field,Macaque,SARM,gray_matter,HOMBA:12289,retrorubral field (retroisthmic nucleus),mapped,auto: RCS top-1 score=1.000
Reuniens-rhomboid-xiphoid Thalamus,Macaque,SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,unmapped,auto: RCS top-1 score=0.571
Saginum Nucleus,Macaque,SARM,gray_matter,HOMBA:12313,sagulum nucleus (nucleus sagulum),approximate,auto: RCS top-1 score=0.611
Sensory Root of the Trigeminal Nerve,Macaque,SARM,white_matter,HOMBA:12865,root of trigeminal nerve,mapped,auto: RCS top-1 score=0.970
Septimbrial nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:13032,septofimbrial nucleus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.673
Septum and diagonal band,Macaque,Hartig2020_SARM,gray_matter,HOMBA:12034,diagonal band,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.854
Septum Diagonal Band,Macaque,SARM,gray_matter,HOMBA:12034,diagonal band,approximate,auto: RCS top-1 score=0.857
Simple Lobule,Macaque,SARM,gray_matter,HOMBA:AA30408,lobule VI (simple lobule),mapped,auto: RCS top-1 score=1.000
Solitary Tract Nucleus,Macaque,SARM,white_matter,HOMBA:12783,solitary tract,approximate,auto: RCS top-1 score=0.854
Spinal Trigeminal Nucleus Caudal,Macaque,SARM,gray_matter,HOMBA:12573,"spinal trigeminal nucleus, caudal division",mapped,auto: RCS top-1 score=1.000
Spinal Trigeminal Nucleus Intermediate,Macaque,SARM,gray_matter,HOMBA:12436,afferent nuclei of cranial nerves in pons,approximate,auto: RCS top-1 score=0.781
Spinal Trigeminal Nucleus Oral,Macaque,SARM,gray_matter,HOMBA:12447,"spinal nucleus of trigeminal nerve, rostral subnucleus",approximate,auto: RCS top-1 score=0.848
Stria medullaris,Macaque,Hartig2020_SARM,white_matter,HOMBA:10590,stria medullaris of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.783
"Striate cortex, dorsolateral, inferior",Macaque,mHOA2,white_matter,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",approximate,auto: RCS top-1 score=0.636
"Striate cortex, dorsolateral, superior",Macaque,mHOA2,white_matter,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",approximate,auto: RCS top-1 score=0.636
"Striate cortex, medial",Macaque,mHOA2,white_matter,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",approximate,auto: RCS top-1 score=0.752
Subcallosal cortex,Macaque,mHOA2,gray_matter,HOMBA:10281,subgenual (subcallosal) cingulate cortex (area 25),approximate,auto: RCS top-1 score=0.663
Subceruleus,Macaque,SARM,gray_matter,HOMBA:12500,subcoeruleus nucleus,unmapped,auto: RCS top-1 score=0.396
Subicular complex,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:266441673,subicular complex,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Subparafascicular Nucleus,Macaque,SARM,gray_matter,HOMBA:13054,subparafascicular nucleus of thalamus,approximate,auto: RCS top-1 score=0.857
Subparafascicular parvocellular thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.691
Substantia nigra,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12251,substantia nigra,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Subthalamic nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10466,subthalamic nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Superior Cerebellar Peduncle,Macaque,SARM,white_matter,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),mapped,auto: RCS top-1 score=1.000
Superior Cerebellar Peduncle Decussation,Macaque,SARM,white_matter,HOMBA:12337,decussation of superior cerebellar peduncle,mapped,auto: RCS top-1 score=1.000
Superior colliculus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12292,superior colliculus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Superior frontal gyrus,Macaque,mHOA2,gray_matter,HOMBA:12115,superior frontal gyrus,mapped,auto: RCS top-1 score=1.000
"Superior frontal gyrus, medial",Macaque,mHOA2,gray_matter,HOMBA:12115,superior frontal gyrus,approximate,auto: RCS top-1 score=0.772
Superior Olive,Macaque,SARM,gray_matter,HOMBA:12470,medial superior olivary nucleus,approximate,auto: RCS top-1 score=0.735
Superior temporal gyrus,Macaque,mHOA2,gray_matter,HOMBA:12140,superior temporal gyrus,mapped,auto: RCS top-1 score=1.000
Supra Geniculate,Macaque,SARM,gray_matter,HOMBA:AA30295,lateral geniculate nuclear complex,unmapped,auto: RCS top-1 score=0.428
Supraoptic Hypothalamus,Macaque,SARM,gray_matter,HOMBA:10467,hypothalamus,approximate,auto: RCS top-1 score=0.704
Supraoptic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10481,supraoptic nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
"Supratemporal plane, anterior",Macaque,mHOA2,gray_matter,HOMBA:10559,anterior commissure,unmapped,auto: RCS top-1 score=0.590
"Supratemporal plane, posterior",Macaque,mHOA2,gray_matter,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,approximate,auto: RCS top-1 score=0.639
Tail of caudate nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10337,tail of caudate nucleus (caudolateral division of the CP),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Temporal pole,Macaque,mHOA2,gray_matter,HOMBA:12146,temporal pole (temporopolar cortex),mapped,auto: RCS top-1 score=1.000
Third ventricle,Macaque,Hartig2020_SARM,ventricle,HOMBA:10602,third ventricle,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Transverse Fibers,Macaque,SARM,gray_matter,HOMBA:AA30879,transverse fibers,mapped,auto: RCS top-1 score=1.000
Trapezoid Bundle Region,Macaque,SARM,gray_matter,HOMBA:12796,trapezoid body,unmapped,auto: RCS top-1 score=0.536
Ventral Anterior Thalamus,Macaque,SARM,gray_matter,HOMBA:10417,ventral anterior nucleus of thalamus,mapped,auto: RCS top-1 score=0.901
Ventral cortical amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10373,cortical nucleus of amygdala,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.772
Ventral endopiriform claustrum,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10348,ventral claustrum,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.814
Ventral Lateral Anterior Thalamus,Macaque,SARM,gray_matter,HOMBA:10420,ventral lateral nucleus of thalamus,approximate,auto: RCS top-1 score=0.824
Ventral Lateral Posterodorsal Thalamus,Macaque,SARM,gray_matter,HOMBA:10420,ventral lateral nucleus of thalamus,approximate,auto: RCS top-1 score=0.766
Ventral Lateral Posteroventral Thalamus,Macaque,SARM,gray_matter,HOMBA:10420,ventral lateral nucleus of thalamus,approximate,auto: RCS top-1 score=0.775
Ventral Lateral X Thalamus,Macaque,SARM,gray_matter,HOMBA:10420,ventral lateral nucleus of thalamus,approximate,auto: RCS top-1 score=0.827
Ventral Medial Thalamus,Macaque,SARM,gray_matter,HOMBA:10427,ventral medial nucleus of thalamus,approximate,auto: RCS top-1 score=0.891
Ventral pallidum,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10345,ventral pallidum,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Ventral tegmental area,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12261,ventral tegmental area,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Ventrolateral Tegmentum,Macaque,SARM,gray_matter,HOMBA:12416,pontine tegmentum,unmapped,auto: RCS top-1 score=0.507
Ventrolateral thalamic nucleus (posterodorsal part),Macaque,Hartig2020_SARM,gray_matter,HOMBA:12286,posterodorsal tegmental nucleus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.644
Ventrolateral thalamic nucleus (posteroventral part),Macaque,Hartig2020_SARM,gray_matter,HOMBA:146034754,ventral subdivision of PuC,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.661
Ventromedial hypothalamic nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10488,ventromedial hypothalamic nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Ventromedial occipital cortex,Macaque,mHOA2,gray_matter,HOMBA:10270,extrastriate occipital cortex,approximate,auto: RCS top-1 score=0.864
Ventromedial Posterior+basal Thalamus,Macaque,SARM,gray_matter,HOMBA:10488,ventromedial hypothalamic nucleus,unmapped,auto: RCS top-1 score=0.404
Ventromedial thalamic nucleus (posterior and basal),Macaque,Hartig2020_SARM,gray_matter,HOMBA:10488,ventromedial hypothalamic nucleus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.615
Ventroposterior inferior thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.618
Ventroposterior Inferior Thalamus,Macaque,SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,unmapped,auto: RCS top-1 score=0.502
Ventroposterior medial and lateral thalamic nuclei,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10392,anterior nuclear complex of thalamus,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.481
Ventroposterior Medial and Lateral Thalamus,Macaque,SARM,gray_matter,HOMBA:10420,ventral lateral nucleus of thalamus,unmapped,auto: RCS top-1 score=0.591
Vestibular Nucleus,Macaque,SARM,gray_matter,HOMBA:12448,vestibular nuclei in pons,mapped,auto: RCS top-1 score=1.000
Vestibulochoclear Nerve,Macaque,SARM,white_matter,HOMBA:12868,root of vestibulocochlear nerve,unmapped,auto: RCS top-1 score=0.585
Visceral Motor Nuclei,Macaque,SARM,gray_matter,HOMBA:12420,facial nucleus,unmapped,auto: RCS top-1 score=0.509
Zona incerta and H fields,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10463,zona incerta,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.715
Zona Incerta and Lenticular Fascicles,Macaque,SARM,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.637
4th ventricle,Rat,WaxholmSpace_v4,ventricle,HOMBA:AA30475,olfactory recess (ventricle) and ependyma,approximate,auto: RCS top-1 score=0.815
A11 dopamine cell group,Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30843,A8 dopamine cell group,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.776
A13 dopamine cell group,Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30843,A8 dopamine cell group,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.776
Acoustic striae,Rat,WaxholmSpace_v4,white_matter,HOMBA:266441583,acoustic radiation,unmapped,auto: RCS top-1 score=0.547
Agranular insular cortex dorsal area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10328,agranular insular cortex (area Iag),approximate,auto: RCS top-1 score=0.772
"Agranular insular cortex, posterior area",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10328,agranular insular cortex (area Iag),approximate,auto: RCS top-1 score=0.770
"Agranular insular cortex, ventral area",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10328,agranular insular cortex (area Iag),approximate,auto: RCS top-1 score=0.772
Alveus of the hippocampus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30093,hippocampus,approximate,auto: RCS top-1 score=0.650
Amygdaloid area (unspecified),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10557,forebrain white matter (unspecified region),approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.680
"Amygdaloid area, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30222,regions of amygdaloid complex,unmapped,auto: RCS top-1 score=0.577
Angular thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.705
"Anterior commissure, anterior limb",Rat,WaxholmSpace_v4,white_matter,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),approximate,auto: RCS top-1 score=0.716
"Anterior commissure, intrabulbar part",Rat,WaxholmSpace_v4,white_matter,HOMBA:10559,anterior commissure,approximate,auto: RCS top-1 score=0.750
"Anterior commissure, posterior limb",Rat,WaxholmSpace_v4,white_matter,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),approximate,auto: RCS top-1 score=0.778
Anterior olfactory area,Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10308,anterior olfactory nuclear complex,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.635
Anterodorsal thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.690
Anteromedial thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.718
"Anteroventral thalamic nucleus, dorsomedial part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.604
"Anteroventral thalamic nucleus, ventrolateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,unmapped,auto: RCS top-1 score=0.598
Ascending fibers of the facial nerve,Rat,WaxholmSpace_v4,white_matter,HOMBA:12729,ascending fibers of the facial nerve in pons,mapped,auto: RCS top-1 score=1.000
"Basal forebrain region, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10349,basal forebrain,approximate,auto: RCS top-1 score=0.750
Bed nucleus of the stria terminalis,Rat,WaxholmSpace_v4,white_matter,HOMBA:10384,bed nucleus of stria terminalis,mapped,auto: RCS top-1 score=0.947
Brachium of the superior colliculus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12328,brachium of superior colliculus,mapped,auto: RCS top-1 score=0.949
"Brainstem, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10557,forebrain white matter (unspecified region),unmapped,auto: RCS top-1 score=0.583
CA1 (hippocampus),Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10297,CA1 region of hippocampus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Caudate putamen,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:10338,putamen (lateroventral division of the CP),approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.701
Central canal,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12826,central canal of medulla oblongata,approximate,auto: RCS top-1 score=0.760
Central lateral thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10444,central lateral nucleus of thalamus,approximate,auto: RCS top-1 score=0.804
Central medial thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10445,central medial nucleus of thalamus,approximate,auto: RCS top-1 score=0.803
"Cerebellum, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10656,cerebellum,approximate,auto: RCS top-1 score=0.656
Cingulate area 1,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10217,cingulate subdivision of area 5,unmapped,auto: RCS top-1 score=0.503
Cingulate area 2,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10217,cingulate subdivision of area 5,unmapped,auto: RCS top-1 score=0.503
Claustrum,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:10346,claustrum,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Cochlea,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12437,cochlear nuclei,unmapped,auto: RCS top-1 score=0.462
Cochlear nerve,Rat,WaxholmSpace_v4,white_matter,HOMBA:12868,root of vestibulocochlear nerve,approximate,auto: RCS top-1 score=0.684
Commissural stria terminalis,Rat,WaxholmSpace_v4,white_matter,HOMBA:AA30882,commissural branch of stria terminalis,approximate,auto: RCS top-1 score=0.795
Commissure of the superior colliculus,Rat,WaxholmSpace_v4,white_matter,HOMBA:AA30487,commissure of superior colliculus,mapped,auto: RCS top-1 score=0.951
Cornu ammonis 1,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10296,hippocampal proper (Cornu Ammonis),approximate,auto: RCS top-1 score=0.857
Cornu ammonis 2,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10296,hippocampal proper (Cornu Ammonis),approximate,auto: RCS top-1 score=0.857
Cornu ammonis 3,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10296,hippocampal proper (Cornu Ammonis),approximate,auto: RCS top-1 score=0.857
Corpus callosum and associated subcortical white matter,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30482,white matter of brain,unmapped,auto: RCS top-1 score=0.598
Corticofugal tract and corona radiata,Rat,WaxholmSpace_v4,white_matter,HOMBA:12030,corona radiata,approximate,auto: RCS top-1 score=0.655
Deeper layers of the superior colliculus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12292,superior colliculus,unmapped,auto: RCS top-1 score=0.321
Dentate gyrus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10295,dentate gyrus,mapped,auto: RCS top-1 score=1.000
"Dorsal cochlear nucleus, deep core",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12438,dorsal cochlear nucleus,unmapped,auto: RCS top-1 score=0.397
"Dorsal cochlear nucleus, fusiform and granule layer",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12438,dorsal cochlear nucleus,unmapped,auto: RCS top-1 score=0.377
"Dorsal cochlear nucleus, molecular layer",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12438,dorsal cochlear nucleus,approximate,auto: RCS top-1 score=0.820
Dorsal lateral geniculate nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),mapped,auto: RCS top-1 score=1.000
Dorsolateral orbital area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30533,orbital gyri,unmapped,auto: RCS top-1 score=0.528
