structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence
CeA PKCδ+ neurons,central amygdala PKCδ+ neurons,Mouse,PM38977300,4,1,non_neocortex,seed_remap,high,1.0
central amygdaloid nucleus,central amygdaloid nucleus,Mouse,PM39647176,4,4,non_neocortex,seed_remap,high,1.0
cerebellar motor regions,,Human,PM40750361,4,1,non_neocortex,seed_remap,high,1.0
cerebral cortex layer V,cerebral cortex layer V,Mouse,PM33484574,4,3,neocortex,flash,high,0.95
CF,climbing fiber,Mouse,PM41287930,4,4,other,seed_remap,high,1.0
CFA CSN,,,PM38551963,4,1,neocortex,flash,medium,0.6667
Cg1/2,cingulate cortex,Mouse,PM38982042,4,3,non_neocortex,flash,medium,0.75
ChAT+,cholinergic interneurons,Mouse,PM37452171,4,1,other,seed_remap,high,1.0
CHv,caudate ventral,Human,PM34609038,4,1,non_neocortex,seed_remap,high,1.0
CIN,cholinergic interneurons,Mouse,PM41847040,4,2,other,seed_remap,high,1.0
Cl_b,,,PM32949023,4,1,non_neocortex,seed_remap,high,1.0
Cluster 3,,,PM35410869,4,1,other,seed_remap,high,1.0
Cluster 4,,,PM35410869,4,1,other,seed_remap,high,1.0
Cluster 5,,,PM35410869,4,1,other,seed_remap,high,1.0
CN neurons,cuneate nucleus neurons,Mouse,PM34853173,4,2,non_neocortex,seed_remap,high,1.0
cochlear nerve apex fibers,cochlear nerve apex fibers,Mouse,PM37055006,4,1,other,seed_remap,high,1.0
contralateral frontal cortex,contralateral frontal cortex (motor and nonmotor regions),,PM34727171,4,2,neocortex,flash,high,0.95
contralateral ICc,"contralateral inferior colliculus, central nucleus",Mouse,PM41317214,4,2,non_neocortex,seed_remap,high,1.0
contralateral MEC,medial entorhinal cortex,Mouse,PM33324173,4,1,non_neocortex,seed_keyword,high,1.0
contralesional motor cortex,contralesional motor cortex,Rat,PM41043679,4,4,neocortex,flash,high,0.95
cortical pyramidal cells,,,PM36309684,4,1,other,flash,medium,0.7667
corticospinal,corticospinal,Mouse,PM35843371,4,4,other,seed_remap,high,1.0
cPAG,caudal part of the PAG,Mouse,PM42126073,4,1,non_neocortex,seed_remap,high,1.0
crus I,crus I,Mouse,PM34551311,4,3,non_neocortex,seed_remap,high,1.0
CSNBC-lat,corticospinal neurons residing outside classic motor cortex,Mouse,PM34686337,4,2,other,flash,medium,0.8667
D1 neurons,D1 neurons,Mouse,PM34168539,4,1,other,seed_remap,high,1.0
D1 SPN,dopamine receptor 1-expressing medium spiny neuron,Mouse,PM39721025,4,2,non_neocortex,seed_remap,high,1.0
D2 SPN,dopamine receptor 2-expressing medium spiny neuron,Mouse,PM39721025,4,2,non_neocortex,seed_remap,high,1.0
DCP,dorsal caudal putamen,Human,PM41602988,4,3,non_neocortex,seed_remap,high,1.0
DGCs,Dentate Gyrus Cells,Mouse,PM36040301,4,2,non_neocortex,seed_remap,high,1.0
dHP CA1,dorsal hippocampus CA1,Mouse,PM39218973,4,1,non_neocortex,seed_remap,high,1.0
DL,dorsal lateral nucleus,Mouse,PM37553864,4,3,non_neocortex,seed_remap,high,1.0
dlPAG,dorsolateral periaqueductal gray,Rat,PM38358538,4,3,non_neocortex,seed_remap,high,1.0
DMHVglut2,dorsomedial hypothalamus glutamate 2,Mouse,PM39041039,4,2,non_neocortex,seed_remap,high,1.0
dmIns,dorsomedial insula,Human,PM41131362,4,1,neocortex,flash,medium,0.6333
dmNAcSh,dorsomedial nucleus accumbens shell,,PM34032911,4,1,non_neocortex,seed_remap,high,1.0
DMX,dorsal motor nucleus of the vagus nerve,Rat,PM33495245,4,3,non_neocortex,seed_remap,high,1.0
dorsal striatal CINs,cholinergic interneurons,Mouse,PM41870239,4,1,non_neocortex,seed_remap,high,1.0
dorsomedial division of the anterior BNST,,Mouse,PM34916896,4,1,non_neocortex,seed_remap,high,1.0
dorsomedial hypothalamus,dorsomedial hypothalamus,Mouse,PM41604462,4,4,non_neocortex,seed_remap,high,1.0
DpG,deep gray layer,,PM35354345,4,2,non_neocortex,seed_remap,high,1.0
DpMe,deep mesencephalic nucleus,Mouse,PM41193254,4,4,non_neocortex,seed_remap,high,1.0
dPul,,Macaque,PM34147628,4,1,non_neocortex,seed_remap,high,1.0
entopallium,entopallium,,PM33483632,4,1,other,seed_remap,high,1.0
ETd,direct neurogenesis-derived extratelencephalic neurons,Mouse,PM41887213,4,2,other,seed_remap,high,1.0
EUS,external urethral sphincter,Rat,PM35018366,4,1,other,seed_remap,high,1.0
EVA,early visual areas,Human,PM41279862,4,1,neocortex,flash,high,0.95
EVN,Efferent Vestibular Nucleus,Mouse,PM35153679,4,2,non_neocortex,seed_remap,high,1.0
extensor carpi radialis muscle,extensor carpi radialis muscle,Human,PM39951554,4,3,other,seed_remap,high,1.0
extrastriate cortex,extrastriate cortex,Macaque,PM34147628,4,3,neocortex,flash,high,0.9633
F1R neurons,F1R neurons,,PM32639229,4,1,other,flash,high,0.95
FLS1,forelimb primary somatosensory cortex,Mouse,PM40415372,4,1,neocortex,flash,high,0.98
FO,first-order,Mouse,PM34758329,4,2,ambiguous,flash,medium,0.4333
frontal and parietal cortex,frontal and parietal cortex,Human,PM41211046,4,2,neocortex,flash,high,0.95
FS,fast-spiking interneurons,,PM37922329,4,2,other,seed_remap,high,1.0
gastrointestinal tract,gastrointestinal tract,Mouse,PM37425814,4,3,other,seed_remap,high,1.0
GBM,glioblastoma cells,Human,PM41278684,4,2,other,seed_remap,high,1.0
Gcka,,Mouse,PM35303367,4,1,other,seed_remap,high,1.0
gigantocellular reticular nucleus,gigantocellular reticular nucleus,Mouse,PM38370676,4,4,non_neocortex,seed_remap,high,1.0
globus pallidus,globus pallidus,Rat,PM40795854,4,4,non_neocortex,seed_remap,high,1.0
globus pallidus externus,globus pallidus externus,Human,PM38551963,4,3,non_neocortex,seed_remap,high,1.0
granular retrosplenial cortex,granular retrosplenial cortex,Rat,PM34301721,4,2,non_neocortex,flash,medium,0.6333
hilar mossy cells,hilar mossy cells,Mouse,PM42136574,4,3,non_neocortex,seed_remap,high,1.0
HY,hypothalamus,Mouse,PM42211123,4,4,non_neocortex,seed_remap,high,1.0
hypoglossal nucleus,hypoglossal nucleus,Mouse,PM37772793,4,4,non_neocortex,seed_remap,high,1.0
iFezf2- and iFezf2/iLmo4-electroporated neurons,,,PM37552690,4,1,other,seed_remap,high,1.0
IFGOp,,,PM41928907,4,1,neocortex,flash,high,0.85
IFGOrb,,,PM41928907,4,1,neocortex,flash,high,0.85
IFGTri,,,PM41928907,4,1,neocortex,flash,high,0.85
IG,intermediate gray,Rat,PM34042587,4,2,non_neocortex,seed_remap,high,1.0
iHC,intermediate hippocampus,Rat,PM42327025,4,3,non_neocortex,seed_remap,high,1.0
III/IV,oculomotor and trochlear nuclei,Rat,PM36441755,4,2,non_neocortex,seed_remap,high,1.0
iIPN,intermediate subnucleus of the interpeduncular nucleus,,PM41236357,4,1,non_neocortex,seed_remap,high,1.0
IN,interneurons,Human,PM33446742,4,3,other,seed_remap,high,1.0
infralimbic mPFC,infralimbic subregion of medial prefrontal cortex,Mouse,PM41533508,4,2,neocortex,flash,medium,0.8833
intermediate CA1,intermediate CA1,Mouse,PM41533508,4,2,non_neocortex,seed_remap,high,1.0
IOM C,"inferior olivary nucleus, medial subnucleus, C subdivision",,PM37398093,4,1,non_neocortex,seed_remap,high,1.0
IPAC,interstitial nucleus of the posterior limb of the anterior commissure,Mouse,PM40464272,4,3,non_neocortex,seed_remap,high,1.0
ipRGC,intrinsically photosensitive retinal ganglion cell,Mouse,PM36385954,4,3,other,seed_remap,high,1.0
ipsilateral frontal cortex,,,PM34727171,4,2,neocortex,flash,high,1.0
iRN,inhibitory recipient neurons,Mouse,PM37205722,4,2,other,seed_remap,high,1.0
ITNs,intratelencephalic neurons,Mouse,PM39091827,4,3,other,seed_remap,high,1.0
ITPlxnD1,intratelencephalic neurons PlxnD1,Mouse,PM36690901,4,1,other,flash,high,1.0
KCs,Kenyon cells,,PM38841209,4,1,other,seed_remap,high,1.0
KNDy neurons,,Mouse,PM34346492,4,1,non_neocortex,seed_remap,high,1.0
L2 LEC,layer 2 lateral entorhinal cortex,Mouse,PM36562467,4,1,non_neocortex,seed_keyword,high,1.0
L5 ET,Layer 5 extratelencephalic pyramidal cells,Mouse,PM40368888,4,4,other,flash,medium,0.9333
L5 IT,layer 5 intratelencephalic,Mouse,PM40368888,4,4,other,flash,medium,0.9333
L5 IT cells,Layer 5 intratelencephalic cells,Mouse,PM35396593,4,1,other,flash,medium,0.9333
L5 motor cortex,layer 5 motor cortex,Mouse,PM35172157,4,2,neocortex,flash,high,1.0
L5 SST IN,,,PM41246844,4,1,neocortex,flash,high,0.9833
L5/6,layer 5/6,Mouse,PM33579707,4,2,neocortex,flash,high,0.9833
L6 CThN,Layer 6 corticothalamic neuron,Mouse,PM33908623,4,1,neocortex,flash,high,0.9833
L6 PL,layer 6 prelimbic cortex,Mouse,PM39097600,4,1,neocortex,flash,high,0.9833
L6a CT cells,Layer 6a corticothalamic neurons,Mouse,PM38926084,4,2,neocortex,flash,high,0.9833
lateral habenula,lateral habenula,Mouse,PM39327007,4,4,non_neocortex,seed_remap,high,1.0
lateral PB,lateral parabrachial nucleus,Mouse,PM38766214,4,1,non_neocortex,seed_remap,high,1.0
lateral pontine nuclei,lateral subarea of the pontine nuclei,Mouse,PM37025843,4,2,non_neocortex,seed_remap,high,1.0
lateral posterior nucleus,lateral posterior nucleus,Mouse,PM36661404,4,3,non_neocortex,seed_remap,high,1.0
lateral preoptic area,lateral preoptic area,Mouse,PM40795854,4,4,non_neocortex,seed_remap,high,1.0
lateral septal nucleus,lateral septal nucleus,Mouse,PM37029761,4,3,non_neocortex,seed_remap,high,1.0
Layer 1 neurons,,,PM41959300,4,1,neocortex,flash,high,0.9833
LCIC,lateral nucleus of the inferior colliculus,Mouse,PM40023818,4,2,non_neocortex,seed_remap,high,1.0
LEC fan cells,lateral entorhinal cortex fan cells,Mouse,PM36562467,4,1,non_neocortex,seed_keyword,high,1.0
left amygdala,left amygdala,Human,PM42130753,4,4,non_neocortex,seed_remap,high,1.0
left DLPFC,left dorsolateral prefrontal cortex,Human,PM42127800,4,2,neocortex,flash,high,0.9733
LEnt,lateral entorhinal cortex,Mouse,PM40478871,4,4,non_neocortex,seed_keyword,high,1.0
LHA-VGluT2,lateral hypothalamic area VGluT2 neurons,Mouse,PM32442399,4,1,non_neocortex,seed_remap,high,1.0
LHPV,lateral hypothalamus parvalbumin-positive neurons,Mouse,PM34042586,4,1,non_neocortex,seed_remap,high,1.0
Lhx6+ VZI,Lhx6-expressing neurons of the ventral zona incerta,Rat,PM36583474,4,1,non_neocortex,seed_remap,high,1.0
lingual gyrus,lingual gyrus,Human,PM37304427,4,4,neocortex,flash,high,0.96
LIPd,lateral intraparietal area dorsal,Primate,PM40925912,4,1,neocortex,flash,high,0.97
LOT,lateral olfactory tract,Human,PM40800805,4,4,other,seed_remap,high,1.0
LPLC2,,,PM38915533,4,2,other,seed_remap,high,1.0
LPN,lateral posterior nucleus of the thalamus,Rat,PM35981537,4,2,non_neocortex,seed_remap,high,1.0
LPOG,lateral protocerebral ocellar glomerulus,,PM33199810,4,1,other,seed_remap,high,1.0
LSI,lateral septal nucleus,Mouse,PM41840687,4,3,non_neocortex,seed_remap,high,1.0
LSV,"lateral septal nucleus, ventral part",Mouse,PM38963696,4,4,non_neocortex,seed_remap,high,1.0
LT1,,,PM35410869,4,1,ambiguous,flash,medium,0.5
M/TCs,mitral/tufted cells,,PM36902010,4,1,other,seed_remap,high,1.0
mammillary bodies,mammillary bodies,Human,PM33157259,4,3,non_neocortex,seed_remap,high,1.0
MCN,medial cerebellar nuclei,Mouse,PM36230940,4,2,non_neocortex,seed_remap,high,1.0
MdV,ventral medullary reticular nucleus,Mouse,PM41446166,4,4,non_neocortex,seed_remap,high,1.0
MEC LVI,medial entorhinal cortex layer VI,Mouse,PM40235593,4,1,non_neocortex,seed_keyword,high,1.0
medial insula,medial insular cortex,Mouse,PM39561925,4,1,neocortex,flash,medium,0.6667
medial orbitofrontal cortex,medial orbitofrontal cortex,Human,PM42266157,4,4,neocortex,flash,high,0.9733
medial preoptic area,medial preoptic area,Mouse,PM39647176,4,4,non_neocortex,seed_remap,high,1.0
medial thalamus,medial thalamus,Human,PM42126073,4,4,non_neocortex,seed_remap,high,1.0
medial-tract MGC-PNs,medial-tract medial glomerular complex projection neurons,,PM33988500,4,1,other,seed_remap,high,1.0
medulla oblongata,medulla oblongata,Mouse,PM39170852,4,4,non_neocortex,seed_remap,high,1.0
medullary reticular formation,medullary reticular formation,Macaque,PM33598920,4,3,non_neocortex,seed_remap,high,1.0
MePD,posterodorsal medial amygdala,Rat,PM36114373,4,3,non_neocortex,seed_remap,high,1.0
metaphysis,,,PM38963696,4,2,other,seed_remap,high,1.0
mIC,middle insular cortex,Mouse,PM32940600,4,2,neocortex,flash,medium,0.8167
mid 47/12,,,PM35510840,4,1,neocortex,flash,medium,0.8
mid collicular levels,,,PM38240754,4,1,non_neocortex,seed_remap,high,1.0
middle cingulate cortex,middle cingulate cortex,Human,PM32562780,4,2,unresolved,unresolved,low,0.7333
mMAN,medial magnocellular nucleus of the anterior nidopallium,,PM40549422,4,1,other,seed_remap,high,1.0
mNAc,medial nucleus accumbens,Mouse,PM34564712,4,1,non_neocortex,seed_remap,high,1.0
mNAcSh,medial nucleus accumbens shell,Rat,PM40838534,4,2,non_neocortex,seed_remap,high,1.0
MnR/PMnR,median raphe / paramedian raphe,Mouse,PM33055197,4,2,non_neocortex,seed_remap,high,1.0
motor cortices,motor cortices,Mouse,PM32585679,4,3,neocortex,flash,high,0.9333
MPu,,,PM39919832,4,1,ambiguous,flash,medium,0.3667
mRt,midbrain reticular nucleus,Mouse,PM41320871,4,4,non_neocortex,seed_remap,high,1.0
MS-DBB,medial septum and diagonal band of Broca,Mouse,PM34928938,4,2,non_neocortex,seed_remap,high,1.0
MS/DBB,medial septum/diagonal band of Broca,Mouse,PM37061022,4,3,non_neocortex,seed_remap,high,1.0
MSTl,lateral subdivision of the medial superior temporal area,Macaque,PM38544445,4,1,neocortex,flash,high,0.9333
MSVglut2,glutamatergic medial septum,Mouse,PM41791880,4,2,non_neocortex,seed_remap,high,1.0
multiple regions,,Mouse,PM35934753,4,3,other,seed_remap,high,1.0
NAc D1-MSN,nucleus accumbens dopamine D1-receptor expressing medium spiny neurons,Mouse,PM37414552,4,1,non_neocortex,seed_remap,high,1.0
NDB,diagonal band nucleus,Mouse,PM36902010,4,3,non_neocortex,seed_remap,high,1.0
near-SOZ,,Human,PM41959414,4,1,other,seed_remap,high,1.0
NH,nodular heterotopia,Human,PM35048363,4,1,other,seed_remap,high,1.0
NJP,nodose/jugular/petrosal superganglia,Mouse,PM38446848,4,1,other,seed_remap,high,1.0
NLOT,nucleus of the lateral olfactory tract,Mouse,PM35281496,4,3,non_neocortex,seed_remap,high,1.0
"NM, NL, NA",dorsomedial acoustic tubercle,,PM41108202,4,1,non_neocortex,seed_remap,high,1.0
NM/NL,,,PM41108202,4,1,ambiguous,flash,medium,0.3
nociceptors,nociceptors,Mouse,PM40202848,4,4,other,seed_remap,high,1.0
nodose afferents,nodose afferents,,PM32669344,4,1,other,seed_remap,high,1.0
non-olfactory amygdala,non-olfactory amygdala,,PM40800805,4,1,non_neocortex,seed_remap,high,1.0
non-specific nuclei,,Human,PM37858906,4,1,non_neocortex,flash,medium,0.7667
Npy-Cre neurons,,Mouse,PM41956193,4,1,other,seed_remap,high,1.0
Nts+ RGCs,,Mouse,PM42427684,4,1,other,seed_remap,high,1.0
olfactory tubercle,Olfactory tubercle,Mouse,PM38844444,4,3,non_neocortex,flash,high,0.95
Onecut3+/Vglut2+ neurons,Onecut3+/Vglut2+ neurons,,PM37029761,4,1,other,seed_remap,high,1.0
OPT,olivary pretectal nucleus,Rat,PM39170852,4,2,non_neocortex,seed_remap,high,1.0
optic nerve,optic nerve,guinea pig,PM40610752,4,2,other,seed_remap,high,1.0
ovBNST,oval nucleus of bed nucleus of stria terminalis,Mouse,PM42103479,4,4,non_neocortex,seed_remap,high,1.0
ovBNSTPENK,oval subdivision of the bed nucleus of the stria terminalis proenkephalin neurons,Mouse,PM40445490,4,1,non_neocortex,seed_remap,high,1.0
ovBNSTVipr2,oval nucleus of the bed nucleus of the stria terminalis VIP receptor 2-expressing neurons,Mouse,PM42293405,4,2,non_neocortex,seed_remap,high,1.0
Oxt neurons,oxytocin neurons,Mouse,PM35606144,4,1,other,seed_remap,high,1.0
Pa5,paratrigeminal complex,Mouse,PM41076657,4,2,non_neocortex,seed_remap,high,1.0
PAC,primary auditory cortex,Human,PM41839572,4,3,neocortex,flash,high,0.98
PAL,Pallidum,,PM40346961,4,3,non_neocortex,seed_remap,high,1.0
parabrachial complex,parabrachial complex,Human,PM41232063,4,2,non_neocortex,seed_remap,high,1.0
parabrachial region,parabrachial region,Mouse,PM41279263,4,1,non_neocortex,seed_remap,high,1.0
paravermal lobule 5,,,PM35800775,4,1,non_neocortex,seed_remap,high,1.0
parietal DI,parietal dysgranular insula,,PM37152205,4,1,non_neocortex,flash,medium,0.7
patchy SPNs,patchy spiny projection neurons,Mouse,PM41472677,4,1,non_neocortex,seed_remap,high,1.0
PBcl,centrolateral nucleus,Mouse,PM42126073,4,3,non_neocortex,seed_remap,high,1.0
PBrel,"rostral part of the LPB, in particular a region that has been named PBrel (rostral to external lateral)",Mouse,PM42126073,4,1,non_neocortex,seed_remap,high,1.0
pDLS,Posterior dorsolateral striatum,Mouse,PM40359003,4,2,non_neocortex,seed_remap,high,1.0
PeFLH,perifornical area of the hypothalamus,,PM34403389,4,1,non_neocortex,seed_remap,high,1.0
periosteum,,,PM38963696,4,2,other,seed_remap,high,1.0
peripheral afferents,peripheral afferents,Macaque,PM39693430,4,3,other,seed_remap,high,1.0
PHN,prepositus hypoglossi nucleus,Rat,PM32949021,4,1,non_neocortex,seed_remap,high,1.0
phrenic afferents,phrenic afferents,Rat,PM40334752,4,1,other,seed_remap,high,1.0
PLv,ventral prelimbic cortex,Mouse,PM40204437,4,1,neocortex,flash,high,0.96
PMN,posterior medial nucleus of the thalamus,Mouse,PM34927292,4,3,non_neocortex,seed_remap,high,1.0
PN3,premotor neuron population 3,,PM33070328,4,1,neocortex,flash,high,0.8333
POm-HO,higher-order subdivision of POm,Mouse,PM32620835,4,1,non_neocortex,seed_remap,high,1.0
POMC neurons,POMC-expressing neurons,Mouse,PM32678476,4,2,other,seed_remap,high,1.0
Posterior nucleus,Posterior nucleus,,PM37348506,4,1,non_neocortex,seed_remap,high,1.0
pre-SMA,pre-supplementary motor area,,PM39712140,4,2,neocortex,flash,high,0.96
preCUN/PCC,precuneus/posterior cingulate cortex,,PM35153656,4,1,other,flash,medium,0.75
prelimbic mPFC,prelimbic subregion of medial prefrontal cortex,Mouse,PM41533508,4,2,neocortex,flash,high,0.96
premotor interneurons,premotor interneurons,Mouse,PM36512397,4,1,other,flash,medium,0.9
primary visual cortex transplants,primary visual cortex,Mouse,PM35687687,4,1,neocortex,flash,high,0.96
propriospinal neurons,propriospinal neurons,Mouse,PM39266302,4,4,non_neocortex,seed_remap,high,1.0
proximal colon,proximal colon,Mouse,PM39045348,4,4,other,seed_remap,high,1.0
PSv,"posteromedial amygdala, ventral region",,PM32433957,4,2,non_neocortex,seed_remap,high,1.0
PT-type neurons,PT-type neurons,Mouse,PM37398221,4,2,other,flash,high,0.9333
Pt_c,,,PM32949023,4,1,ambiguous,flash,medium,0.4333
PTh-m,,,PM40657851,4,1,non_neocortex,seed_remap,high,1.0
PTLp,posterior parietal cortex,Mouse,PM42395580,4,3,neocortex,flash,high,0.95
Purkinje cells,Purkinje cells,Mouse,PM32990595,4,3,non_neocortex,seed_remap,high,1.0
PV neurons,Parvalbumin-expressing neurons,,PM41702716,4,2,other,seed_remap,high,1.0
PV nRT,parvalbumin neurons of the nucleus reticularis thalami,Mouse,PM33843585,4,1,non_neocortex,seed_remap,high,1.0
PV+ inhibitory neurons,parvalbumin-positive inhibitory neurons,,PM37813563,4,1,other,seed_remap,high,1.0
PV+ INs,,Mouse,PM39485383,4,1,other,seed_remap,high,1.0
PVHCrh neurons,paraventricular hypothalamus corticotropin-releasing hormone neurons,Mouse,PM37495689,4,1,non_neocortex,seed_remap,high,1.0
pyramidal cells,pyramidal cells,Mouse,PM36598942,4,3,other,seed_remap,high,1.0
rBLA,rostral basolateral amygdala,Mouse,PM36476757,4,1,non_neocortex,seed_remap,high,1.0
rCA2,right CA2,Mouse,PM39548322,4,1,non_neocortex,seed_remap,high,1.0
Renshaw cells,Renshaw cells,Mouse,PM35946796,4,3,non_neocortex,seed_remap,high,1.0
reticular thalamic nucleus,reticular thalamic nucleus,Mouse,PM40464272,4,4,non_neocortex,seed_remap,high,1.0
retinogeniculate terminals,retinogeniculate terminals,Mouse,PM40687842,4,1,other,seed_remap,high,1.0
RFA CSN,,,PM38551963,4,1,ambiguous,flash,medium,0.4167
right AIC,anterior insula cortex,Human,PM38782961,4,1,neocortex,flash,medium,0.7167
right IPL,Inferior Parietal Lobule,Human,PM41507470,4,2,neocortex,flash,high,0.95
right PHG,right parahippocampal gyrus,,PM38717572,4,2,non_neocortex,seed_keyword,high,1.0
right precentral gyrus,precentral gyrus,Human,PM42252837,4,4,neocortex,flash,high,0.9833
right superior frontal gyrus,superior frontal gyrus – medial area 6,Human,PM42252837,4,3,neocortex,flash,high,0.9833
RM,retromammillary nucleus,Mouse,PM37312626,4,3,non_neocortex,seed_remap,high,1.0
RMg,raphe magnus nucleus,,PM39494735,4,4,non_neocortex,seed_remap,high,1.0
rNST,rostral nucleus of the solitary tract,Rat,PM41260498,4,2,non_neocortex,seed_remap,high,1.0
RSCg,"Retrosplenial cortex, granular area",Mouse,PM39511453,4,1,non_neocortex,flash,medium,0.7667
RSI,regular-spiking interneuron,,PM39186804,4,2,other,seed_remap,high,1.0
S1 L5A,primary somatosensory cortex layer 5A,Mouse,PM33851917,4,1,neocortex,flash,high,0.9833
S1-L2/3,primary somatosensory cortex Layer 2/3 neurons,Mouse,PM39896513,4,1,neocortex,flash,high,0.9833
salience network,salience network,Human,PM32919055,4,3,other,seed_remap,high,1.0
Scala tympani,,Rat,PM36672088,4,1,other,seed_remap,high,1.0
SCH,suprachiasmatic nucleus,Mouse,PM40090880,4,4,non_neocortex,seed_remap,high,1.0
SEA,,,PM35510840,4,1,ambiguous,flash,medium,0.3667
SEF,supplementary eye field,Macaque,PM33658308,4,1,neocortex,flash,high,0.95
sensory afferents,sensory afferents,Mouse,PM41727118,4,3,other,seed_remap,high,1.0
sensory cortices,sensory cortices,Mouse,PM42107475,4,4,neocortex,flash,high,0.9333
sensory neurons,sensory neurons,Mouse,PM42259917,4,4,other,seed_remap,high,1.0
sensory thalamus,sensory thalamus,Mouse,PM34193558,4,2,non_neocortex,seed_remap,high,1.0
SFA,sensory forelimb area,,PM36044580,4,1,neocortex,flash,high,0.9167
Shox2 interneurons,Shox2 interneurons,Mouse,PM38948733,4,2,other,seed_remap,high,1.0
SLP266,,,PM35981537,4,1,ambiguous,flash,medium,0.3667
SNpr,substantia nigra pars reticulata,Mouse,PM37564994,4,4,non_neocortex,seed_remap,high,1.0
SNPs,substantia nigra pars compacta neurons / substantia nigra neurons,Human,PM36516880,4,1,non_neocortex,seed_remap,high,1.0
SNS ganglia,sympathetic nervous system ganglia,Mouse,PM38963696,4,2,other,seed_remap,high,1.0
SO,stratum oriens,Mouse,PM41108202,4,4,non_neocortex,seed_remap,high,1.0
somatosensory striatum,anterior somatosensory compartment of striatum,Gerbil,PM39952676,4,1,non_neocortex,seed_remap,high,1.0
somatosensory thalamus,somatosensory thalamus,Mouse,PM37034798,4,3,non_neocortex,seed_remap,high,1.0
SOZ,,Human,PM41959414,4,1,ambiguous,flash,medium,0.3333
SP,stratum pyramidale,Mouse,PM40981400,4,3,non_neocortex,seed_remap,high,1.0
SP neurons,substance P neurons,Mouse,PM41324357,4,2,other,seed_remap,high,1.0
Spinal anterior horn,spinal anterior horn,,PM33825082,4,1,non_neocortex,seed_remap,high,1.0
SS,somatosensory cortex,Mouse,PM42039543,4,4,neocortex,flash,high,0.95
sSC,superior colliculus,Mouse,PM35190665,4,3,non_neocortex,seed_remap,high,1.0
SST+ inhibitory neurons,somatostatin-positive inhibitory neurons,,PM37813563,4,1,other,seed_remap,high,1.0
SST-Nmbr interneurons,,Mouse,PM37390821,4,1,other,seed_remap,high,1.0
striatal CINs,striatal cholinergic interneurons,Mouse,PM41256530,4,1,non_neocortex,seed_remap,high,1.0
striosome,striosome compartment,Macaque,PM34276282,4,2,non_neocortex,seed_remap,high,1.0
SubM,submedius thalamic nucleus,Rat,PM33115928,4,1,non_neocortex,seed_remap,high,1.0
subplate,subplate,Mouse,PM33579707,4,3,neocortex,flash,high,0.9333
supramammillary nucleus,supramammillary nucleus,Mouse,PM42136574,4,3,non_neocortex,seed_remap,high,1.0
SVNc,subnucleus pars centralis of the solitary nucleus,,PM38104256,4,1,non_neocortex,seed_remap,high,1.0
T2,,,PM35410869,4,2,ambiguous,flash,medium,0.3667
TA flexor MNs,tibialis anterior flexor motor neurons,,PM41494035,4,1,non_neocortex,seed_remap,high,1.0
Temporal,Temporal cortex,Human,PM36661404,4,2,neocortex,flash,high,0.9867
temporal association cortex,temporal association cortex,Mouse,PM35613891,4,2,neocortex,flash,high,0.9867
thalamic regions,thalamic regions,Mouse,PM42362380,4,4,non_neocortex,seed_remap,high,1.0
thalamic subnetworks,thalamic subnetworks,Human,PM41278584,4,1,non_neocortex,seed_remap,high,1.0
thoracic cord,thoracic spinal cord,Mouse,PM35674500,4,2,non_neocortex,seed_remap,high,1.0
thoracic spinal cord,thoracic spinal cord,Mouse,PM41278832,4,4,non_neocortex,seed_remap,high,1.0
thoracic sympathetic preganglionic neurons,thoracic sympathetic preganglionic neurons,Rat,PM37855033,4,1,non_neocortex,seed_remap,high,1.0
Tmem45b-expressing sensory neurons,Tmem45b-expressing sensory neurons,Mouse,PM36322717,4,1,other,seed_remap,high,1.0
TPN-II,TPN-II second-order neurons,,PM32442464,4,2,ambiguous,flash,medium,0.4167
trigeminal nucleus,trigeminal nucleus,Rat,PM41720391,4,4,non_neocortex,seed_remap,high,1.0
TRPV1 sensory neurons,,Mouse,PM34043943,4,1,other,seed_remap,high,1.0
TSCd,,,PM41108202,4,1,ambiguous,flash,medium,0.3333
type 2.3 PG cells,periglomerular cells (type 2.3),Mouse,PM35225232,4,1,non_neocortex,flash,high,0.9667
UL neurons,,Mouse,PM37552690,4,1,ambiguous,flash,medium,0.3
V3,tertiary visual cortex,Human,PM38849423,4,4,neocortex,flash,high,0.9867
V3 neurons,propriospinal V3 neurons,Mouse,PM37609680,4,2,non_neocortex,seed_remap,high,1.0
vagal ganglion,vagal ganglion,Mouse,PM40465722,4,2,other,seed_remap,high,1.0
vBNST,ventral bed nucleus of the stria terminalis,Mouse,PM38446848,4,2,non_neocortex,seed_remap,high,1.0
ventral LC,ventral locus coeruleus,Mouse,PM41993290,4,1,non_neocortex,seed_remap,high,1.0
ventral PrSd,ventral portion of the PrSd,Mouse,PM33324173,4,1,non_neocortex,seed_remap,high,1.0
ventral subiculum,ventral subiculum,Rat,PM37017888,4,2,non_neocortex,seed_remap,high,1.0
VISal,Visual anterior lateral area,Mouse,PM38319699,4,2,neocortex,flash,high,0.9867
VPL-PN,ventral posterolateral nucleus projection neuron,Mouse,PM40202848,4,1,non_neocortex,seed_remap,high,1.0
VPLGlu,ventral posterolateral nucleus glutamatergic neurons,Mouse,PM36846300,4,2,non_neocortex,seed_remap,high,1.0
