abbrev,expansion,notes
CS,dorsal striatum,round4: caudal/central striatum literature vs central sulcus
PCx,piriform cortex,round4: piriform vs parietal cortex
OP,olivary pretectal nucleus,round4: OPT vs occipital pole
dSC,deep gray layer of superior colliculus,round4: deep SC vs dorsal spinocerebellar tract
pTh,ventral thalamus,round4: prethalamus ~ ventral thalamus vs pallidothalamic tract
SPA,subparaventricular zone,round4: SPZ vs spinal artery
LAT,dentate (lateral) nucleus,round4: lateral CB nucleus vs lamina terminalis
MCN,fastigial (medial) nucleus,round4: medial CB nuclei vs hypothalamic MCN
PMN,ventral posterior medial nucleus of thalamus,round4: posterior medial thalamus
DCS,dorsal striatum,round4: dorsal central striatum
MdD,medullary reticular nucleus,round4: medullary reticular vs MD densocellular
TeO,midbrain tectum,round4: tectal optic / midbrain tectum
VeCb,cerebellum,round4: vestibulocerebellum broader parent
A8,retrorubral field,round4: A8 dopamine group vs cortical area 8
A7,A7 noradrenaline cell group,round4: A7 NA group vs cortical area 7
Su3,supraoculomotor nucleus,round4: Su3 / supraoculomotor PAG family
matrix,matrix of the striatum,round4: striatal matrix vs cerebellar VZ matrix
CLN,caudal intralaminar nuclei of thalamus,round4: no_match fill
vTRN,reticular nucleus of thalamus,round4: ventral TRN
LCIC,lateral shell of inferior colliculus,round4: lateral IC
PuI,pulvinar of thalamus,round4: inferior/intermediate pulvinar
bVM,ventral medial nucleus of thalamus,round4: basal VM thalamus
PORa,posterior parahippocampal region,round4: anterior POR
PPT,pedunculopontine tegmental nucleus,round4: support PPTvGlut2 strip
NAc-S,shell of nucleus accumbens,round4: NAc shell compound
NAcS,shell of nucleus accumbens,round4: NAc shell alt
Thal,thalamus,round5_nomatch: corpus/lit: Thal = thalamus
tha,thalamus,round5_nomatch: corpus/lit: tha = thalamus
THL,thalamus,round5_nomatch: corpus/lit: THL = thalamus
rThal,thalamus,round5_nomatch: lit: rThal informal → thalamus parent
MThal,thalamus,round5_nomatch: lit/corpus: medial thalamus → thalamus
PreS,presubiculum,round5_nomatch: lit: PreS/PrS = presubiculum
PeRh,perirhinal cortex,round5_nomatch: lit: PeRh/PRh = perirhinal cortex
PeRhC,perirhinal cortex,round5_nomatch: corpus: caudal perirhinal → perirhinal
iPER,perirhinal cortex,round5_nomatch: corpus: ipsilateral perirhinal
vHipp,ventral hippocampus,round5_nomatch: lit: vHipp = ventral hippocampus
vHIP,ventral hippocampus,round5_nomatch: lit: vHIP = ventral hippocampus
vHC,ventral hippocampus,round5_nomatch: lit: vHC = ventral hippocampus
vHP,ventral hippocampus,round5_nomatch: lit: vHP = ventral hippocampus
VH,ventral hippocampus,round5_nomatch: lit/corpus: VH = ventral hippocampus
dcHPC,dorsal hippocampus,round5_nomatch: lit: dcHPC = dorsal(-caudal) hippocampus
dHIP,dorsal hippocampus,round5_nomatch: lit/corpus: dHIP = dorsal hippocampus
dHipp,dorsal hippocampus,round5_nomatch: lit: dHipp = dorsal hippocampus
HP,hippocampus,round5_nomatch: lit/corpus: HP = hippocampus
HC,hippocampus,round5_nomatch: lit/corpus: HC = hippocampus
PH,posterior hypothalamic nucleus,round5_nomatch: lit/corpus: PH = posterior hypothalamus
PHb,posterior hypothalamic nucleus,round5_nomatch: corpus: posterior hypothalamus
PHA,posterior hypothalamic nucleus,round5_nomatch: corpus: posterior hypothalamic area
SOA,supraoculomotor nucleus,round5_nomatch: lit: SOA = supraoculomotor area/nucleus
SNpc,substantia nigra compact division,round5_nomatch: lit/corpus: SNpc = SNc
SNpr,substantia nigra reticular division,round5_nomatch: lit/corpus: SNpr = SNr
PaF,parafascicular nucleus of thalamus,round5_nomatch: lit/corpus: PaF/Pf
PfN,parafascicular nucleus of thalamus,round5_nomatch: corpus: PfN
ARN,arcuate nucleus of hypothalamus,round5_nomatch: lit/corpus: ARN = arcuate (hypothalamic)
DM,dorsomedial hypothalamic nucleus,round5_nomatch: lit/corpus: DM = dorsomedial hypothalamus
VMN,ventromedial hypothalamic nucleus,round5_nomatch: lit/corpus: VMN = VMH
VLPO,lateral preoptic area,round5_nomatch: lit: VLPO; HOMBA lacks VLPO node → LPA parent
GRN,gracile nucleus,round5_nomatch: lit/corpus: GRN
APN,anterior pretectal nucleus,round5_nomatch: lit/corpus: APN
EPN,entopeduncular nucleus,round5_nomatch: lit/corpus: EPN
Tu,olfactory tubercle,round5_nomatch: lit/corpus: Tu
TUB,olfactory tubercle,round5_nomatch: lit/corpus: TUB
vLGN,pregeniculate nucleus,round5_nomatch: lit/corpus: vLGN = ventral LGN / pregeniculate
VNLL,ventral nucleus of lateral lemniscus,round5_nomatch: lit/corpus: VNLL
LEnt,lateral (rostral) entorhinal cortex,round5_nomatch: lit/corpus: LEnt/LEC
MEnt,medial (caudal) entorhinal cortex,round5_nomatch: lit: MEnt/MEC
ECx,entorhinal cortex,round5_nomatch: lit: ECx
AcbSh,shell of nucleus accumbens,round5_nomatch: lit/corpus: AcbSh
NAcb,nucleus accumbens,round5_nomatch: lit: NAcb
NAcbS,shell of nucleus accumbens,round5_nomatch: lit: NAcbS
NAshell,shell of nucleus accumbens,round5_nomatch: lit: NAshell
APir,piriform cortex,round5_nomatch: lit/corpus: APir = anterior piriform → piriform
PirC,piriform cortex,round5_nomatch: lit: PirC
MPO,medial preoptic nucleus,round5_nomatch: lit/corpus: MPO
AMG,amygdaloid complex,round5_nomatch: lit/corpus: AMG
Amyg,amygdaloid complex,round5_nomatch: lit: Amyg
HYTH,hypothalamus,round5_nomatch: lit/corpus: HYTH
Hypo,hypothalamus,round5_nomatch: lit: Hypo
DH,spinal dorsal horn,round5_nomatch: lit/corpus: DH = dorsal horn
ADn,anterodorsal nucleus of thalamus,round5_nomatch: lit: ADn/AD
MDTN,mediodorsal nucleus of thalamus,round5_nomatch: lit/corpus: MDTN
nIII,oculomotor nucleus,round5_nomatch: lit: nIII = CN III nucleus
nVI,abducens nucleus,round5_nomatch: lit: nVI = CN VI nucleus
PaSp,parasubiculum,round5_nomatch: lit/corpus: PaSp
ParaS,parasubiculum,round5_nomatch: lit: ParaS
PoSub,caudal (dorsal) presubiculum (postsubiculum),round5_nomatch: lit/corpus: PoSub/postsubiculum
pSUB,caudal (dorsal) presubiculum (postsubiculum),round5_nomatch: lit/corpus: pSUB
sSC,superior colliculus,round5_nomatch: lit/corpus: sSC
CNIC,central nucleus of inferior colliculus,round5_nomatch: lit/corpus: CNIC
mRt,midbrain reticular formation,round5_nomatch: lit/corpus: mRt
PrV,principal sensory nucleus of trigeminal nerve,round5_nomatch: lit/corpus: PrV
SMN,supramammillary nucleus,round5_nomatch: lit/corpus: SMN
SUBv,subiculum,round5_nomatch: lit/corpus: SUBv = ventral subiculum → subiculum
sVc,spinal trigeminal nucleus caudalis,round5_nomatch: lit/corpus: sVc
Vmes,mesencephalic trigeminal nucleus,round5_nomatch: lit/corpus: Vmes
DMNV,dorsal motor nucleus of vagus,round5_nomatch: lit/corpus: DMNV/DMX
DVMN,dorsal motor nucleus of vagus,round5_nomatch: lit/corpus: DVMN
DmnX,dorsal motor nucleus of vagus,round5_nomatch: lit: DmnX
MBO,mammillary body,round5_nomatch: lit/corpus: MBO
CdN,caudate nucleus,round5_nomatch: lit: CdN
Cau,caudate nucleus,round5_nomatch: lit/corpus: Cau
Cdt,caudate nucleus,round5_nomatch: lit: Cdt
CBN,cerebellar nuclei,round5_nomatch: lit: CBN = cerebellar deep nuclei
VStr,ventral striatum,round5_nomatch: lit: VStr
VOLT,organum vasculosum laminae terminalis,round5_nomatch: lit: VOLT = OVLT
ZIV,zona incerta,round5_nomatch: lit/corpus: ZIV = ventral ZI → ZI
mHab,medial habenular nucleus,round5_nomatch: lit: mHab
Vest,vestibular nuclei,round5_nomatch: lit: Vest
AHC,anterior hypothalamic nucleus,round5_nomatch: lit/corpus: AHC
DBN,nucleus of diagonal band,round5_nomatch: lit: DBN
dDG,dentate gyrus,round5_nomatch: lit: dDG → DG
dMEC,medial (caudal) entorhinal cortex,round5_nomatch: lit: dMEC
MDRN,medullary reticular formation in medulla oblongata,round5_nomatch: lit: MDRN
PARN,parvicellular reticular nucleus,round5_nomatch: lit: PARN
PRNr,pontine reticular formation,round5_nomatch: lit: PRNr
aBST,bed nucleus of stria terminalis,round5_nomatch: lit: aBST → BNST
pBNST,bed nucleus of stria terminalis,round5_nomatch: lit: pBNST
aBA,basolateral nuclear group of amygdala,round5_nomatch: lit: aBA → BLA
pBA,basolateral nuclear group of amygdala,round5_nomatch: lit: pBA
BLAa,basolateral nuclear group of amygdala,round5_nomatch: lit: BLAa
BLAp,basolateral nuclear group of amygdala,round5_nomatch: lit: BLAp
pdMeA,medial nucleus of amygdala,round5_nomatch: lit: pdMeA → MeA
aMeA,medial nucleus of amygdala,round5_nomatch: lit: aMeA
PFA,perifornical nucleus,round5_nomatch: lit/corpus: PFA
PeFA,perifornical nucleus,round5_nomatch: lit: PeFA
MCPO,lateral preoptic area,round5_nomatch: lit: MCPO=magnocellular preoptic; no HOMBA node → LPA parent
ILM,intralaminar nuclear complex of thalamus,round5_nomatch: lit/corpus: ILM
rILN,intralaminar nuclear complex of thalamus,round5_nomatch: lit/corpus: rILN
VNC,vestibular nuclei,round5_nomatch: lit/corpus: VNC = vestibular nuclear complex
MLR,gray matter of midbrain,round5_nomatch: lit: MLR functional region → midbrain GM
DVC,solitary nucleus,round5_nomatch: lit: DVC = dorsal vagal complex → Sol parent
EWpg,Edinger-Westphal nucleus (accessory oculomotor nucleus),round5_nomatch: lit/corpus: EWpg
avTRN,reticular nucleus of thalamus,round5_nomatch: lit/corpus: avTRN → Rt
LHy,lateral hypothalamic area,round5_nomatch: lit: LHy
PiCo,intermediate reticular nucleus,round5_nomatch: lit: PiCo = postinspiratory complex in IRt (Anderson 2016)
mZI,zona incerta,round5_nomatch: lit: mZI = medial zona incerta → ZI
IntA,lateral interpositus (emboliform) nucleus,round5_nomatch: lit: IntA = anterior interpositus / emboliform
PPRF,pontine reticular formation,round5_nomatch: lit: PPRF = paramedian pontine reticular formation
DAO,inferior olive,round5_nomatch: lit: DAO = dorsal accessory olive → IO
dPul,pulvinar of thalamus,round5_nomatch: lit: dPul = dorsal pulvinar → Pul
VLa,ventral lateral nucleus of thalamus,round5_nomatch: lit: VLa → VL
rCau,caudate nucleus,round5_nomatch: lit: rCau = rostral caudate
rGP,globus pallidus,round5_nomatch: lit: rGP → GP
MidRF,midbrain reticular formation,round5_nomatch: lit: MidRF
vmCAU,caudate nucleus,round5_nomatch: lit: vmCAU
pdlPUT,putamen,round5_nomatch: lit: pdlPUT → putamen
IVN,inferior vestibular nucleus,round5_nomatch: lit: IVN
SupV,superior vestibular nucleus,round5_nomatch: lit: SupV
CA3a,CA3 region of hippocampus,round5_nomatch: lit: CA3a → CA3
A28,entorhinal cortex,round5_nomatch: lit: Brodmann A28 ≈ entorhinal
CPr,dorsal striatum,round5_nomatch: lit/corpus: CPr=rostral caudate-putamen
BNC,basolateral nuclear group of amygdala,round5_nomatch: lit/corpus: BNC=basolateral nucleus complex
APTD,anterior pretectal nucleus,round5_nomatch: lit/corpus: APTD=dorsal APT
DpMe,midbrain reticular formation,round5_nomatch: lit: DpMe=deep mesencephalic nucleus ~ MRF
pnVTA,ventral tegmental area,round5_nomatch: lit/corpus: pnVTA=posterior VTA → VTA
SGI,intermediate gray layer of superior colliculus,round5_nomatch: lit: SGI=stratum griseum intermedium
riMLF,pontine reticular formation,alias of PPRF: riMLF=rostral interstitial nucleus of medial longitudinal fasciculus
