structure_name,fullname,species,paper,n_mentions,n_papers,region_class,suitability,unsuitable_reason,class_corrected,region_class_before,audit_stage,final_certainty,final_confidence
IFGOp,,,PM41928907,4,1,neocortex,suitable,,no,neocortex,rule,high,0.85
IFGOrb,,,PM41928907,4,1,neocortex,suitable,,no,neocortex,rule,high,0.85
IFGTri,,,PM41928907,4,1,neocortex,suitable,,no,neocortex,rule,high,0.85
infralimbic mPFC,infralimbic subregion of medial prefrontal cortex,Mouse,PM41533508,4,2,neocortex,suitable,,no,neocortex,flash,high,0.9433
ipsilateral frontal cortex,,,PM34727171,4,2,neocortex,suitable,,no,neocortex,rule,high,1.0
left DLPFC,left dorsolateral prefrontal cortex,Human,PM42127800,4,2,neocortex,suitable,,no,neocortex,rule,high,0.9733
medial insula,medial insular cortex,Mouse,PM39561925,4,1,neocortex,suitable,,no,neocortex,flash,high,0.9333
medial orbitofrontal cortex,medial orbitofrontal cortex,Human,PM42266157,4,4,neocortex,suitable,,no,neocortex,rule,high,0.9733
mIC,middle insular cortex,Mouse,PM32940600,4,2,neocortex,suitable,,no,neocortex,flash,high,0.9133
mid 47/12,,,PM35510840,4,1,neocortex,suitable,,no,neocortex,flash,high,0.8333
middle cingulate cortex,middle cingulate cortex,Human,PM32562780,4,2,neocortex,suitable,,yes,unresolved,flash,medium,0.7933
motor cortices,motor cortices,Mouse,PM32585679,4,3,neocortex,suitable,,no,neocortex,rule,high,0.9333
MSTl,lateral subdivision of the medial superior temporal area,Macaque,PM38544445,4,1,neocortex,suitable,,no,neocortex,rule,high,0.9333
PAC,primary auditory cortex,Human,PM41839572,4,3,neocortex,suitable,,no,neocortex,rule,high,0.98
parietal DI,parietal dysgranular insula,,PM37152205,4,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.9167
PLv,ventral prelimbic cortex,Mouse,PM40204437,4,1,neocortex,suitable,,no,neocortex,rule,high,0.96
pre-SMA,pre-supplementary motor area,,PM39712140,4,2,neocortex,suitable,,no,neocortex,rule,high,0.96
prelimbic mPFC,prelimbic subregion of medial prefrontal cortex,Mouse,PM41533508,4,2,neocortex,suitable,,no,neocortex,rule,high,0.96
primary visual cortex transplants,primary visual cortex,Mouse,PM35687687,4,1,neocortex,suitable,,no,neocortex,rule,high,0.96
PTLp,posterior parietal cortex,Mouse,PM42395580,4,3,neocortex,suitable,,no,neocortex,rule,high,0.95
right AIC,anterior insula cortex,Human,PM38782961,4,1,neocortex,suitable,,no,neocortex,flash,high,0.8333
right IPL,Inferior Parietal Lobule,Human,PM41507470,4,2,neocortex,suitable,,no,neocortex,rule,high,0.95
right precentral gyrus,precentral gyrus,Human,PM42252837,4,4,neocortex,suitable,,no,neocortex,rule,high,0.9833
right superior frontal gyrus,superior frontal gyrus – medial area 6,Human,PM42252837,4,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
RSCg,"Retrosplenial cortex, granular area",Mouse,PM39511453,4,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.9
SEF,supplementary eye field,Macaque,PM33658308,4,1,neocortex,suitable,,no,neocortex,rule,high,0.95
sensory cortices,sensory cortices,Mouse,PM42107475,4,4,neocortex,suitable,,no,neocortex,rule,high,0.9333
SFA,sensory forelimb area,,PM36044580,4,1,neocortex,suitable,,no,neocortex,rule,high,0.9167
SS,somatosensory cortex,Mouse,PM42039543,4,4,neocortex,suitable,,no,neocortex,rule,high,0.95
subplate,subplate,Mouse,PM33579707,4,3,neocortex,suitable,,no,neocortex,rule,high,0.9333
Temporal,Temporal cortex,Human,PM36661404,4,2,neocortex,suitable,,no,neocortex,rule,high,0.9867
temporal association cortex,temporal association cortex,Mouse,PM35613891,4,2,neocortex,suitable,,no,neocortex,rule,high,0.9867
V3,tertiary visual cortex,Human,PM38849423,4,4,neocortex,suitable,,no,neocortex,rule,high,0.9867
VISal,Visual anterior lateral area,Mouse,PM38319699,4,2,neocortex,suitable,,no,neocortex,rule,high,0.9867
VTC,ventral temporal cortex,Human,PM37188514,4,2,neocortex,suitable,,no,neocortex,rule,high,0.9867
ACC A25,anterior cingulate cortex A25,Macaque,PM32677044,3,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.8933
AII,secondary auditory cortex,Mouse,PM38528192,3,1,neocortex,suitable,,no,neocortex,rule,high,0.95
AIP,"anterior insula, posterior",Mouse,PM39012916,3,3,neocortex,suitable,,no,neocortex,flash,high,0.84
anterior cingulate area,anterior cingulate area,Mouse,PM40250719,3,3,neocortex,suitable,,no,neocortex,flash,high,0.94
area 12r,rostral area 12r,Macaque,PM41405705,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
area 18,area 18,Ferret,PM34611910,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
area 45,area 45 (pars triangularis),Human,PM41947581,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9933
area 8b,area 8b,,PM34255833,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
AuC,auditory cortex,Mouse,PM41143504,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9933
BA 10,,,PM39712140,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
Brodmann areas 1 & 2,Brodmann areas 1 & 2,Human,PM33836270,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
Brodmann areas 3a & 3b,Brodmann areas 3a & 3b,Human,PM33836270,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
CalCx-Cu,calcarine cortex - upper cuneal bank,,PM41493598,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
caudal VLPFC,caudal ventrolateral prefrontal cortex,Macaque,PM40933619,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
cM1,contralateral primary motor cortex,Rat,PM36471512,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
contralateral M1,contralateral primary motor cortex,Mouse,PM38423792,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9767
contralateral mPFC,medial prefrontal cortex,Mouse,PM40646084,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9767
contralesional M1,primary motor cortex,Human,PM41688540,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9767
cuneus,cuneus,Human,PM42130753,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
FBS,forelimb barrel subfield,Rat,PM39235156,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
frontocentral cortex,frontocentral cortex,Human,PM38561227,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
fusiform gyrus,fusiform gyrus,Human,PM41602988,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
Heschl's gyrus,Heschl's gyrus,Human,PM41813678,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9333
hindlimb motor cortex,hindlimb motor cortex,Rat,PM41168240,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9333
inferior frontal area,,,PM40800920,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9333
iS1,ipsilateral S1bfd,Mouse,PM40068685,3,2,neocortex,suitable,,no,neocortex,rule,high,0.95
L M1,left primary motor cortex,Human,PM35720694,3,1,neocortex,suitable,,no,neocortex,rule,high,0.95
lateral orbital field,,,PM34301721,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9167
lateral precuneus,lateral precuneus,,PM39103495,3,1,neocortex,suitable,,no,neocortex,rule,high,0.95
lateral prefrontal cortex,lateral prefrontal cortex,Human,PM34718460,3,3,neocortex,suitable,,no,neocortex,rule,high,0.96
LdmPFC,left dorsomedial prefrontal cortex,Mouse,PM42034280,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
left motor cortex,contralesional (left) motor cortex,Rat,PM35552276,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
left parietal cortex,,Human,PM36237410,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
left posterior cingulate gyrus,,Human,PM35432176,3,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.93
lM2,left secondary motor cortex,Rat,PM36157577,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9767
M1 leg area,primary motor cortex leg area,,PM34624846,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
medial OFC,medial orbitofrontal cortex,Mouse,PM38155094,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9767
medial sensorimotor cortex,medial sensorimotor cortex,Mouse,PM36823038,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
MI cortex,motor cortex (MI),Rat,PM34665323,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
MMA,Medio-Medial-Anterior cortex,Mouse,PM33159207,3,1,neocortex,suitable,,no,neocortex,pro,medium,0.8
MOG,middle occipital gyrus,,PM41493598,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
neocortical visuomotor regions,,Human,PM40750361,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9867
OC,occipital cortex,Mouse,PM36062147,3,3,neocortex,suitable,,no,neocortex,rule,high,0.99
orbital cortex,orbital cortex,Mouse,PM41279263,3,3,neocortex,suitable,,no,neocortex,rule,high,0.99
PCL,paracentral lobule,Human,PM38788234,3,2,neocortex,suitable,,no,neocortex,rule,high,0.99
PEip,PEip,,PM34039649,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9333
PL-3,,,PM36309684,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9333
PLd,dorsal prelimbic cortex,,PM40204437,3,2,neocortex,suitable,,no,neocortex,rule,high,0.95
postCG,postcentral gyrus,Human,PM35263607,3,2,neocortex,suitable,,no,neocortex,rule,high,1.0
precentral motor cortex,,Human,PM35441404,3,1,neocortex,suitable,,no,neocortex,rule,high,1.0
prefrontal regions,prefrontal cortex,Mouse,PM34965430,3,2,neocortex,suitable,,no,neocortex,rule,high,1.0
preSMA,pre-supplementary motor area,Human,PM40902803,3,3,neocortex,suitable,,no,neocortex,rule,high,1.0
primary motor area,primary motor area,Mouse,PM35787428,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
primary sensory cortex,primary sensory cortex,Rat,PM40132571,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
pSTS,posterior superior temporal sulcus,Human,PM41611043,3,2,neocortex,suitable,,no,neocortex,rule,high,0.8833
RdmPFC,right dorsomedial prefrontal cortex,Mouse,PM42034280,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
right inferior frontal gyrus,inferior frontal gyrus,Human,PM37756204,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
right inferior parietal lobule,inferior parietal lobule,Human,PM37756204,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
right insula,right insula,Human,PM34449938,3,2,neocortex,suitable,,yes,unresolved,flash,high,0.9333
right motor cortex,ipsilesional (right) motor cortex,,PM35552276,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
rolandic cortex,rolandic cortex,Human,PM41115879,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
rostrolateral cortex,rostrolateral sensorimotor cortex,Mouse,PM34686320,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
S1 cortex,primary somatosensory cortex,Rat,PM41369359,3,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
S1BC,primary somatosensory area barrel cortex,Mouse,PM38573932,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
SFG,superior frontal gyrus,Human,PM40865499,3,3,neocortex,suitable,,no,neocortex,rule,high,1.0
SMC,secondary motor cortex,Rat,PM41356801,3,2,neocortex,suitable,,no,neocortex,rule,high,1.0
SSpII,secondary somatosensory cortex,Mouse,PM37311832,3,1,neocortex,suitable,,no,neocortex,rule,high,1.0
STG,superior temporal gyrus,,PM35263607,3,2,neocortex,suitable,,no,neocortex,rule,high,1.0
UF,ultrasonic frequency area,Mouse,PM38528192,3,1,neocortex,suitable,,no,neocortex,flash,high,0.89
VISpm,posteromedial visual cortex,Mouse,PM41345053,3,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
wS2,whisker secondary somatosensory cortex,Mouse,PM40010627,3,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
(D)LO,,Mouse,PM42107475,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8167
24,,,PM41542588,2,2,neocortex,suitable,,yes,non_neocortex,pro,medium,0.9167
A19,area 19,Cat,PM38753019,2,2,neocortex,suitable,,no,neocortex,rule,high,0.95
A19M,,Marmoset,PM41867795,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8333
A23V,,Marmoset,PM41867795,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.8567
A6DR,A6DR premotor cortex,Marmoset,PM41916301,2,2,neocortex,suitable,,no,neocortex,rule,high,0.95
ACAa,,,PM40667970,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.8267
ACC A24a,anterior cingulate cortex A24a,,PM32677044,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.9667
ACd,anterior dorsal cingulate,,PM40204437,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.9367
agranular insular area,agranular insular area,Mouse,PM40795854,2,2,neocortex,suitable,,no,neocortex,flash,high,0.9333
agranular insular cortex,agranular insular cortex,,PM42101519,2,2,neocortex,suitable,,no,neocortex,flash,high,0.9
aMCC,anterior mid-cingulate cortex,Human,PM41131362,2,1,neocortex,suitable,,no,neocortex,flash,high,0.8667
area 10m,area 10m,Macaque,PM42362380,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9333
area 24,area 24,Human,PM41947581,2,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9133
area 32,area 32,Human,PM41947581,2,2,neocortex,suitable,,yes,ambiguous,flash,high,0.87
area 32 V,medial prefrontal cortex (area 32 V),common marmoset (Callithrix jacchus),PM41212268,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8667
Area 5,Area 5 of the parietal cortex,Cat,PM35383368,2,2,neocortex,suitable,,no,neocortex,rule,high,0.95
area 9,dorsal area 9,Human,PM40542691,2,2,neocortex,suitable,,no,neocortex,rule,high,0.95
association cortex,association cortex,,PM32361987,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
associative cortex,,Human,PM37858906,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
AUD_i,ipsilateral auditory cortex,Mouse,PM35318336,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
AudCx,auditory cortex,Mouse,PM39721025,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
BA 4,primary motor cortex,Human,PM37318767,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
BA 46,,,PM39712140,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
BA 6,supplementary motor area,Human,PM37318767,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
banks of the superior temporal sulcus,,,PM40924875,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
BAR,barrel cortex,Mouse,PM40777408,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9933
BC',barrel cortex contralateral,Mouse,PM38019920,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
bilateral secondary motor areas,secondary motor areas,,PM33652469,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
bilateral supplementary motor area,supplementary motor area,Human,PM32677282,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
Broca area,Broca area,,PM41762365,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
Broca's area,Broca's area,Human,PM40766497,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
Brodmann area 5,Brodmann area 5,,PM40902803,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
CalCx,calcarine cortex,,PM41493598,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9767
cALM,contralateral anterior lateral motor cortex,Mouse,PM36171427,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9767
caudal anterior cingulate,,,PM40924875,2,1,neocortex,suitable,,no,neocortex,flash,high,0.8767
caudal forelimb motor cortex,caudal forelimb motor cortex,Rat,PM37837331,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9767
caudal middle frontal two,,,PM40924875,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9
central posterior gyrus,central posterior gyrus,,PM41211046,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8667
cingulated gyrus,cingulated gyrus,Human,PM33531807,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.8733
cMOp,contralateral primary motor cortex,,PM38712231,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
con-IC,contralateral insular cortex,Mouse,PM41275018,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8167
con-S1,contralateral somatosensory cortex,Mouse,PM41275018,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
contralateral auditory cortex,auditory cortex,Rat,PM39809536,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
contralateral M2,contralateral M2,Mouse,PM39178853,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
contralesional PM,contralesional premotor cortex,Macaque,PM39174504,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
cortical caudal hindlimb area,cortical caudal hindlimb area,Mouse,PM35115383,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
cSSp,contralateral primary somatosensory cortex,,PM38712231,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
dIPL,dorsal inferior parietal lobule,Human,PM32428227,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
dlPFCv,,Marmoset,PM37196659,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
dorsal mPFC,dorsal medial prefrontal cortex,,PM40381894,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
dorsal-posterior insula,dorsal-posterior insula,Human,PM35413481,2,2,neocortex,suitable,,no,neocortex,flash,high,0.94
dPMC,dorsal premotor cortex,Human,PM40619278,2,2,neocortex,suitable,,no,neocortex,rule,high,0.96
DPPC,dorso-posterior parietal cortex,Human,PM33789136,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
early visual cortex,early visual cortex,Human,PM41867795,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9333
F1,,Macaque,PM41405705,2,1,neocortex,suitable,,no,neocortex,rule,high,0.85
F2,,,PM34039649,2,1,neocortex,suitable,,no,neocortex,flash,medium,0.5667
F3,,,PM34039649,2,1,neocortex,suitable,,no,neocortex,flash,medium,0.75
FP-S1,forepaw primary somatosensory cortex,Rat,PM35107125,2,1,neocortex,suitable,,no,neocortex,rule,high,0.98
frontal area,,,PM35844218,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8
frontal areas,frontal areas,,PM34039649,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8
frontal opercular,,Macaque,PM41405705,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
fronto-parietal cortex,,Macaque,PM34147628,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
granular insular cortex,agranular insular cortex,,PM34611777,2,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9333
HG,Heschl's gyrus,Human,PM34343726,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
HO-AC,higher-order auditory cortex,Mouse,PM37742187,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
IL of mPFC,infralimbic region of medial prefrontal cortex,,PM38777132,2,1,neocortex,suitable,,no,neocortex,rule,high,0.94
infralimbic frontal cortex,infralimbic frontal cortex,Mouse,PM34686328,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9433
iPNsFezf2 in S1bfd,,,PM37348506,2,1,neocortex,suitable,,no,neocortex,rule,high,0.91
ipsilateral motor cortex,,,PM39592428,2,1,neocortex,suitable,,no,neocortex,rule,high,0.98
ipsilesional motor cortex,ipsilesional motor cortex,,PM38195605,2,1,neocortex,suitable,,no,neocortex,rule,high,0.98
ipsiM1,,Mouse,PM37348506,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
ipsiS1fl,,Mouse,PM37348506,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
ITG,inferior temporal gyrus,,PM38290158,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
L-Precuneus,Left precuneus,,PM36088305,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
LAG,left angular gyrus,Human,PM33625938,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
lateral PM,lateral premotor cortex,Human,PM39959718,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
lateral temporal cortex,lateral temporal cortex,,PM38081873,2,2,neocortex,suitable,,no,neocortex,rule,high,0.96
lateral vAIns,lateral ventral anterior insula,Human,PM41131362,2,1,neocortex,suitable,,no,neocortex,flash,high,0.83
ld dorsal prostriata,ld (lamina dissecans) of dorsal prostriata,Mouse,PM34795559,2,1,neocortex,suitable,,yes,non_neocortex,unresolved,low,0.45
left AC,left primary auditory cortex,Gerbil,PM35064004,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left AIC,anterior insula cortex,Human,PM38782961,2,1,neocortex,suitable,,no,neocortex,flash,high,0.8667
left dorsal ACC,dorsal anterior cingulate cortex,Human,PM38782961,2,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9167
left frontal cortex,,Human,PM36237410,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left IPL,left inferior parietal lobule,Human,PM37951951,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left middle frontal gyrus,left middle frontal gyrus,,PM41886010,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left occipital cortex,left occipital cortex,Human,PM37244076,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left OFC,left orbitofrontal cortex,,PM33907206,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left paracingulate gyrus,left paracingulate gyrus,,PM34432348,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.8833
left postcentral gyrus,left postcentral gyrus,Human,PM42361949,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
left precentral gyrus,precentral gyrus – caudal dorsolateral area 6,Human,PM42252837,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
left primary motor cortex,left primary motor cortex,,PM40131525,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
left rectus,left rectus,Human,PM34815270,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
left superior parietal gyrus,,Human,PM35432176,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
LJBSF,lower jaw barrel subfield,Rat,PM39235156,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
LT,lateral temporal,Ferret,PM34611910,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9167
M1FACE,primary motor cortex face area,Human,PM32932052,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
M1HAND,primary motor cortex hand representation,Human,PM36629338,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
M2 cortex,secondary motor cortex,Mouse,PM37001992,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
M2+ patches,M2+ patches,Mouse,PM38650594,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
M2− interpatches,M2− interpatches,Mouse,PM38650594,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
medial frontal gyrus,medial frontal gyrus,,PM34718460,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
medial PM,medial premotor cortex,Human,PM39959718,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
medial prefrontal cortices,,,PM42107475,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
medial superior frontal region,,,PM40924875,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
mesial frontal regions,mesial frontal regions,Human,PM37788939,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
mesial premotor,,Macaque,PM41405705,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
MII,secondary motor cortex,Mouse,PM37539042,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9967
MOs-c,central region of the secondary motor cortex,Mouse,PM41612025,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9967
motor,motor cortex,Human,PM41542588,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9933
multilobar cortical regions,,Human,PM32736326,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8333
non-whisker S1,non-whisker S1 area,Mouse,PM34759028,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9633
occipital regions,occipital regions,Human,PM40784215,2,2,neocortex,suitable,,no,neocortex,rule,high,0.95
orbitofrontal,orbitofrontal cortex,Rat,PM38947053,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
ORBm,medial orbitofrontal cortex,Mouse,PM40256320,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
parietal areas,parietal areas,,PM34039649,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
parietal-occipital cortex,parietal-occipital cortex,Human,PM34296169,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
pars opercularis two,,,PM40924875,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
pars T.,triangular part of the inferior frontal gyrus,Human,PM35263607,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
pars triangularis one,,,PM40924875,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9
peri-infarct cortex,,Mouse,PM36072905,2,1,neocortex,suitable,,no,neocortex,flash,high,0.8433
peri-infarct motor cortex,,Mouse,PM33377130,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9333
PI,posterior insula,Human,PM37188633,2,1,neocortex,suitable,,no,neocortex,rule,high,0.8667
PMA,premotor area,Human,PM33611621,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9567
pmHG,posteromedial Heschl's gyrus,Human,PM42314916,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
pmL,lateral pre-motor area,Human,PM34284239,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9567
precentral gyrus (M1),precentral gyrus (M1),Human,PM33338201,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9933
Prefrontal,Prefrontal cortex,Human,PM36661404,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9967
prefrontal areas,,Mouse,PM41405705,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
primary auditory cortex,primary auditory cortex,Mouse,PM40832125,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9967
primary sensorimotor cortex,primary sensorimotor cortex,Mouse,PM36077034,2,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
primary sensorimotor regions,,Human,PM35076030,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
ProSt,prostriata,Marmoset,PM41867795,2,1,neocortex,suitable,,no,neocortex,flash,high,0.8167
pSTG,posterior superior temporal gyrus,Human,PM42314916,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
RAG,right angular gyrus,Human,PM33625938,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
RFO,rostral forelimb-orofacial area,Mouse,PM40470211,2,1,neocortex,suitable,,no,neocortex,rule,high,0.95
right AC,right primary auditory cortex,Gerbil,PM35064004,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
right DLPFC,right dorsolateral prefrontal cortex,Macaque,PM42127800,2,2,neocortex,suitable,,no,neocortex,rule,high,0.96
right dorsal ACC,right dorsal anterior cingulate cortex,,PM36371438,2,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.95
right IFCop,right Inferior frontal cortex pars opercularis,Human,PM36057839,2,1,neocortex,suitable,,no,neocortex,rule,high,0.96
right IFG,right inferior frontal gyrus,Human,PM36335806,2,2,neocortex,suitable,,no,neocortex,rule,high,0.96
right ITG,,,PM33061917,2,1,neocortex,suitable,,no,neocortex,rule,high,0.9767
right MOG,right middle occipital gyrus,,PM42127800,2,2,neocortex,suitable,,no,neocortex,rule,high,0.99
