structure_name,expected_homba_id,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Substantia nigra pars reticulata,,compound_modifier,,1,HOMBA:12259,"substantia nigra, reticular division",SNR,"substantia nigra, reticular part",SNR,HOMBA:12251,1048,1044,1.0,bm25+exact+fuzzy,Substantia nigra pars reticulata,Substantia nigra pars reticulata,high_confidence,,1.0,,both
Substantia nigra pars reticulata,,compound_modifier,,2,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,0.97,bm25+fuzzy+hierarchy_parent,Substantia nigra pars reticulata,substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Substantia nigra pars reticulata,,compound_modifier,,3,HOMBA:12252,"substantia nigra, compact division",SNC,"substantia nigra, compact part",SNC,HOMBA:12251,1044,1044,0.614153,bm25+fuzzy+hierarchy_parent,Substantia nigra pars reticulata,substantia nigra pars compacta,needs_review,,1.0,common_parent_of_3_candidates,both
Nucleus accumbens core,,compound_modifier,,1,HOMBA:10340,core of nucleus accumbens,NACc,core of nucleus accumbens,NACc,HOMBA:10339,486,486,1.0,bm25+fuzzy,Nucleus accumbens core,core of nucleus accumbens,high_confidence,core,1.0,,both
Nucleus accumbens core,,compound_modifier,,2,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,0.753867,bm25+fuzzy,Nucleus accumbens core,nucleus accumbens,needs_review,core,0.0,,both
Nucleus accumbens core,,compound_modifier,,3,HOMBA:10341,shell of nucleus accumbens,NACs,shell of nucleus accumbens,NACs,HOMBA:10339,489,486,0.566804,bm25+fuzzy,nuclei accumbens core,shell of nuclei accumbens,low_confidence,core,0.0,,both
Nucleus accumbens shell,,compound_modifier,,1,HOMBA:10341,shell of nucleus accumbens,NACs,shell of nucleus accumbens,NACs,HOMBA:10339,489,486,0.999286,bm25+fuzzy,Nucleus accumbens shell,shell of nucleus accumbens,high_confidence,shell,1.0,,both
Nucleus accumbens shell,,compound_modifier,,2,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,0.753867,bm25+fuzzy,Nucleus accumbens shell,nucleus accumbens,needs_review,shell,0.0,,both
Nucleus accumbens shell,,compound_modifier,,3,HOMBA:12594,"gracile nucleus, rostral division (shell)",GrR,"gracile nucleus, rostral part (shell)",GrR,HOMBA:12592,1363,1362,0.637518,bm25+fuzzy,Nucleus accumbens shell,shell,needs_review,shell,1.0,,both
Basolateral amygdala,,compound_modifier,,1,HOMBA:10366,basolateral nuclear group of amygdala,BLN,basolateral nuclear group,BLN,HOMBA:AA30222,599,569,1.0,bm25+exact+fuzzy+hierarchy_parent,Basolateral amygdala,Basolateral amygdala,high_confidence,,1.0,common_parent_of_3_candidates,both
Basolateral amygdala,,compound_modifier,,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.97,bm25+fuzzy+hierarchy_parent,Basolateral amygdala,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Basolateral amygdala,,compound_modifier,,3,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,0.7625,bm25+fuzzy,basolateral amygdaloid complex,amygdaloid complex,needs_review,,1.0,,both
Central amygdala,,compound_modifier,,1,HOMBA:10363,central nucleus of amygdala,CEN,central nuclear group,CEN,HOMBA:AA30223,573,570,1.0,bm25+exact+fuzzy+hierarchy_parent,Central amygdala,Central amygdala,high_confidence,,1.0,common_parent_of_3_candidates,both
Central amygdala,,compound_modifier,,2,HOMBA:AA30223,anterior-central nuclear group of amygdala,ACEN,,,HOMBA:AA30222,569,569,0.8342,bm25+fuzzy+hierarchy_parent,Central amygdala,anterior-central nuclear group of amygdala,needs_review,,1.0,common_parent_of_2_candidates,both
Central amygdala,,compound_modifier,,3,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,0.815,bm25+fuzzy,central amygdaloid complex,amygdaloid complex,needs_review,,1.0,,both
Dentate nucleus,,cerebellar_nucleus,,1,HOMBA:12396,dentate (lateral) nucleus,DT,dentate (lateral) nucleus,DT,HOMBA:10660,1160,1160,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate nucleus,Dentate nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Dentate nucleus,,cerebellar_nucleus,,2,HOMBA:12398,"dentate nucleus, mediodorsal division",DTmd,"dentate nucleus, mediodorsal part",DTmd,HOMBA:12396,1162,1161,0.675458,bm25+fuzzy,dentate lateral nucleus,dentate lateral nucleus mediodorsal part,needs_review,,1.0,,both
Dentate nucleus,,cerebellar_nucleus,,3,HOMBA:12587,sensory relay nuclei in medulla oblongata,MoSR,sensory relay nuclei in medulla oblongata,MoSR,HOMBA:AA30451,1356,1324,0.658333,hierarchy_parent,Dentate nucleus,sensory relay nuclei in medulla oblongata,needs_review,,1.0,common_parent_of_2_candidates,both
Fastigial nucleus,,cerebellar_nucleus,,1,HOMBA:12402,fastigial (medial) nucleus,FAS,fastigial (medial) nucleus,Fas,HOMBA:10660,1166,1160,1.0,bm25+exact+fuzzy+hierarchy_parent,Fastigial nucleus,Fastigial nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Fastigial nucleus,,cerebellar_nucleus,,2,HOMBA:12404,"fastigial nucleus, medial division",FASm,"fastigial nucleus, medial part",FasM,HOMBA:12402,1167,1167,0.734583,bm25+fuzzy,fastigial medial nucleus,fastigial medial nucleus medial part,needs_review,,1.0,,both
Fastigial nucleus,,cerebellar_nucleus,,3,HOMBA:12403,"fastigial nucleus, lateral division",FASl,"fastigial nucleus, lateral part",FasL,HOMBA:12402,1168,1167,0.722962,bm25+fuzzy,fastigial medial nucleus,fastigial medial nucleus lateral part,needs_review,,1.0,,both
Emboliform nucleus,,cerebellar_nucleus,,1,HOMBA:12401,lateral interpositus (emboliform) nucleus,InPl,lateral interpositus (emboliform) nucleus,InPL,HOMBA:12399,1165,1164,1.0,bm25+exact+fuzzy,Emboliform nucleus,Emboliform nucleus,high_confidence,,1.0,,both
Emboliform nucleus,,cerebellar_nucleus,,2,HOMBA:12399,interpositus (intermediate) nucleus,InP,interpositus (intermediate) nucleus,InP,HOMBA:10660,1163,1160,0.97,bm25+fuzzy+hierarchy_parent,Emboliform nucleus,interpositus (intermediate) nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Emboliform nucleus,,cerebellar_nucleus,,3,HOMBA:10660,cerebellar deep nuclei,CbDN,cerebellar deep nuclei,CbDN,HOMBA:10656,1159,1103,0.665447,hierarchy_parent,Emboliform nucleus,cerebellar deep nuclei,needs_review,,1.0,common_parent_of_2_candidates,both
Globose nucleus,,cerebellar_nucleus,,1,HOMBA:12400,medial interpositus (globose) nucleus,InPm,medial interpositus (globose) nucleus,InPM,HOMBA:12399,1164,1164,1.0,bm25+exact+fuzzy,Globose nucleus,Globose nucleus,high_confidence,,1.0,,both
Globose nucleus,,cerebellar_nucleus,,2,HOMBA:12399,interpositus (intermediate) nucleus,InP,interpositus (intermediate) nucleus,InP,HOMBA:10660,1163,1160,0.97,bm25+fuzzy+hierarchy_parent,Globose nucleus,interpositus (intermediate) nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Globose nucleus,,cerebellar_nucleus,,3,HOMBA:10660,cerebellar deep nuclei,CbDN,cerebellar deep nuclei,CbDN,HOMBA:10656,1159,1103,0.681528,hierarchy_parent,Globose nucleus,cerebellar deep nuclei,needs_review,,1.0,common_parent_of_3_candidates,both
Stria terminalis,,fiber_tract,,1,HOMBA:10591,stria terminalis,st,stria terminalis,st,HOMBA:AA30489,1659,1607,1.0,bm25+exact+fuzzy,Stria terminalis,Stria terminalis,high_confidence,,1.0,,both
Stria terminalis,,fiber_tract,,2,HOMBA:AA30259,remaining caudal extension of BST (along stria terminalis),BSTst,,,HOMBA:10384,661,646,0.736733,bm25+fuzzy,Stria terminalis,along stria terminalis,needs_review,,1.0,,both
Stria terminalis,,fiber_tract,,3,HOMBA:AA30882,commissural branch of stria terminalis,stc,,,HOMBA:10591,1660,1660,0.655114,bm25+fuzzy,Stria terminalis,commissural branch of stria terminalis,needs_review,,1.0,,both
Medial forebrain bundle,,fiber_tract,,1,HOMBA:10587,medial forebrain bundle,mfb,medial forebrain bundle,mfb,HOMBA:AA30492,1745,1689,1.0,bm25+exact+fuzzy,Medial forebrain bundle,Medial forebrain bundle,high_confidence,medial,1.0,,both
Medial forebrain bundle,,fiber_tract,,2,HOMBA:10156,gray matter of forebrain (prosencephalon),FB,forebrain (prosencephalon),F,HOMBA:AA30000,3,3,0.519988,bm25+fuzzy,Medial forebrain bundle,forebrain,low_confidence,medial,0.0,,both
Medial forebrain bundle,,fiber_tract,,3,HOMBA:10349,basal forebrain,BF,basal forebrain,BF,HOMBA:10331,535,451,0.447797,bm25+fuzzy,Medial forebrain bundle,basal forebrain,low_confidence,medial,0.0,,both
Perforant path,,fiber_tract,,1,HOMBA:12080,perforant path,perf,perforant path,perf,HOMBA:AA30492,1760,1689,1.0,bm25+exact+fuzzy,Perforant path,Perforant path,high_confidence,,1.0,,both
Perforant path,,fiber_tract,,2,HOMBA:12092,tuberoinfundibular path,tuin,tuberoinfundibular path,tuin,HOMBA:AA30492,1810,1689,0.271712,bm25,Perforant path,tuberoinfundibular path,low_confidence,,1.0,,both
Perforant path,,fiber_tract,,3,HOMBA:266441637,superficial presubicular path,sprs,superficial presubicular path,sprs,HOMBA:AA30492,1795,1689,0.243552,bm25,Perforant path,superficial presubicular path,low_confidence,,1.0,,both
Fimbria of hippocampus,,fiber_tract,,1,HOMBA:10575,fimbria,fim,fimbria,fim,HOMBA:AA30489,1618,1607,1.0,bm25+exact+fuzzy,Fimbria of hippocampus,Fimbria of hippocampus,high_confidence,,1.0,,both
Fimbria of hippocampus,,fiber_tract,,2,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,0.722586,bm25+fuzzy,fimbria of hippocampus of hippocampus,hippocampus,needs_review,,1.0,,both
Fimbria of hippocampus,,fiber_tract,,3,HOMBA:12173,body of hippocampus,HiB,body of hippocampus,HiB,HOMBA:AA30550,1971,1969,0.626951,bm25+fuzzy,fimbria of hippocampus of hippocampus,body of hippocampus,needs_review,,1.0,,both
CA1,,abbreviation,hippocampal_subfield,1,HOMBA:10297,CA1 region of hippocampus,CA1,CA1 region of Hipp,CA1,HOMBA:10296,312,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA1,CA1,high_confidence,,1.0,common_parent_of_2_candidates,both
CA1,,abbreviation,hippocampal_subfield,2,HOMBA:AA30150,"lamination of hippocampal proper (CA1, CA2, CA3)",CAL,,,HOMBA:AA30125,398,374,1.0,bm25+exact+fuzzy,CA1,CA1,high_confidence,,1.0,,both
CA1,,abbreviation,hippocampal_subfield,3,HOMBA:10296,hippocampal proper (Cornu Ammonis),CA,hippocampal proper,Hipp,HOMBA:AA30093,311,311,0.706928,bm25+fuzzy,cornu ammonis 1,Cornu Ammonis,needs_review,,1.0,,both
CA3,,abbreviation,hippocampal_subfield,1,HOMBA:10299,CA3 region of hippocampus,CA3,CA3 region of Hipp,CA3,HOMBA:10296,328,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA3,CA3,high_confidence,,1.0,common_parent_of_2_candidates,both
CA3,,abbreviation,hippocampal_subfield,2,HOMBA:AA30150,"lamination of hippocampal proper (CA1, CA2, CA3)",CAL,,,HOMBA:AA30125,398,374,1.0,bm25+exact+fuzzy,CA3,CA3,high_confidence,,1.0,,both
CA3,,abbreviation,hippocampal_subfield,3,HOMBA:10296,hippocampal proper (Cornu Ammonis),CA,hippocampal proper,Hipp,HOMBA:AA30093,311,311,0.706928,bm25+fuzzy,cornu ammonis 3,Cornu Ammonis,needs_review,,1.0,,both
STN,,abbreviation,subthalamic_nucleus,1,HOMBA:10466,subthalamic nucleus,STH,subthalamic nucleus,STH,HOMBA:10465,856,856,1.0,bm25+exact+fuzzy,STN,STN,high_confidence,,1.0,,both
STN,,abbreviation,subthalamic_nucleus,2,HOMBA:13058,parasubthalamic nucleus,PSTh,parasubthalamic nucleus,PSTh,HOMBA:10494,917,914,0.5934,fuzzy,subthalamic nucleus,parasubthalamic nucleus,low_confidence,,1.0,,both
STN,,abbreviation,subthalamic_nucleus,3,HOMBA:12089,subthalamic fasciculus,sthf,subthalamic fasciculus,sthf,HOMBA:AA30492,1794,1689,0.504879,bm25+fuzzy,subthalamic nucleus,subthalamic fasciculus,low_confidence,,1.0,,both
VTA,,abbreviation,ventral_tegmental_area,1,HOMBA:12261,ventral tegmental area,VTA,ventral tegmental area,VTA,HOMBA:146034938,1053,1053,1.0,bm25+exact+fuzzy,VTA,VTA,high_confidence,,1.0,,both
VTA,,abbreviation,ventral_tegmental_area,2,HOMBA:12802,ventral tegmental tract in hindbrain,vtg,ventral tegmental tract,vtg,HOMBA:266441725,1814,1813,0.50727,bm25+fuzzy,ventral tegmental area,ventral tegmental tract,low_confidence,,1.0,,both
VTA,,abbreviation,ventral_tegmental_area,3,HOMBA:12266,ventral tegmental nucleus (of Gudden),VTg,ventral tegmental nucleus,VTg,HOMBA:12471,1282,1281,0.484579,bm25+fuzzy,ventral tegmental area,ventral tegmental nuclei,low_confidence,,1.0,,both
LC,,abbreviation,locus_coeruleus,1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,1.0,bm25+exact+fuzzy,locus coeruleus,locus coeruleus,high_confidence,,1.0,,both
SN,,abbreviation,substantia_nigra,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy+hierarchy_parent,SN,SN,high_confidence,,1.0,common_parent_of_4_candidates,both
SN,,abbreviation,substantia_nigra,2,HOMBA:12252,"substantia nigra, compact division",SNC,"substantia nigra, compact part",SNC,HOMBA:12251,1044,1044,0.531396,bm25+fuzzy,substantia nigra,"substantia nigra, compact part",low_confidence,,1.0,,both
SN,,abbreviation,substantia_nigra,3,HOMBA:12257,"substantia nigra, lateral division",SNL,"substantia nigra, lateral part",SNL,HOMBA:12251,1049,1044,0.531396,bm25+fuzzy,substantia nigra,"substantia nigra, lateral part",low_confidence,,1.0,,both
PAG,,abbreviation,periaqueductal_gray,1,HOMBA:12209,periaqueductal gray substance,PAG,periaqueductal gray substance,PAG,HOMBA:AA30359,999,999,1.0,bm25+exact+fuzzy+hierarchy_parent,PAG,PAG,high_confidence,,1.0,common_parent_of_5_candidates,both
PAG,,abbreviation,periaqueductal_gray,2,HOMBA:AA30359,periaqueductal gray region,PAGR,,,HOMBA:12195,998,986,0.69,bm25+fuzzy,periaqueductal gray,periaqueductal gray region,needs_review,,1.0,,both
PAG,,abbreviation,periaqueductal_gray,3,HOMBA:12215,"periaqueductal gray substance, pleioglial division",PAGpl,"periaqueductal gray substance, pleioglial division",PAGpl,HOMBA:12209,1004,1000,0.529251,bm25+fuzzy,periaqueductal gray,"periaqueductal gray substance, pleioglial division",low_confidence,,1.0,,both
