structure_name,expected_homba_id,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Substantia nigra pars compacta,,compound_modifier,,3,HOMBA:12257,"substantia nigra, lateral division",SNL,"substantia nigra, lateral part",SNL,HOMBA:12251,1049,1044,0.520216,bm25+fuzzy,Substantia nigra pars compacta,"substantia nigra, lateral division",low_confidence,,1.0,,both
Substantia nigra pars reticulata,,compound_modifier,,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,0.818582,bm25+fuzzy+hierarchy_parent,Substantia nigra pars reticulata,substantia nigra,needs_review,,1.0,common_parent_of_4_candidates,both
Substantia nigra pars reticulata,,compound_modifier,,2,HOMBA:12252,"substantia nigra, compact division",SNC,"substantia nigra, compact part",SNC,HOMBA:12251,1044,1044,0.669462,bm25+fuzzy+hierarchy_parent,Substantia nigra pars reticulata,"substantia nigra, compact division",needs_review,,1.0,common_parent_of_3_candidates,both
Substantia nigra pars reticulata,,compound_modifier,,3,HOMBA:12259,"substantia nigra, reticular division",SNR,"substantia nigra, reticular part",SNR,HOMBA:12251,1048,1044,0.574437,bm25+fuzzy,Substantia nigra pars reticulata,"substantia nigra, reticular part",low_confidence,,1.0,,both
Nucleus accumbens core,,compound_modifier,,1,HOMBA:10340,core of nucleus accumbens,NACc,core of nucleus accumbens,NACc,HOMBA:10339,486,486,1.0,bm25+fuzzy,Nucleus accumbens core,core of nucleus accumbens,high_confidence,core,1.0,,both
Nucleus accumbens core,,compound_modifier,,2,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,0.753867,bm25+fuzzy,Nucleus accumbens core,nucleus accumbens,needs_review,core,0.0,,both
Nucleus accumbens core,,compound_modifier,,3,HOMBA:10341,shell of nucleus accumbens,NACs,shell of nucleus accumbens,NACs,HOMBA:10339,489,486,0.565241,bm25+fuzzy,nuclei accumbens core,shell of nuclei accumbens,low_confidence,core,0.0,,both
Nucleus accumbens shell,,compound_modifier,,1,HOMBA:10341,shell of nucleus accumbens,NACs,shell of nucleus accumbens,NACs,HOMBA:10339,489,486,0.999286,bm25+fuzzy,Nucleus accumbens shell,shell of nucleus accumbens,high_confidence,shell,1.0,,both
Nucleus accumbens shell,,compound_modifier,,2,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,0.753867,bm25+fuzzy,Nucleus accumbens shell,nucleus accumbens,needs_review,shell,0.0,,both
Nucleus accumbens shell,,compound_modifier,,3,HOMBA:12594,"gracile nucleus, rostral division (shell)",GrR,"gracile nucleus, rostral part (shell)",GrR,HOMBA:12592,1363,1362,0.636574,bm25+fuzzy,Nucleus accumbens shell,shell,needs_review,shell,1.0,,both
Basolateral amygdala,,compound_modifier,,1,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.97,bm25+fuzzy+hierarchy_parent,Basolateral amygdala,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Basolateral amygdala,,compound_modifier,,2,HOMBA:10366,basolateral nuclear group of amygdala,BLN,basolateral nuclear group,BLN,HOMBA:AA30222,599,569,0.898669,bm25+fuzzy+hierarchy_parent,Basolateral amygdala,basolateral nuclear group of amygdala,needs_review,,1.0,common_parent_of_3_candidates,both
Basolateral amygdala,,compound_modifier,,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.780562,bm25+fuzzy+hierarchy_parent,Basolateral amygdala,extended amygdala,needs_review,,1.0,common_parent_of_2_candidates,both
Central amygdala,,compound_modifier,,1,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.951755,bm25+fuzzy+hierarchy_parent,Central amygdala,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Central amygdala,,compound_modifier,,2,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,0.815,bm25+fuzzy,central amygdaloid complex,amygdaloid complex,needs_review,,1.0,,both
Central amygdala,,compound_modifier,,3,HOMBA:10387,sublenticular extended amygdala,SLEA,sublenticular extended amygdala,SLEA,HOMBA:AA30243,662,645,0.793418,bm25+fuzzy+hierarchy_parent,Central amygdala,sublenticular extended amygdala,needs_review,,1.0,common_parent_of_2_candidates,both
Dentate nucleus,,cerebellar_nucleus,,1,HOMBA:10660,cerebellar deep nuclei,CbDN,cerebellar deep nuclei,CbDN,HOMBA:10656,1159,1103,0.97,hierarchy_parent,Dentate nucleus,cerebellar deep nuclei,high_confidence,,1.0,common_parent_of_3_candidates,both
Dentate nucleus,,cerebellar_nucleus,,2,HOMBA:12396,dentate (lateral) nucleus,DT,dentate (lateral) nucleus,DT,HOMBA:10660,1160,1160,0.86,bm25+exact+fuzzy+hierarchy_parent,Dentate nucleus,Dentate nucleus,needs_review,,1.0,common_parent_of_2_candidates,both
Dentate nucleus,,cerebellar_nucleus,,3,HOMBA:12587,sensory relay nuclei in medulla oblongata,MoSR,sensory relay nuclei in medulla oblongata,MoSR,HOMBA:AA30451,1356,1324,0.74,hierarchy_parent,Dentate nucleus,sensory relay nuclei in medulla oblongata,needs_review,,1.0,common_parent_of_3_candidates,both
Fastigial nucleus,,cerebellar_nucleus,,1,HOMBA:10660,cerebellar deep nuclei,CbDN,cerebellar deep nuclei,CbDN,HOMBA:10656,1159,1103,0.97,hierarchy_parent,Fastigial nucleus,cerebellar deep nuclei,high_confidence,,1.0,common_parent_of_3_candidates,both
Fastigial nucleus,,cerebellar_nucleus,,2,HOMBA:12402,fastigial (medial) nucleus,FAS,fastigial (medial) nucleus,Fas,HOMBA:10660,1166,1160,0.86,bm25+exact+fuzzy+hierarchy_parent,Fastigial nucleus,Fastigial nucleus,needs_review,,1.0,common_parent_of_2_candidates,both
Fastigial nucleus,,cerebellar_nucleus,,3,HOMBA:12417,efferent nuclei of cranial nerves in pons,PnEN,efferent nuclei of cranial nerves in pons,PnEN,HOMBA:12416,1199,1181,0.7534,hierarchy_parent,Fastigial nucleus,efferent nuclei of cranial nerves in pons,needs_review,,1.0,common_parent_of_4_candidates,both
Emboliform nucleus,,cerebellar_nucleus,,1,HOMBA:12401,lateral interpositus (emboliform) nucleus,InPl,lateral interpositus (emboliform) nucleus,InPL,HOMBA:12399,1165,1164,0.648162,bm25+fuzzy,emboliform nuclei,emboliform,needs_review,,1.0,,both
Emboliform nucleus,,cerebellar_nucleus,,2,HOMBA:10371,endopiriform nucleus,En,endopiriform nucleus,En,HOMBA:AA30263,674,669,0.617245,fuzzy+hierarchy_parent,Emboliform nucleus,endopiriform nucleus,needs_review,,1.0,common_parent_of_2_candidates,both
Emboliform nucleus,,cerebellar_nucleus,,3,HOMBA:12556,afferent nuclei of cranial nerves in medulla oblongata,MoAN,afferent nuclei of cranial nerves in medulla oblongata,MoAN,HOMBA:AA30451,1342,1324,0.612773,hierarchy_parent,Emboliform nucleus,afferent nuclei of cranial nerves in medulla oblongata,needs_review,,1.0,common_parent_of_3_candidates,both
Globose nucleus,,cerebellar_nucleus,,1,HOMBA:12587,sensory relay nuclei in medulla oblongata,MoSR,sensory relay nuclei in medulla oblongata,MoSR,HOMBA:AA30451,1356,1324,0.643333,hierarchy_parent,Globose nucleus,sensory relay nuclei in medulla oblongata,needs_review,,1.0,common_parent_of_2_candidates,both
Globose nucleus,,cerebellar_nucleus,,2,HOMBA:12539,efferent nuclei of cranial nerves in the medulla oblongata,MoEN,efferent nuclei of cranial nerves in the medulla oblongata,MoEN,HOMBA:AA30451,1326,1324,0.62944,hierarchy_parent,Globose nucleus,efferent nuclei of cranial nerves in the medulla oblongata,needs_review,,1.0,common_parent_of_2_candidates,both
Globose nucleus,,cerebellar_nucleus,,3,HOMBA:10660,cerebellar deep nuclei,CbDN,cerebellar deep nuclei,CbDN,HOMBA:10656,1159,1103,0.596667,hierarchy_parent,Globose nucleus,cerebellar deep nuclei,low_confidence,,1.0,common_parent_of_3_candidates,both
Stria terminalis,,fiber_tract,,1,HOMBA:10591,stria terminalis,st,stria terminalis,st,HOMBA:AA30489,1659,1607,1.0,bm25+exact+fuzzy,Stria terminalis,Stria terminalis,high_confidence,,1.0,,both
Stria terminalis,,fiber_tract,,2,HOMBA:AA30259,remaining caudal extension of BST (along stria terminalis),BSTst,,,HOMBA:10384,661,646,0.736733,bm25+fuzzy,Stria terminalis,along stria terminalis,needs_review,,1.0,,both
Stria terminalis,,fiber_tract,,3,HOMBA:AA30882,commissural branch of stria terminalis,stc,,,HOMBA:10591,1660,1660,0.654258,bm25+fuzzy,Stria terminalis,commissural branch of stria terminalis,needs_review,,1.0,,both
Medial forebrain bundle,,fiber_tract,,1,HOMBA:10587,medial forebrain bundle,mfb,medial forebrain bundle,mfb,HOMBA:AA30492,1745,1689,1.0,bm25+exact+fuzzy,Medial forebrain bundle,Medial forebrain bundle,high_confidence,medial,1.0,,both
Medial forebrain bundle,,fiber_tract,,2,HOMBA:10156,gray matter of forebrain (prosencephalon),FB,forebrain (prosencephalon),F,HOMBA:AA30000,3,3,0.519837,bm25+fuzzy,Medial forebrain bundle,forebrain,low_confidence,medial,0.0,,both
Medial forebrain bundle,,fiber_tract,,3,HOMBA:10349,basal forebrain,BF,basal forebrain,BF,HOMBA:10331,535,451,0.447349,bm25+fuzzy,Medial forebrain bundle,basal forebrain,low_confidence,medial,0.0,,both
Perforant path,,fiber_tract,,1,HOMBA:12080,perforant path,perf,perforant path,perf,HOMBA:AA30492,1760,1689,1.0,bm25+exact+fuzzy,Perforant path,Perforant path,high_confidence,,1.0,,both
Perforant path,,fiber_tract,,2,HOMBA:12092,tuberoinfundibular path,tuin,tuberoinfundibular path,tuin,HOMBA:AA30492,1810,1689,0.270333,bm25,Perforant path,tuberoinfundibular path,low_confidence,,1.0,,both
Perforant path,,fiber_tract,,3,HOMBA:266441637,superficial presubicular path,sprs,superficial presubicular path,sprs,HOMBA:AA30492,1795,1689,0.241876,bm25,Perforant path,superficial presubicular path,low_confidence,,1.0,,both
Fimbria of hippocampus,,fiber_tract,,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,0.6875,bm25+fuzzy,Fimbria of hippocampus,hippocampus,needs_review,,1.0,,both
Fimbria of hippocampus,,fiber_tract,,2,HOMBA:10575,fimbria,fim,fimbria,fim,HOMBA:AA30489,1618,1607,0.609011,bm25+fuzzy,Fimbria of hippocampus,fimbria,needs_review,,1.0,,both
Fimbria of hippocampus,,fiber_tract,,3,HOMBA:12173,body of hippocampus,HiB,body of hippocampus,HiB,HOMBA:AA30550,1971,1969,0.58568,bm25+fuzzy,Fimbria of hippocampus,body of hippocampus,low_confidence,,1.0,,both
CA1,,abbreviation,hippocampal_subfield,1,HOMBA:10297,CA1 region of hippocampus,CA1,CA1 region of Hipp,CA1,HOMBA:10296,312,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA1,CA1,high_confidence,,1.0,common_parent_of_2_candidates,both
CA1,,abbreviation,hippocampal_subfield,2,HOMBA:AA30150,"lamination of hippocampal proper (CA1, CA2, CA3)",CAL,,,HOMBA:AA30125,398,374,1.0,bm25+exact+fuzzy,CA1,CA1,high_confidence,,1.0,,both
CA1,,abbreviation,hippocampal_subfield,3,HOMBA:AA30096,major division of CA1,CA1mj,,,HOMBA:10297,316,313,0.710011,bm25+hierarchy_parent,CA1,major division of CA1,needs_review,,1.0,common_parent_of_3_candidates,both
CA3,,abbreviation,hippocampal_subfield,1,HOMBA:10299,CA3 region of hippocampus,CA3,CA3 region of Hipp,CA3,HOMBA:10296,328,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA3,CA3,high_confidence,,1.0,common_parent_of_2_candidates,both
CA3,,abbreviation,hippocampal_subfield,2,HOMBA:AA30150,"lamination of hippocampal proper (CA1, CA2, CA3)",CAL,,,HOMBA:AA30125,398,374,1.0,bm25+exact+fuzzy,CA3,CA3,high_confidence,,1.0,,both
CA3,,abbreviation,hippocampal_subfield,3,HOMBA:AA30104,major division of CA3,CA3mj,,,HOMBA:10299,332,329,0.710011,bm25+hierarchy_parent,CA3,major division of CA3,needs_review,,1.0,common_parent_of_3_candidates,both
STN,,abbreviation,subthalamic_nucleus,0,,,,,,,,,,,,,,,,,both
VTA,,abbreviation,ventral_tegmental_area,1,HOMBA:12261,ventral tegmental area,VTA,ventral tegmental area,VTA,HOMBA:146034938,1053,1053,0.86,bm25+exact+fuzzy,VTA,VTA,needs_review,,1.0,,both
LC,,abbreviation,locus_coeruleus,0,,,,,,,,,,,,,,,,,both
SN,,abbreviation,substantia_nigra,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy,SN,SN,high_confidence,,1.0,,both
PAG,,abbreviation,periaqueductal_gray,1,HOMBA:12209,periaqueductal gray substance,PAG,periaqueductal gray substance,PAG,HOMBA:AA30359,999,999,1.0,bm25+exact+fuzzy,PAG,PAG,high_confidence,,1.0,,both
