structure_name,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Claustrum,3,HOMBA:10348,ventral claustrum,CLv,ventral claustrum,CLv,HOMBA:10346,671,670,0.610221,bm25+fuzzy,Claustrum,ventral claustrum,needs_review,,1.0,,both
Insula,1,HOMBA:12176,insular lobe,InL,insular lobe,InL,HOMBA:12112,2001,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Insula,Insula,high_confidence,,1.0,common_parent_of_2_candidates,both
Insula,2,HOMBA:12179,limen insula,LI,limen insula,LI,HOMBA:AA30560,2005,2005,0.8125,bm25+fuzzy,insular lobe,limen insular lobe,needs_review,,1.0,,both
Insula,3,HOMBA:13343,precentral sulcus of insula,prin,precentral sulcus of insula,prin,HOMBA:10611,1882,1840,0.498699,bm25+fuzzy,insular lobe,precentral sulcus of insular lobe,low_confidence,,1.0,,both
Cingulate gyrus,1,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,1.0,bm25+exact+fuzzy+hierarchy_parent,Cingulate gyrus,Cingulate gyrus,high_confidence,,1.0,common_parent_of_5_candidates,both
Cingulate gyrus,2,HOMBA:146034872,paracingulate gyrus,PaCG,paracingulate gyrus,PaCG,HOMBA:12113,1930,1912,0.773333,bm25+fuzzy,Cingulate gyrus,paracingulate gyrus,needs_review,,1.0,,both
Cingulate gyrus,3,HOMBA:10282,"midcingulate cortex (MCC, intermediate cingulate cortex)",MCC,midcingulate cortex,MCC,HOMBA:10277,218,206,0.736733,bm25+fuzzy,cingulate cortex,midcingulate cortex,needs_review,,1.0,,both
Precentral gyrus,1,HOMBA:12114,precentral gyrus,PrCG,precentral gyrus,PrCG,HOMBA:12113,1912,1912,1.0,bm25+exact+fuzzy,Precentral gyrus,Precentral gyrus,high_confidence,,1.0,,both
Precentral gyrus,2,HOMBA:12132,postcentral gyrus,PoCG,postcentral gyrus,PoCG,HOMBA:12113,1929,1912,0.609413,bm25+fuzzy,Precentral gyrus,postcentral gyrus,needs_review,,1.0,,both
Precentral gyrus,3,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.573835,hierarchy_parent,Precentral gyrus,uncus of (para)hippocampal gyrus,low_confidence,,1.0,common_parent_of_2_candidates,both
Postcentral gyrus,1,HOMBA:12132,postcentral gyrus,PoCG,postcentral gyrus,PoCG,HOMBA:12113,1929,1912,1.0,bm25+exact+fuzzy,Postcentral gyrus,Postcentral gyrus,high_confidence,,1.0,,both
Postcentral gyrus,2,HOMBA:12114,precentral gyrus,PrCG,precentral gyrus,PrCG,HOMBA:12113,1912,1912,0.609413,fuzzy,Postcentral gyrus,precentral gyrus,needs_review,,1.0,,both
Postcentral gyrus,3,HOMBA:146034876,rostral gyrus,RoG,rostral gyrus,RoG,HOMBA:12113,1921,1912,0.587564,bm25+fuzzy,Postcentral gyrus,rostral gyrus,low_confidence,,1.0,,both
Superior temporal gyrus,1,HOMBA:12140,superior temporal gyrus,STG,superior temporal gyrus,STG,HOMBA:12139,1960,1960,1.0,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,high_confidence,,1.0,,both
Superior temporal gyrus,2,HOMBA:12139,temporal lobe,TemL,temporal lobe,TemL,HOMBA:12112,1959,1911,0.97,bm25+hierarchy_parent,Superior temporal gyrus,temporal lobe,high_confidence,,1.0,common_parent_of_5_candidates,both
Superior temporal gyrus,3,HOMBA:13322,dorsolateral temporal cortex,DLTC,dorsolateral temporal neocortex,DLTC,HOMBA:10235,125,125,0.623082,hierarchy_parent,Superior temporal gyrus,dorsolateral temporal cortex,needs_review,,1.0,common_parent_of_3_candidates,both
Inferior temporal gyrus,1,HOMBA:12142,inferior temporal gyrus,ITG,inferior temporal gyrus,ITG,HOMBA:12139,1962,1960,1.0,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,high_confidence,,1.0,,both
Inferior temporal gyrus,2,HOMBA:12139,temporal lobe,TemL,temporal lobe,TemL,HOMBA:12112,1959,1911,0.97,bm25+hierarchy_parent,Inferior temporal gyrus,temporal lobe,high_confidence,,1.0,common_parent_of_7_candidates,both
Inferior temporal gyrus,3,HOMBA:12141,middle temporal gyrus,MTG,middle temporal gyrus,MTG,HOMBA:12139,1961,1960,0.630958,bm25+fuzzy,Inferior temporal gyrus,middle temporal gyrus,needs_review,,1.0,,both
Middle frontal gyrus,1,HOMBA:12116,middle frontal gyrus,MFG,middle frontal gyrus,MFG,HOMBA:12113,1914,1912,1.0,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,high_confidence,,1.0,,both
Middle frontal gyrus,2,HOMBA:12113,frontal lobe,FroL,frontal lobe,FroL,HOMBA:12112,1911,1911,0.97,bm25+hierarchy_parent,Middle frontal gyrus,frontal lobe,high_confidence,,1.0,common_parent_of_18_candidates,both
Middle frontal gyrus,3,HOMBA:AA30543,frontal gyrus,FRG,,,HOMBA:12113,1944,1912,0.841667,bm25+fuzzy,Middle frontal gyrus,frontal gyrus,needs_review,,1.0,,both
Pulvinar nucleus,1,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Pulvinar nucleus,2,HOMBA:AA30282,lateroposterior-pulvinar complex,LPul,,,HOMBA:10407,724,721,0.97,bm25+fuzzy+hierarchy_parent,Pulvinar nucleus,lateroposterior-pulvinar complex,high_confidence,,1.0,common_parent_of_2_candidates,both
Pulvinar nucleus,3,HOMBA:10407,dorsal group of LNC,DLN,dorsal group of lateral nucleus,DLN,HOMBA:10406,720,720,0.685324,hierarchy_parent,Pulvinar nucleus,dorsal group of LNC,needs_review,,1.0,common_parent_of_2_candidates,both
Inferior olivary nucleus,1,HOMBA:12600,inferior olive,IO,inferior olive,IO,HOMBA:12595,1403,1399,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior olivary nucleus,Inferior olivary nucleus,high_confidence,,1.0,common_parent_of_7_candidates,both
Inferior olivary nucleus,2,HOMBA:15562,hilus of the inferior olive,hio,hilus of the inferior olive,hio,HOMBA:AA30492,1724,1689,0.861486,bm25+fuzzy,Inferior olivary nucleus,hilus of the inferior olivary nucleus,needs_review,,1.0,,both
Inferior olivary nucleus,3,HOMBA:12602,"inferior olive, beta division",IObe,"inferior olive, beta nucleus",IOBe,HOMBA:12600,1405,1404,0.861486,bm25+fuzzy,Inferior olivary nucleus,inferior olivary nucleus beta nucleus,needs_review,,1.0,,both
Superior olivary nucleus,1,HOMBA:12468,superior olivary nucleus,SON,superior olivary nucleus,SOI,HOMBA:12462,1270,1266,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior olivary nucleus,Superior olivary nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Superior olivary nucleus,2,HOMBA:12462,superior olivary complex,SOC,superior olivary complex,SOC,HOMBA:AA30441,1265,1261,0.97,bm25+fuzzy+hierarchy_parent,Superior olivary nucleus,superior olivary complex,high_confidence,,1.0,common_parent_of_3_candidates,both
Superior olivary nucleus,3,HOMBA:12469,lateral superior olivary nucleus,LSO,lateral superior olivary nucleus,LSO,HOMBA:12468,1271,1271,0.75465,bm25+fuzzy,Superior olivary nucleus,lateral superior olivary nucleus,needs_review,,1.0,,both
Trochlear nucleus,1,HOMBA:12206,trochlear nucleus,4N,trochlear nucleus,4N,HOMBA:12196,997,987,1.0,bm25+exact+fuzzy,Trochlear nucleus,Trochlear nucleus,high_confidence,,1.0,,both
Trochlear nucleus,2,HOMBA:12196,efferent nuclei of the cranial nerves in midbrain,MEN,efferent nuclei of the cranial nerves in the midbrain,MEN,HOMBA:12195,986,986,0.97,hierarchy_parent,Trochlear nucleus,efferent nuclei of the cranial nerves in midbrain,high_confidence,,1.0,common_parent_of_2_candidates,both
Trochlear nucleus,3,HOMBA:12284,paratrochlear nucleus,Pa4,paratrochlear nucleus,Pa4,HOMBA:12239,1089,1073,0.773333,bm25+fuzzy,Trochlear nucleus,paratrochlear nucleus,needs_review,,1.0,,both
