graph_order,unified_ontology_id,unified_ontology_acronym,unified_ontology_name,unified_ontology_label_value,DHBA_name,DHBA_acronym,DHBA_id,r,g,b,hierarchy and full names_y,Unnamed: 2_y,Unnamed: 3_y,Unnamed: 4_y,Unnamed: 5_y,Unnamed: 6_y,Unnamed: 7_y,Unnamed: 8_y,Unnamed: 9_y,Unnamed: 10_y,Unnamed: 11_y,Unnamed: 12_y,Unnamed: 13_y,Unnamed: 14_y,Unnamed: 15_y,parent_identifier,parent
420,HOMBA:AA30172,OBmi,mitral cell layer of olfactory bulb,883,,,,255,225,25,,,,,,,,,,mitral cell layer of olfactory bulb,,,,,,HOMBA:AA30168,416.0
421,HOMBA:AA30173,OBip,internal plexiform layer of olfactory bulb,884,,,,60,180,75,,,,,,,,,,internal plexiform layer of olfactory bulb,,,,,,HOMBA:AA30168,416.0
422,HOMBA:AA30174,OBgr,granular cell layer of olfactory bulb,885,,,,250,190,212,,,,,,,,,,granular cell layer of olfactory bulb,,,,,,HOMBA:AA30168,416.0
423,HOMBA:AA30175,AOBL,lamination of accessory olfactory bulb,886,,,,255,250,200,,,,,,,,,lamination of accessory olfactory bulb,,,,,,,HOMBA:AA30125,373.0
424,HOMBA:AA30176,AOBgl,glomerular layer of accessory olfactory bulb,887,,,,255,225,25,,,,,,,,,,glomerular layer of accessory olfactory bulb,,,,,,HOMBA:AA30175,423.0
425,HOMBA:AA30177,AOBep,external plexiform layer of accessory olfactory bulb,888,,,,128,128,0,,,,,,,,,,external plexiform layer of accessory olfactory bulb,,,,,,HOMBA:AA30175,423.0
426,HOMBA:AA30178,AOBmi,mitral cell layer of accessory olfactory bulb,889,,,,250,190,212,,,,,,,,,,mitral cell layer of accessory olfactory bulb,,,,,,HOMBA:AA30175,423.0
427,HOMBA:AA30179,AOBgr,granular cell layer of accessory olfactory bulb,890,,,,255,250,200,,,,,,,,,,granular cell layer of accessory olfactory bulb,,,,,,HOMBA:AA30175,423.0
428,HOMBA:AA30180,NNCDe, developing transient structures of non-neocortex,891,,,,70,240,240,,,,,,,, developing transient structures of non-neocortex,,,,,,,,HOMBA:AA30084,272.0
429,HOMBA:AA30181,SGnn,subpial granular zone of non-neocortex,892,,,,245,130,48,,,,,,,,,subpial granular zone of non-neocortex,,,,,,,HOMBA:AA30180,428.0
430,HOMBA:AA30182,MZnn,marginal zone of non-neocortex,893,,,,0,0,128,,,,,,,,,marginal zone of non-neocortex,,,,,,,HOMBA:AA30180,428.0
431,HOMBA:AA30183,CPnn,cortical plate of non-neocortex,894,,,,220,190,255,,,,,,,,,cortical plate of non-neocortex,,,,,,,HOMBA:AA30180,428.0
432,HOMBA:AA30184,SPnn,subplate (zone) of non-neocortex,895,,,,0,128,128,,,,,,,,,subplate (zone) of non-neocortex,,,,,,,HOMBA:AA30180,428.0
433,HOMBA:AA30185,IZnn,intermediate zone of non-neocortex,896,,,,128,128,128,,,,,,,,,intermediate zone of non-neocortex,,,,,,,HOMBA:AA30180,428.0
434,HOMBA:AA30186,SZnn,subventricular zone of non-neocortex,897,,,,255,225,25,,,,,,,,,subventricular zone of non-neocortex,,,,,,,HOMBA:AA30180,428.0
435,HOMBA:AA30187,SZinn,inner subventricular zone of non-neocortex,898,,,,230,25,75,,,,,,,,,,inner subventricular zone of non-neocortex,,,,,,HOMBA:AA30186,434.0
436,HOMBA:AA30188,VZnn,ventricular zone of non-neocortex,899,,,,255,225,25,,,,,,,,,ventricular zone of non-neocortex,,,,,,,HOMBA:AA30180,428.0
437,HOMBA:10556,RMS,rostral migratory stream,900,rostral migratory stream,RMS,10556.0,128,128,0,,,,,,,,,rostral migratory stream,,,,,,,HOMBA:AA30180,428.0
438,HOMBA:13198,RMSv,vertical portion of rostral migratory stream,901,vertical portion of rostral migratory stream,RMSv,13198.0,255,225,25,,,,,,,,,,vertical portion of rostral migratory stream,,,,,,HOMBA:10556,437.0
439,HOMBA:13315,RMSvv,VZ part of RMSv,902,VZ part of RMSv,RMSvv,13315.0,170,110,40,,,,,,,,,,,VZ part of RMSv,,,,,HOMBA:13198,438.0
440,HOMBA:13316,RMSvg,GE part of RMSv,903,GE part of RMSv,RMSvg,13316.0,0,128,128,,,,,,,,,,,GE part of RMSv,,,,,HOMBA:13198,438.0
441,HOMBA:13317,RMSvs,SZ part of RMSv,904,SZ part of RMSv,RMSvs,13317.0,255,250,200,,,,,,,,,,,SZ part of RMSv,,,,,HOMBA:13198,438.0
442,HOMBA:13199,RMSh,horizontal portion of rostral migratory stream,905,horizontal portion of rostral migratory stream,RMSh,13199.0,255,215,180,,,,,,,,,,horizontal portion of rostral migratory stream,,,,,,HOMBA:10556,437.0
443,HOMBA:13318,RMShv,VZ part of RMSh,906,VZ part of RMSh,RMShv,13318.0,210,245,60,,,,,,,,,,,VZ part of RMSh,,,,,HOMBA:13199,442.0
444,HOMBA:13319,RMShg,GE part of RMSh,907,GE part of RMSh,RMShg,13319.0,250,190,212,,,,,,,,,,,GE part of RMSh,,,,,HOMBA:13199,442.0
445,HOMBA:13320,RMShs,SZ part of RMSh,908,SZ part of RMSh,RMShs,13320.0,0,130,200,,,,,,,,,,,SZ part of RMSh,,,,,HOMBA:13199,442.0
446,HOMBA:AA30189,DNS,dentate neuroepithelial stem cell zone,909,,,,128,128,0,,,,,,,,,dentate neuroepithelial stem cell zone,,,,,,,HOMBA:AA30180,428.0
447,HOMBA:13075,DHTC,dentatohippocampal transient cell zone,910,dentatohippocampal transient cell zone,DHTC,13075.0,128,0,0,,,,,,,,,dentatohippocampal transient cell zone,,,,,,,HOMBA:AA30180,428.0
448,HOMBA:13077,CalS,callosal sling,911,callosal sling,CalS,13077.0,210,245,60,,,,,,,,,callosal sling,,,,,,,HOMBA:AA30180,428.0
449,HOMBA:13079,OlfP,olfactory peduncle,912,olfactory peduncle,OlfP,13079.0,0,128,128,,,,,,,,,olfactory peduncle,,,,,,,HOMBA:AA30180,428.0
450,HOMBA:10331,CN,cerebral nuclei,96,cerebral nuclei,CN,10331.0,143,175,33,,,,,,cerebral nuclei,,,,,,,,,,HOMBA:10158,4.0
451,HOMBA:10332,BG,basal ganglia (basal nuclei),118,basal nuclei (basal ganglia),BN,10332.0,255,215,180,,,,,,,basal ganglia (basal nuclei),,,,,,,,,HOMBA:10331,450.0
452,HOMBA:AA30190,BGR,regions of basal ganglia ,913,,,,70,240,240,,,,,,,,regions of basal ganglia ,,,,,,,,HOMBA:10332,451.0
453,HOMBA:10333,STR,striatum (neostriatum),119,striatum,STR,10333.0,4,131,89,,,,,,,,,striatum (neostriatum),,,,,,,HOMBA:AA30190,452.0
454,HOMBA:AA30191,STRre,regions of striatum,914,,,,230,25,75,,,,,,,,,,regions of striatum,,,,,,HOMBA:10333,453.0
455,HOMBA:AA30192,DS,"dorsal striatum (caudoputamen complex-CP, STRd)",915,,,,255,57,154,,,,,,,,,,,"dorsal striatum (caudoputamen complex-CP, STRd)",,,,,HOMBA:AA30191,454.0
456,HOMBA:10334,Ca,caudate nucleus (mediodorsal division of the CP),120,caudate nucleus,Ca,10334.0,255,107,154,,,,,,,,,,,,caudate nucleus (mediodorsal division of the CP),,,,HOMBA:AA30192,455.0
457,HOMBA:10335,CaH,head of caudate nucleus,121,head of caudate,CaH,10335.0,184,58,0,,,,,,,,,,,,,head of caudate nucleus,,,HOMBA:10334,456.0
458,HOMBA:11539,CaHld,laterodorsal subdivision of CaH,916,laterodorsal part of putamen,Pld,11539.0,250,190,212,,,,,,,,,,,,,,laterodorsal subdivision of CaH,,HOMBA:10335,457.0
459,HOMBA:11541,CaHmv,medioventral subdivision of CaH,917,medioventral part of putamen,Pmv,11541.0,240,50,230,,,,,,,,,,,,,,medioventral subdivision of CaH,,HOMBA:10335,457.0
460,HOMBA:10336,CaB,body of caudate nucleus,122,body of caudate,CaB,10336.0,230,0,73,,,,,,,,,,,,,body of caudate nucleus,,,HOMBA:10334,456.0
461,HOMBA:AA30848,CaBld,laterodorsal subdivision of CaB,918,,,,128,0,0,,,,,,,,,,,,,,laterodorsal subdivision of CaB,,HOMBA:10336,460.0
462,HOMBA:AA30849,CaBmv,medioventral subdivision of CaB,919,,,,60,180,75,,,,,,,,,,,,,,medioventral subdivision of CaB,,HOMBA:10336,460.0
463,HOMBA:10337,CaT,tail of caudate nucleus (caudolateral division of the CP),123,tail of caudate,CaT,10337.0,201,65,167,,,,,,,,,,,,,tail of caudate nucleus (caudolateral division of the CP),,,HOMBA:10334,456.0
464,HOMBA:AA30193,CaTd,dorsal subdivision of CaT,920,,,,220,190,255,,,,,,,,,,,,,,dorsal subdivision of CaT,,HOMBA:10337,463.0
465,HOMBA:AA30194,CaTv,ventral subdivision of CaT,921,,,,70,240,240,,,,,,,,,,,,,,ventral subdivision of CaT,,HOMBA:10337,463.0
466,HOMBA:146034742,Eca,peri-caudate ependymal and subependymal zone,922,peri-caudate ependymal and subependymal zone,Eca,146034742.0,254,12,207,,,,,,,,,,,,,peri-caudate ependymal and subependymal zone,,,HOMBA:10334,456.0
467,HOMBA:10338,Pu,putamen (lateroventral division of the CP),124,putamen,Pu,10338.0,155,162,255,,,,,,,,,,,,putamen (lateroventral division of the CP),,,,HOMBA:AA30192,455.0
468,HOMBA:11537,PuR,rostral putamen,125,rostral putamen,PuR,11537.0,0,16,217,,,,,,,,,,,,,rostral putamen,,,HOMBA:10338,467.0
469,HOMBA:AA30850,PuRld,laterodorsal subdivision of PuR,923,,,,128,0,0,,,,,,,,,,,,,,laterodorsal subdivision of PuR,,HOMBA:11537,468.0
470,HOMBA:AA30851,PuRmv,medioventral subdivision of PuR,924,,,,128,0,0,,,,,,,,,,,,,,medioventral subdivision of PuR,,HOMBA:11537,468.0
471,HOMBA:AA30859,PuM,middle putamen,2446,,,,0,191,255,,,,,,,,,,,,,middle putamen,,,HOMBA:10338,467.0
472,HOMBA:AA30860,PuMld,laterodorsal subdivision of PuM,2447,,,,210,245,60,,,,,,,,,,,,,,laterodorsal subdivision of PuM,,HOMBA:AA30859,471.0
473,HOMBA:AA30861,PuMmv,medioventral subdivision of PuM,2448,,,,250,190,212,,,,,,,,,,,,,,medioventral subdivision of PuM,,HOMBA:AA30859,471.0
474,HOMBA:10388,IPAC,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),117,interstitial nucleus of posterior limb of anterior commissure,IPAC,10388.0,107,252,210,,,,,,,,,,,,,,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),,HOMBA:AA30859,471.0
475,HOMBA:AA30200,IPACm,medial part of IPAC,942,,,,0,130,200,,,,,,,,,,,,,,,medial part of IPAC,HOMBA:10388,474.0
476,HOMBA:AA30201,IPACl,Lateral part of IPAC,943,,,,170,255,195,,,,,,,,,,,,,,,Lateral part of IPAC,HOMBA:10388,474.0
477,HOMBA:11538,PuC,caudal putamen,126,caudal putamen,PuC,11538.0,0,96,255,,,,,,,,,,,,,caudal putamen,,,HOMBA:10338,467.0
478,HOMBA:AA30852,PuCld,laterodorsal subdivision of PuC,925,,,,255,215,180,,,,,,,,,,,,,,laterodorsal subdivision of PuC,,HOMBA:11538,477.0
479,HOMBA:AA30853,PuCmv,medioventral subdivision of PuC,926,,,,128,128,0,,,,,,,,,,,,,,medioventral subdivision of PuC,,HOMBA:11538,477.0
480,HOMBA:146034754,PuCv,ventral subdivision of PuC,127,posteroventral putamen,PuPV,146034754.0,123,171,136,,,,,,,,,,,,,,ventral subdivision of PuC,,HOMBA:11538,477.0
481,HOMBA:10381,AStr,amygdalostriatal transition area,112,amygdalostriatal transition area,ASTA,10381.0,220,190,255,,,,,,,,,,,,,,amygdalostriatal transition area,,HOMBA:11538,477.0
482,HOMBA:11542,PuMG,marginal division (cell groups) of putamen,927,marginal subdivision (cell groups) of putamen,PuMG,11542.0,230,25,75,,,,,,,,,,,,,marginal division (cell groups) of putamen,,,HOMBA:10338,467.0
483,HOMBA:146034746,CaPu,caudate-putamen cell bridges,928,caudate-putamen cell bridges,CaPu,146034746.0,255,250,200,,,,,,,,,,,,caudate-putamen cell bridges,,,,HOMBA:AA30192,455.0
484,HOMBA:AA30195,VS,ventral striatum (STRv),929,,,,255,225,25,,,,,,,,,,,ventral striatum (STRv),,,,,HOMBA:AA30191,454.0
485,HOMBA:10339,NAC,nucleus accumbens,128,nucleus accumbens,NAC,10339.0,194,149,21,,,,,,,,,,,,nucleus accumbens,,,,HOMBA:AA30195,484.0
486,HOMBA:10340,NACc,core of nucleus accumbens,129,core of nucleus accumbens,NACc,10340.0,255,163,0,,,,,,,,,,,,,core of nucleus accumbens,,,HOMBA:10339,485.0
487,HOMBA:11543,NACcl,lateral subdivision of the core,930,lateral portion of the core,NACcl,11543.0,0,130,200,,,,,,,,,,,,,,lateral subdivision of the core,,HOMBA:10340,486.0
488,HOMBA:11544,NACcm,medial subdivision of the core,931,medial portion of the core,NACcm,11544.0,240,50,230,,,,,,,,,,,,,,medial subdivision of the core,,HOMBA:10340,486.0
489,HOMBA:10341,NACs,shell of nucleus accumbens,130,shell of nucleus accumbens,NACs,10341.0,230,216,0,,,,,,,,,,,,,shell of nucleus accumbens,,,HOMBA:10339,485.0
490,HOMBA:11545,NACsl,lateral subdivision of the shell,932,lateral portion of the shell,NACsl,11545.0,170,110,40,,,,,,,,,,,,,,lateral subdivision of the shell,,HOMBA:10341,489.0
491,HOMBA:11546,NACsi,intermediate subdivision of the shell,933,intermediate portion of the shell,NACsi,11546.0,0,130,200,,,,,,,,,,,,,,intermediate subdivision of the shell,,HOMBA:10341,489.0
492,HOMBA:11547,NACsm,medial subdivision of the shell,934,medial portion of the shell,NACsm,11547.0,210,245,60,,,,,,,,,,,,,,medial subdivision of the shell,,HOMBA:10341,489.0
493,HOMBA:AA30865,NACsmd,mediodorsal subdivision of the Shell,2452,,,,128,128,0,,,,,,,,,,,,,,mediodorsal subdivision of the Shell,,HOMBA:10341,489.0
494,HOMBA:AA30831,NACsc,caudal subdivision of the shell ,2384,,,,255,250,200,,,,,,,,,,,,,,caudal subdivision of the shell ,,HOMBA:10341,489.0
495,HOMBA:10358,IsCj, islands of Calleja near the shell,146,islands of Calleja,IsCj,10358.0,240,50,230,,,,,,,,,,,,, islands of Calleja near the shell,,,HOMBA:10339,485.0
496,HOMBA:10359,IsCjm,major island of Calleja near the shell,935,major island of Calleja,IsCjm,10359.0,245,130,48,,,,,,,,,,,,,,major island of Calleja near the shell,,HOMBA:10358,495.0
497,HOMBA:10360,IsCjs,small islands of Calleja near the shell,938,scattered islands of Calleja,IsCjs,10360.0,250,190,212,,,,,,,,,,,,,,small islands of Calleja near the shell,,HOMBA:10358,495.0
498,HOMBA:10310,OT,olfactory tubercle,936,olfactory tubercle,OT,10310.0,145,30,180,,,,,,,,,,,,olfactory tubercle,,,,HOMBA:AA30195,484.0
499,HOMBA:AA30196,OTpr,principal part of olfactory tubercle,937,,,,0,0,128,,,,,,,,,,,,,principal part of olfactory tubercle,,,HOMBA:10310,498.0
500,HOMBA:AA30832,OTis,islands of Calleja of olfactory tubercle,2385,,,,255,225,25,,,,,,,,,,,,,islands of Calleja of olfactory tubercle,,,HOMBA:10310,498.0
501,HOMBA:AA30833,OTis1,type 1 of OTis (Drd3+ islands),2386,,,,170,255,195,,,,,,,,,,,,,,type 1 of OTis (Drd3+ islands),,HOMBA:AA30832,500.0
502,HOMBA:AA30834,OTis2,type 2 of OTis (Gfra1+ islands),2387,,,,170,110,40,,,,,,,,,,,,,,type 2 of OTis (Gfra1+ islands),,HOMBA:AA30832,500.0
503,HOMBA:AA30835,OTis3,type 3 of OTis,2388,,,,70,240,240,,,,,,,,,,,,,,type 3 of OTis,,HOMBA:AA30832,500.0
504,HOMBA:AA30202,STRcp,compartments of striatum,944,,,,128,0,0,,,,,,,,,,compartments of striatum,,,,,,HOMBA:10333,453.0
505,HOMBA:AA30867,STRdc,dorsal compartment domain of the striatum,2454,,,,250,190,212,,,,,,,,,,,dorsal compartment domain of the striatum,,,,,HOMBA:AA30202,504.0
506,HOMBA:AA30203,STRs,striosome (patches) of the striatum,945,,,,128,128,0,,,,,,,,,,,,striosome (patches) of the striatum,,,,HOMBA:AA30867,505.0
507,HOMBA:AA30204,STRm,matrix of the striatum,946,,,,60,180,75,,,,,,,,,,,,matrix of the striatum,,,,HOMBA:AA30867,505.0
508,HOMBA:AA30868,STRve,ventral and extended domain of the striatum,2455,,,,255,225,25,,,,,,,,,,,ventral and extended domain of the striatum,,,,,HOMBA:AA30202,504.0
509,HOMBA:AA30839,STRvr,rostral ventral domain of the striatum,2395,,,,127,177,7,,,,,,,,,,,,rostral ventral domain of the striatum,,,,HOMBA:AA30868,508.0
510,HOMBA:AA30869,STRvi,intermediate ventral domain of the striatum,2456,,,,170,110,40,,,,,,,,,,,,intermediate ventral domain of the striatum,,,,HOMBA:AA30868,508.0
511,HOMBA:AA30840,STRvc,caudal ventral domain of the striatum,2396,,,,0,130,200,,,,,,,,,,,,caudal ventral domain of the striatum,,,,HOMBA:AA30868,508.0
512,HOMBA:10342,GP,globus pallidus (paleostriatum),131,globus pallidus,GP,10342.0,122,227,97,,,,,,,,,globus pallidus (paleostriatum),,,,,,,HOMBA:AA30190,452.0
513,HOMBA:10343,GPe,external division of globus pallidus,132,external segment of globus pallidus,GPe,10343.0,83,219,51,,,,,,,,,,external division of globus pallidus,,,,,,HOMBA:10342,512.0
514,HOMBA:AA30837,GPeL,lateral subdivision of GPe,2391,,,,0,128,128,,,,,,,,,,,lateral subdivision of GPe,,,,,HOMBA:10343,513.0
515,HOMBA:AA30838,GPeM,medial subdivision of GPe,2392,,,,128,0,0,,,,,,,,,,,medial subdivision of GPe,,,,,HOMBA:10343,513.0
516,HOMBA:10345,VeP,ventral pallidum,134,Ventral pallidus,VeP,10345.0,155,25,245,,,,,,,,,,,ventral pallidum,,,,,HOMBA:10343,513.0
517,HOMBA:AA30205,GPin,interstitial cholinergic nucleus of globus pallidus,947,,,,170,110,40,,,,,,,,,,interstitial cholinergic nucleus of globus pallidus,,,,,,HOMBA:10342,512.0
518,HOMBA:10344,GPi,internal division of globus pallidus,133,internal segment of globus pallidus,GPi,10344.0,167,219,51,,,,,,,,,,internal division of globus pallidus,,,,,,HOMBA:10342,512.0
519,HOMBA:11548,GPiM,medial (central) subdivision of GPi ,948,central portion of GPi,GPic,11548.0,0,128,128,,,,,,,,,,,medial (central) subdivision of GPi ,,,,,HOMBA:10344,518.0
520,HOMBA:11549,GPiL,lateral (peripheral) subdivision of GPi,949,peripheral portion of GPi,GPip,11549.0,170,255,195,,,,,,,,,,,lateral (peripheral) subdivision of GPi,,,,,HOMBA:10344,518.0
521,HOMBA:146034758,EnPN,entopeduncular nucleus,950,entopeduncular nucleus,EnPN,146034758.0,0,0,128,,,,,,,,,,entopeduncular nucleus,,,,,,HOMBA:10342,512.0
522,HOMBA:AA30208,BGDe,developing transient structures of basal ganglia,951,,,,240,50,230,,,,,,,,developing transient structures of basal ganglia,,,,,,,,HOMBA:10332,451.0
523,HOMBA:10549,GE,ganglionic eminence (VZ in basal nuclei),2441,Ganglionic eminence (VZ in basal nuclei),GE,10549.0,255,225,25,,,,,,,,,ganglionic eminence (VZ in basal nuclei),,,,,,,HOMBA:AA30208,522.0
524,HOMBA:AA30209,SCB,striatal-cortical (cortical-striatal) boundary,952,,,,145,30,180,,,,,,,,,,striatal-cortical (cortical-striatal) boundary,,,,,,HOMBA:10549,523.0
525,HOMBA:AA30210,LMS,lateral migratory stream,953,,,,0,128,128,,,,,,,,,,,lateral migratory stream,,,,,HOMBA:AA30209,524.0
526,HOMBA:10550,MGE,medial ganglionic eminence,954,medial ganglionic eminence,MGE,10550.0,0,130,200,,,,,,,,,,medial ganglionic eminence,,,,,,HOMBA:10549,523.0
527,HOMBA:10551,LGE,lateral ganglionic eminence,955,lateral ganglionic eminence,LGE,10551.0,255,215,180,,,,,,,,,,lateral ganglionic eminence,,,,,,HOMBA:10549,523.0
528,HOMBA:10552,CGE,caudal ganglionic eminence,956,caudal ganglionic eminence,CGE,10552.0,170,110,40,,,,,,,,,,caudal ganglionic eminence,,,,,,HOMBA:10549,523.0
529,HOMBA:AA30211,CMS,caudal migratory stream,957,,,,230,25,75,,,,,,,,,,,caudal migratory stream,,,,,HOMBA:10552,528.0
530,HOMBA:AA30212,SCBm,medial striatal-cortical boundary,958,,,,255,215,180,,,,,,,,,,medial striatal-cortical boundary,,,,,,HOMBA:10549,523.0
531,HOMBA:AA30213,SMS,septal (medial) migratory stream,959,,,,0,130,200,,,,,,,,,,,septal (medial) migratory stream,,,,,HOMBA:AA30212,530.0
532,HOMBA:13074,IPTC,interpallidal transient cell zone,960,interpallidal transient cell zone,IPTC,13074.0,230,25,75,,,,,,,,,interpallidal transient cell zone,,,,,,,HOMBA:AA30208,522.0
533,HOMBA:146034626,TCete,transient cell zone in external capsule,961,transient cell zone in external capsule,TCete,146034626.0,240,50,230,,,,,,,,,transient cell zone in external capsule,,,,,,,HOMBA:AA30208,522.0
534,HOMBA:13321,TCexc,transient cell zone in extreme capsule,962,transient cell zone in extreme capsule,TCexc,13321.0,0,0,128,,,,,,,,,transient cell zone in extreme capsule,,,,,,,HOMBA:AA30208,522.0
535,HOMBA:10349,BF,basal forebrain,139,basal forebrain,BF,10349.0,53,171,128,,,,,,,basal forebrain,,,,,,,,,HOMBA:10331,450.0
536,HOMBA:AA30214,BFR,regions of basal forebrain,963,,,,60,180,75,,,,,,,,regions of basal forebrain,,,,,,,,HOMBA:10349,535.0
537,HOMBA:10353,BNM,basal nucleus of Meynert,144,basal nucleus of Meynert,BNM,10353.0,156,253,240,,,,,,,,,basal nucleus of Meynert,,,,,,,HOMBA:AA30214,536.0
538,HOMBA:11553,BNMl,lateral cell groups of basal nucleus of Meynert,964,lateral cell groups of basal nucleus,BNMl,11553.0,170,110,40,,,,,,,,,,lateral cell groups of basal nucleus of Meynert,,,,,,HOMBA:10353,537.0
539,HOMBA:11554,BNMm,medial cell groups of basal nucleus of Meynert,965,medial cell groups of basal nucleus,BNMm,11554.0,128,128,128,,,,,,,,,,medial cell groups of basal nucleus of Meynert,,,,,,HOMBA:10353,537.0
540,HOMBA:10357,NSP,nucleus subputaminalis,966,nucleus subputaminalis,NSP,10357.0,170,110,40,,,,,,,,,,nucleus subputaminalis,,,,,,HOMBA:10353,537.0
541,HOMBA:10354,NDB,nucleus of diagonal band,145,nucleus of diagonal band,NDB,10354.0,38,105,152,,,,,,,,,nucleus of diagonal band,,,,,,,HOMBA:AA30214,536.0
542,HOMBA:10355,NDBv,vertical division of nucleus of diagonal band,967,vertical subdivision of nucleus of diagonal band,NDBv,10355.0,255,215,180,,,,,,,,,,vertical division of nucleus of diagonal band,,,,,,HOMBA:10354,541.0
543,HOMBA:10356,NDBh,horizontal division of nucleus of diagonal band,968,horizontal subdivision of nucleus of diagonal band,NDBh,10356.0,235,245,48,,,,,,,,,,horizontal division of nucleus of diagonal band,,,,,,HOMBA:10354,541.0
544,HOMBA:13034,SI,substantia innominata,147,substantia innominata,SI,13034.0,44,241,98,,,,,,,,,substantia innominata,,,,,,,HOMBA:AA30214,536.0
545,HOMBA:266441495,SIpc,lightly-stained parvocellular islands of SI,969,lightly-stained parvocellular islands of SI,SI-pc,266441495.0,255,225,25,,,,,,,,,,lightly-stained parvocellular islands of SI,,,,,,HOMBA:13034,544.0
546,HOMBA:266441499,SInc,darkly-stained nanocellular islands of SI,970,darkly-stained nanocellular islands of SI,SI-nc,266441499.0,0,0,128,,,,,,,,,,darkly-stained nanocellular islands of SI,,,,,,HOMBA:13034,544.0
547,HOMBA:AA30215,SIdi,other (diffuse) part of SI,971,,,,255,250,200,,,,,,,,,,other (diffuse) part of SI,,,,,,HOMBA:13034,544.0
548,HOMBA:10350,SEP,septal region (septal nuclear complex),140,septal nuclei,SEP,10350.0,235,112,60,,,,,,,,,septal region (septal nuclear complex),,,,,,,HOMBA:AA30214,536.0
549,HOMBA:AA30216,SEPr,rostral septal nuclear complex,972,,,,128,128,0,,,,,,,,,,rostral septal nuclear complex,,,,,,HOMBA:10350,548.0
550,HOMBA:10351,MSN,medial septal nucleus,141,medial septal nucleus,MSN,10351.0,219,185,214,,,,,,,,,,,medial septal nucleus,,,,,HOMBA:AA30216,549.0
551,HOMBA:10352,LSN,lateral septal nuclear complex,142,lateral septal nucleus,LSN,10352.0,57,252,62,,,,,,,,,,,lateral septal nuclear complex,,,,,HOMBA:AA30216,549.0
552,HOMBA:11550,LSd,dorsal division of lateral septal nucleus,973,dorsal division of lateral septal nucleus,LSNd,11550.0,0,130,200,,,,,,,,,,,,dorsal division of lateral septal nucleus,,,,HOMBA:10352,551.0
553,HOMBA:11551,LSi,intermediate division of lateral septal nucleus,974,intermediate division of lateral septal nucleus,LSNi,11551.0,0,128,128,,,,,,,,,,,,intermediate division of lateral septal nucleus,,,,HOMBA:10352,551.0
554,HOMBA:11552,LSv,ventral division of lateral septal nucleus,975,ventral division of lateral septal nucleus,LSNv,11552.0,250,190,212,,,,,,,,,,,,ventral division of lateral septal nucleus,,,,HOMBA:10352,551.0
555,HOMBA:AA30217,LSr,rostral extension of lateral septal nucleus (semilunar nucleus),976,,,,60,180,75,,,,,,,,,,,,rostral extension of lateral septal nucleus (semilunar nucleus),,,,HOMBA:10352,551.0
556,HOMBA:13033,SHy,septohypothalamic nucleus,977,septohypothalamic nucleus,SHy,13033.0,128,128,0,,,,,,,,,,,,septohypothalamic nucleus,,,,HOMBA:10352,551.0
557,HOMBA:13029,SHi,septohipocampal nucleus,978,septohipocampal nucleus,SHi,13029.0,128,0,0,,,,,,,,,,,,septohipocampal nucleus,,,,HOMBA:10352,551.0
558,HOMBA:13031,PLd,paralambdoid septal nucleus,979,paralambdoid septal nucleus,PLd,13031.0,170,255,195,,,,,,,,,,,,paralambdoid septal nucleus,,,,HOMBA:10352,551.0
559,HOMBA:AA30218,SEPc,caudal septal nuclear complex,980,,,,0,128,128,,,,,,,,,,caudal septal nuclear complex,,,,,,HOMBA:10350,548.0
560,HOMBA:13032,SFi,septofimbrial nucleus,981,septofimbrial nucleus,SFi,13032.0,128,0,0,,,,,,,,,,,septofimbrial nucleus,,,,,HOMBA:AA30218,559.0
561,HOMBA:266441491,TrS,triangular septal nucleus,982,triangular septal nucleus,TSN,266441491.0,245,130,48,,,,,,,,,,,triangular septal nucleus,,,,,HOMBA:AA30218,559.0
562,HOMBA:AA30219,BAC,Bed nucleus of anterior commissure,983,,,,220,190,255,,,,,,,,,,,Bed nucleus of anterior commissure,,,,,HOMBA:AA30218,559.0
563,HOMBA:12104,SFO,subfornical organ,331,subfornical organ,SFO,12104.0,208,156,169,,,,,,,,,,,subfornical organ,,,,,HOMBA:AA30218,559.0
564,HOMBA:AA30220,BFx,uncharted (diffuse) part of basal forebrain,984,,,,240,50,230,,,,,,,,,uncharted (diffuse) part of basal forebrain,,,,,,,HOMBA:AA30214,536.0
565,HOMBA:AA30221,BFDe,developing transient structures of basal forebrain,985,,,,170,110,40,,,,,,,,developing transient structures of basal forebrain,,,,,,,,HOMBA:10349,535.0
566,HOMBA:13313,seVZ,ventricular zone of septal region,986,VZ in septal region,seVZ,13313.0,70,240,240,,,,,,,,,ventricular zone of septal region,,,,,,,HOMBA:AA30221,565.0
567,HOMBA:10361,AMY,amygdaloid complex,97,amygdaloid complex,AMY,10361.0,189,206,79,,,,,,,amygdaloid complex,,,,,,,,,HOMBA:10331,450.0
568,HOMBA:AA30222,AMYR,regions of amygdaloid complex,987,,,,170,110,40,,,,,,,,regions of amygdaloid complex,,,,,,,,HOMBA:10361,567.0
569,HOMBA:AA30223,ACEN,anterior-central nuclear group of amygdala,988,,,,128,128,128,,,,,,,,,anterior-central nuclear group of amygdala,,,,,,,HOMBA:AA30222,568.0
