record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,final_certainty,final_confidence,final_reason,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
359,IPN,interpeduncular nucleus,Mouse,PM34146469,14,9,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"Interpeduncular nucleus is a midbrain nucleus, subcortical. | Interpeduncular nucleus is a midbrain nucleus (subcortical). | IPN is interpeduncular nucleus, a midbrain nucleus (subcortical).","Interpeduncular nucleus is a midbrain nucleus, subcortical.",Interpeduncular nucleus is a midbrain nucleus (subcortical).,"IPN is interpeduncular nucleus, a midbrain nucleus (subcortical).",,,
360,IRt,intermediate reticular nucleus,Mouse,PM38811166,14,10,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Intermediate reticular nucleus is a medullary nucleus, clearly subcortical. | Intermediate reticular nucleus is a brainstem reticular nucleus, subcortical. | Intermediate reticular nucleus is a brainstem nucleus (subcortical).","Intermediate reticular nucleus is a medullary nucleus, clearly subcortical.","Intermediate reticular nucleus is a brainstem reticular nucleus, subcortical.",Intermediate reticular nucleus is a brainstem nucleus (subcortical).,,,
361,LDT,laterodorsal tegmental nucleus,Mouse,PM35655583,14,5,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Laterodorsal tegmental nucleus is a brainstem nucleus, subcortical. | Laterodorsal tegmental nucleus is a brainstem tegmental nucleus, subcortical. | Laterodorsal tegmental nucleus is a brainstem nucleus (subcortical).","Laterodorsal tegmental nucleus is a brainstem nucleus, subcortical.","Laterodorsal tegmental nucleus is a brainstem tegmental nucleus, subcortical.",Laterodorsal tegmental nucleus is a brainstem nucleus (subcortical).,,,
362,LDTg,laterodorsal tegmental nucleus,Mouse,PM38736977,14,9,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Laterodorsal tegmental nucleus (same as LDT), subcortical. | Laterodorsal tegmental nucleus is a brainstem tegmental nucleus, subcortical. | Laterodorsal tegmental nucleus is a brainstem nucleus (subcortical).","Laterodorsal tegmental nucleus (same as LDT), subcortical.","Laterodorsal tegmental nucleus is a brainstem tegmental nucleus, subcortical.",Laterodorsal tegmental nucleus is a brainstem nucleus (subcortical).,,,
363,lumbar spinal cord,lumbar spinal cord,Mouse,PM41585491,14,14,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Spinal cord is non-cortical gray matter, subcortical. | Spinal cord is part of CNS but not cortical; subcortical. | Lumbar spinal cord is spinal cord (subcortical).","Spinal cord is non-cortical gray matter, subcortical.",Spinal cord is part of CNS but not cortical; subcortical.,Lumbar spinal cord is spinal cord (subcortical).,,,
364,MGd,dorsal medial geniculate nucleus,Mouse,PM39829930,14,7,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Dorsal medial geniculate nucleus is a thalamic nucleus, subcortical. | Dorsal medial geniculate nucleus is a thalamic nucleus, subcortical. | Dorsal medial geniculate nucleus is part of thalamus (subcortical).","Dorsal medial geniculate nucleus is a thalamic nucleus, subcortical.","Dorsal medial geniculate nucleus is a thalamic nucleus, subcortical.",Dorsal medial geniculate nucleus is part of thalamus (subcortical).,,,
365,multiple brain regions,multiple brain regions,Mouse,PM42455384,14,9,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9833,"Vague umbrella term not specifying a particular brain region. | Refers to multiple brain regions, not a specific nucleus or area. | Vague umbrella term covering multiple brain regions, not a specific locus.",Vague umbrella term not specifying a particular brain region.,"Refers to multiple brain regions, not a specific nucleus or area.","Vague umbrella term covering multiple brain regions, not a specific locus.",,,
366,NTSPNMT,trigeminal subnucleus pars spinalis (NTSPNMT),,PM38887205,14,1,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.96,"Trigeminal subnucleus pars spinalis is a brainstem nucleus, subcortical. | Trigeminal subnucleus in brainstem, subcortical. | Trigeminal subnucleus pars spinalis is a brainstem sensory nucleus, clearly subcortical.","Trigeminal subnucleus pars spinalis is a brainstem nucleus, subcortical.","Trigeminal subnucleus in brainstem, subcortical.","Trigeminal subnucleus pars spinalis is a brainstem sensory nucleus, clearly subcortical.",,,
367,nucleus accumbens,nucleus accumbens,Mouse,PM41659658,14,14,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9767,"Nucleus accumbens is part of ventral striatum, subcortical. | Nucleus accumbens is classic subcortical reward structure. | Nucleus accumbens is part of the basal ganglia/striatum, subcortical.","Nucleus accumbens is part of ventral striatum, subcortical.",Nucleus accumbens is classic subcortical reward structure.,"Nucleus accumbens is part of the basal ganglia/striatum, subcortical.",,,
368,nucleus accumbens shell,nucleus accumbens shell,Rat,PM37017888,14,10,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9767,"Nucleus accumbens shell is subcortical (striatum). | Nucleus accumbens shell is subcortical, part of basal ganglia. | Nucleus accumbens shell is a subregion of the accumbens, subcortical.",Nucleus accumbens shell is subcortical (striatum).,"Nucleus accumbens shell is subcortical, part of basal ganglia.","Nucleus accumbens shell is a subregion of the accumbens, subcortical.",,,
369,PCRt,parvicellular reticular nucleus,Mouse,PM32370769,14,10,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Parvicellular reticular nucleus is a brainstem reticular nucleus, subcortical. | Parvicellular reticular nucleus is brainstem reticular formation, subcortical. | Parvicellular reticular nucleus is in the brainstem reticular formation, subcortical.","Parvicellular reticular nucleus is a brainstem reticular nucleus, subcortical.","Parvicellular reticular nucleus is brainstem reticular formation, subcortical.","Parvicellular reticular nucleus is in the brainstem reticular formation, subcortical.",,,
370,periaqueductal gray,periaqueductal gray,Mouse,PM38551963,14,13,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9767,"Periaqueductal gray is a midbrain structure, subcortical. | Periaqueductal gray is midbrain structure, subcortical. | Periaqueductal gray is a midbrain structure, subcortical.","Periaqueductal gray is a midbrain structure, subcortical.","Periaqueductal gray is midbrain structure, subcortical.","Periaqueductal gray is a midbrain structure, subcortical.",,,
371,PH,posterior hypothalamus,Rat,PM42094401,14,8,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9767,"Posterior hypothalamus is part of hypothalamus, subcortical. | Posterior hypothalamus is subcortical hypothalamic nucleus. | Posterior hypothalamus is a hypothalamic nucleus, subcortical.","Posterior hypothalamus is part of hypothalamus, subcortical.",Posterior hypothalamus is subcortical hypothalamic nucleus.,"Posterior hypothalamus is a hypothalamic nucleus, subcortical.",,,
372,PoAb,,,PM35013368,14,1,ambiguous,flash,subcortical,ambiguous,ambiguous,2/3,2-1,,,,,,medium,0.5333,"PoAb likely a subdivision of posterior thalamic nucleus, subcortical | Acronym 'PoAb' not clearly resolved; could be thalamic or cortical area. | acronym PoAb not clear; could be thalamic or cortical; no fullname.","PoAb likely a subdivision of posterior thalamic nucleus, subcortical",Acronym 'PoAb' not clearly resolved; could be thalamic or cortical area.,acronym PoAb not clear; could be thalamic or cortical; no fullname.,,,
373,PoSp,postulated mesocortical PoSp area,,PM42101519,14,1,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.95,"Fullname indicates mesocortical area, thus cortical | Fullname explicitly describes a mesocortical area. | fullname specifies 'postulated mesocortical PoSp area', clearly cortical.","Fullname indicates mesocortical area, thus cortical",Fullname explicitly describes a mesocortical area.,"fullname specifies 'postulated mesocortical PoSp area', clearly cortical.",,,
374,PreS,Presubiculum,Marmoset,PM35860211,14,3,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9333,"Presubiculum is part of hippocampal formation, classified as subcortical per instructions | Presubiculum is part of hippocampal formation, classified as subcortical. | Presubiculum is part of hippocampal formation, classified as subcortical.","Presubiculum is part of hippocampal formation, classified as subcortical per instructions","Presubiculum is part of hippocampal formation, classified as subcortical.","Presubiculum is part of hippocampal formation, classified as subcortical.",,,
375,SON,supraoptic nucleus,Rat,PM36356043,14,11,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.95,"Supraoptic nucleus is a hypothalamic nucleus, subcortical | Supraoptic nucleus is a hypothalamic nucleus, thus subcortical. | Supraoptic nucleus is a hypothalamic nucleus, subcortical.","Supraoptic nucleus is a hypothalamic nucleus, subcortical","Supraoptic nucleus is a hypothalamic nucleus, thus subcortical.","Supraoptic nucleus is a hypothalamic nucleus, subcortical.",,,
376,SPL,superior parietal lobule,Human,PM41405705,14,6,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.95,Superior parietal lobule is a cortical region (parietal lobe) | Superior parietal lobule is a region of the parietal cortex. | Superior parietal lobule is a cortical region of parietal lobe.,Superior parietal lobule is a cortical region (parietal lobe),Superior parietal lobule is a region of the parietal cortex.,Superior parietal lobule is a cortical region of parietal lobe.,,,
377,SSs,secondary somatosensory cortex,Mouse,PM37986757,14,10,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.95,Secondary somatosensory cortex is cortical | Secondary somatosensory cortex is part of cerebral cortex. | Secondary somatosensory cortex is clearly cortical.,Secondary somatosensory cortex is cortical,Secondary somatosensory cortex is part of cerebral cortex.,Secondary somatosensory cortex is clearly cortical.,,,
378,STP,,,PM41878825,14,1,ambiguous,flash,ambiguous,other,ambiguous,2/3,2-1,,,,,,medium,0.4333,"STP could be cortical (superior temporal polysensory area) or other; no fullname. | STP commonly denotes short-term plasticity, not a brain region; no fullname given. | STP could be superior temporal cortex or other; no fullname to disambiguate.",STP could be cortical (superior temporal polysensory area) or other; no fullname.,"STP commonly denotes short-term plasticity, not a brain region; no fullname given.",STP could be superior temporal cortex or other; no fullname to disambiguate.,,,
379,Thal,thalamus,Human,PM42133082,14,7,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.98,Thalamus is a classic subcortical structure. | Thalamus is a classical subcortical structure. | Thalamus is a well-known subcortical structure.,Thalamus is a classic subcortical structure.,Thalamus is a classical subcortical structure.,Thalamus is a well-known subcortical structure.,,,
380,VISl,lateral visual cortex,Mouse,PM41345053,14,3,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.98,Lateral visual cortex is part of cerebral cortex. | Lateral visual cortex is part of cerebral cortex. | Lateral visual cortex is a cortical area.,Lateral visual cortex is part of cerebral cortex.,Lateral visual cortex is part of cerebral cortex.,Lateral visual cortex is a cortical area.,,,
381,AAC,axon-axon initial segment contacts,Mouse,PM37986757,13,5,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9767,"AAC describes subcellular contacts, not a brain region. | AAC refers to cellular contacts, not a brain region. | Axon-axon initial segment contacts are not a brain region.","AAC describes subcellular contacts, not a brain region.","AAC refers to cellular contacts, not a brain region.",Axon-axon initial segment contacts are not a brain region.,,,
382,AVCN,anterior ventral cochlear nucleus,Mouse,PM39829930,13,6,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.98,Anterior ventral cochlear nucleus is a brainstem nucleus. | Anterior ventral cochlear nucleus is a brainstem nucleus. | Anterior ventral cochlear nucleus is a brainstem nucleus.,Anterior ventral cochlear nucleus is a brainstem nucleus.,Anterior ventral cochlear nucleus is a brainstem nucleus.,Anterior ventral cochlear nucleus is a brainstem nucleus.,,,
383,BPN,basilar pontine nuclei,Mouse,PM37311832,13,3,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.98,"Basilar pontine nuclei are brainstem nuclei. | Basilar pontine nuclei are part of the brainstem/pons. | Basilar pontine nuclei are part of the pons, subcortical.",Basilar pontine nuclei are brainstem nuclei.,Basilar pontine nuclei are part of the brainstem/pons.,"Basilar pontine nuclei are part of the pons, subcortical.",,,
384,CFA,caudal forelimb area,Mouse,PM38551963,13,8,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9333,"CFA is caudal forelimb area, a motor cortex region in rodents. | Caudal forelimb area is a cortical motor area in rodent. | Caudal forelimb area is a cortical motor area in mice.","CFA is caudal forelimb area, a motor cortex region in rodents.",Caudal forelimb area is a cortical motor area in rodent.,Caudal forelimb area is a cortical motor area in mice.,,,
385,Cg,cingulate cortex,Mouse,PM41319286,13,9,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9433,"Cg is cingulate cortex, part of the cerebral cortex. | Cingulate cortex is part of cerebral cortex. | Cingulate cortex is part of the cerebral cortex.","Cg is cingulate cortex, part of the cerebral cortex.",Cingulate cortex is part of cerebral cortex.,Cingulate cortex is part of the cerebral cortex.,,,
386,cochlear nucleus,cochlear nucleus,Mouse,PM40219726,13,9,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9467,"Cochlear nucleus is a brainstem auditory nucleus, subcortical. | Cochlear nucleus is a brainstem auditory nucleus. | Cochlear nucleus is a brainstem auditory nucleus.","Cochlear nucleus is a brainstem auditory nucleus, subcortical.",Cochlear nucleus is a brainstem auditory nucleus.,Cochlear nucleus is a brainstem auditory nucleus.,,,
387,CT,central thalamus,marmoset monkey,PM37758474,13,7,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9467,"CT is central thalamus, a subcortical structure. | Central thalamus is thalamic, subcortical. | Central thalamus is a subcortical structure.","CT is central thalamus, a subcortical structure.","Central thalamus is thalamic, subcortical.",Central thalamus is a subcortical structure.,,,
388,D19,,,PM37461601,13,1,ambiguous,flash,ambiguous,ambiguous,ambiguous,3/3,3-0,,,,,,medium,0.4,"D19 has no fullname; unknown region, cannot determine locus. | D19 without fullname ambiguous; possibly cortical or other. | Acronym D19 with no fullname; could refer to a gene or region, unclear.","D19 has no fullname; unknown region, cannot determine locus.",D19 without fullname ambiguous; possibly cortical or other.,"Acronym D19 with no fullname; could refer to a gene or region, unclear.",,,
389,D2-MSNs,D2-expressing medium spiny neurons,Mouse,PM33380525,13,2,subcortical,flash,subcortical,subcortical,other,2/3,2-1,,,,,,medium,0.8167,"D2-MSNs are medium spiny neurons in the striatum, a subcortical structure. | D2-MSNs are medium spiny neurons in striatum, subcortical. | D2-MSNs are a cell type (medium spiny neurons), not a brain region.","D2-MSNs are medium spiny neurons in the striatum, a subcortical structure.","D2-MSNs are medium spiny neurons in striatum, subcortical.","D2-MSNs are a cell type (medium spiny neurons), not a brain region.",,,
390,dcHPC,dorsal hippocampus,Mouse,PM40204437,13,1,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9867,"Dorsal hippocampus is part of hippocampal formation, classified as subcortical per instructions. | Dorsal hippocampus is part of hippocampal formation, classified as subcortical. | Dorsal hippocampus is part of hippocampal formation, which is subcortical per task definitions.","Dorsal hippocampus is part of hippocampal formation, classified as subcortical per instructions.","Dorsal hippocampus is part of hippocampal formation, classified as subcortical.","Dorsal hippocampus is part of hippocampal formation, which is subcortical per task definitions.",,,
391,DP,dorsal peduncular cortex,Mouse,PM40204437,13,9,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9867,Dorsal peduncular cortex is a cortical area in the prefrontal region. | Dorsal peduncular cortex is a cortical area. | Dorsal peduncular cortex is explicitly a cortical area (contains 'cortex').,Dorsal peduncular cortex is a cortical area in the prefrontal region.,Dorsal peduncular cortex is a cortical area.,Dorsal peduncular cortex is explicitly a cortical area (contains 'cortex').,,,
392,FrA,frontal area,Mouse,PM36944634,13,3,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9867,Frontal area is a region of neocortex. | Frontal area is part of cerebral cortex. | Frontal area is part of cerebral neocortex.,Frontal area is a region of neocortex.,Frontal area is part of cerebral cortex.,Frontal area is part of cerebral neocortex.,,,
393,FSI,parvalbumin-immunopositive fast-spiking interneurons,Mouse,PM37366393,13,5,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9867,"FSI refers to a cell type (fast-spiking interneurons), not a brain region. | FSI denotes a cell type (fast-spiking interneurons), not a brain region. | FSI refers to a cell type (fast-spiking interneurons), not a brain region.","FSI refers to a cell type (fast-spiking interneurons), not a brain region.","FSI denotes a cell type (fast-spiking interneurons), not a brain region.","FSI refers to a cell type (fast-spiking interneurons), not a brain region.",,,
394,ICD,"inferior colliculus, dorsal nucleus",Mouse,PM35514328,13,5,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9867,"Inferior colliculus is a midbrain nucleus, subcortical. | Inferior colliculus dorsal nucleus is a midbrain nucleus, subcortical. | Inferior colliculus is a midbrain nucleus, thus subcortical.","Inferior colliculus is a midbrain nucleus, subcortical.","Inferior colliculus dorsal nucleus is a midbrain nucleus, subcortical.","Inferior colliculus is a midbrain nucleus, thus subcortical.",,,
395,IOM,"inferior olivary nucleus, medial subnucleus",Macaque,PM38240754,13,3,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9867,"Inferior olivary nucleus is a brainstem nucleus, subcortical. | Inferior olivary nucleus medial subnucleus is a brainstem nucleus, subcortical. | Inferior olivary nucleus is a brainstem nucleus, thus subcortical.","Inferior olivary nucleus is a brainstem nucleus, subcortical.","Inferior olivary nucleus medial subnucleus is a brainstem nucleus, subcortical.","Inferior olivary nucleus is a brainstem nucleus, thus subcortical.",,,
396,LCN,lateral cerebellar nucleus,Mouse,PM36230940,13,3,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Lateral cerebellar nucleus is a deep cerebellar nucleus, subcortical. | Lateral cerebellar nucleus is a deep cerebellar nucleus, subcortical. | Lateral cerebellar nucleus is a deep cerebellar nucleus, part of subcortical structures.","Lateral cerebellar nucleus is a deep cerebellar nucleus, subcortical.","Lateral cerebellar nucleus is a deep cerebellar nucleus, subcortical.","Lateral cerebellar nucleus is a deep cerebellar nucleus, part of subcortical structures.",,,
397,LL,lateral lemniscus,Rat,PM37554670,13,4,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9667,"Lateral lemniscus is a brainstem fiber tract, white matter. | Lateral lemniscus is a white matter tract, not gray matter. | Lateral lemniscus is a white-matter tract in the brainstem, not a gray-matter region.","Lateral lemniscus is a brainstem fiber tract, white matter.","Lateral lemniscus is a white matter tract, not gray matter.","Lateral lemniscus is a white-matter tract in the brainstem, not a gray-matter region.",,,
398,LPGi,lateral paragigantocellular nucleus,Mouse,PM41585491,13,10,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Lateral paragigantocellular nucleus is a brainstem nucleus. | Lateral paragigantocellular nucleus is a brainstem nucleus. | Lateral paragigantocellular nucleus is a brainstem nucleus, thus subcortical.",Lateral paragigantocellular nucleus is a brainstem nucleus.,Lateral paragigantocellular nucleus is a brainstem nucleus.,"Lateral paragigantocellular nucleus is a brainstem nucleus, thus subcortical.",,,
399,pgACC,perigenual anterior cingulate cortex,Macaque,PM42362380,13,3,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9667,"Perigenual anterior cingulate cortex is part of cerebral cortex. | Perigenual anterior cingulate cortex is part of cingulate cortex, cortical. | Perigenual anterior cingulate cortex is part of the cingulate cortex, a cortical area.",Perigenual anterior cingulate cortex is part of cerebral cortex.,"Perigenual anterior cingulate cortex is part of cingulate cortex, cortical.","Perigenual anterior cingulate cortex is part of the cingulate cortex, a cortical area.",,,
400,piriform cortex,piriform cortex,Mouse,PM38844444,13,10,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9667,"Piriform cortex is allocortex, part of cerebral cortex. | Piriform cortex is allocortex, part of cerebral cortex. | Piriform cortex is paleocortex (allocortex), classified as cortical per instructions.","Piriform cortex is allocortex, part of cerebral cortex.","Piriform cortex is allocortex, part of cerebral cortex.","Piriform cortex is paleocortex (allocortex), classified as cortical per instructions.",,,
401,PnO,"pontine reticular nucleus, oral part",Mouse,PM38347200,13,11,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Pontine reticular nucleus, oral part is a brainstem nucleus. | Pontine reticular nucleus, oral part, is a brainstem nucleus. | Pontine reticular nucleus (oral part) is a brainstem nucleus, thus subcortical.","Pontine reticular nucleus, oral part is a brainstem nucleus.","Pontine reticular nucleus, oral part, is a brainstem nucleus.","Pontine reticular nucleus (oral part) is a brainstem nucleus, thus subcortical.",,,
402,PrSd,postrhinal dorsal,Mouse,PM36583448,13,3,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9667,Postrhinal cortex is part of cerebral cortex. | Postrhinal cortex is a cortical area in the parahippocampal gyrus. | Postrhinal cortex is part of cerebral cortex.,Postrhinal cortex is part of cerebral cortex.,Postrhinal cortex is a cortical area in the parahippocampal gyrus.,Postrhinal cortex is part of cerebral cortex.,,,
403,PT neurons,corticofugal pyramidal tract neurons,Mouse,PM33420090,13,4,cortical,flash,cortical,cortical,other,2/3,2-1,,,,,,medium,0.9167,"Corticofugal pyramidal tract neurons are cortical neurons. | Corticofugal pyramidal tract neurons are cortical projection neurons. | Cell type (corticofugal pyramidal tract neurons), not a region.",Corticofugal pyramidal tract neurons are cortical neurons.,Corticofugal pyramidal tract neurons are cortical projection neurons.,"Cell type (corticofugal pyramidal tract neurons), not a region.",,,
404,PuI,ventral intermediate pulvinar,Mouse,PM40832125,13,1,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9767,"Pulvinar is a thalamic nucleus, thus subcortical. | Pulvinar is a thalamic nucleus, part of subcortical structures. | Ventral intermediate pulvinar is a thalamic nucleus, subcortical.","Pulvinar is a thalamic nucleus, thus subcortical.","Pulvinar is a thalamic nucleus, part of subcortical structures.","Ventral intermediate pulvinar is a thalamic nucleus, subcortical.",,,
405,PY,pyramidal neuronal,Human,PM33281896,13,4,other,flash,other,ambiguous,other,2/3,2-1,,,,,,medium,0.8167,"Pyramidal neurons are a cell type, not a brain region. | PY (pyramidal neuronal) ambiguous: could be cortical or hippocampal. | Cell type (pyramidal neuronal), not a region.","Pyramidal neurons are a cell type, not a brain region.",PY (pyramidal neuronal) ambiguous: could be cortical or hippocampal.,"Cell type (pyramidal neuronal), not a region.",,,
406,pyramidal neurons,pyramidal neurons,Mouse,PM37384802,13,7,other,flash,other,ambiguous,other,2/3,2-1,,,,,,medium,0.8167,"Pyramidal neurons are a cell type, not a brain region. | Pyramidal neurons found in both cortex and hippocampus; location unspecified. | Cell type (pyramidal neurons), not a region.","Pyramidal neurons are a cell type, not a brain region.",Pyramidal neurons found in both cortex and hippocampus; location unspecified.,"Cell type (pyramidal neurons), not a region.",,,
407,reticular formation,reticular formation,Mouse,PM32883710,13,12,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9767,"Reticular formation is a brainstem structure, subcortical. | Reticular formation is a brainstem structure, classed as subcortical. | Reticular formation is brainstem, subcortical.","Reticular formation is a brainstem structure, subcortical.","Reticular formation is a brainstem structure, classed as subcortical.","Reticular formation is brainstem, subcortical.",,,
408,RTN,retrotrapezoid nucleus,Mouse,PM36213546,13,6,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Retrotrapezoid nucleus is a brainstem nucleus (medulla oblongata), subcortical. | Retrotrapezoid nucleus is a brainstem nucleus, clearly subcortical. | Retrotrapezoid nucleus is a brainstem nucleus (subcortical gray matter).","Retrotrapezoid nucleus is a brainstem nucleus (medulla oblongata), subcortical.","Retrotrapezoid nucleus is a brainstem nucleus, clearly subcortical.",Retrotrapezoid nucleus is a brainstem nucleus (subcortical gray matter).,,,
409,SOA,supraoculomotor area,Macaque,PM36438664,13,5,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Supraoculomotor area is near the oculomotor nucleus in the midbrain, subcortical. | Supraoculomotor area is a midbrain region, subcortical. | Supraoculomotor area is a midbrain region (subcortical gray matter).","Supraoculomotor area is near the oculomotor nucleus in the midbrain, subcortical.","Supraoculomotor area is a midbrain region, subcortical.",Supraoculomotor area is a midbrain region (subcortical gray matter).,,,
410,spinal interneurons,spinal interneurons,Mouse,PM41356801,13,10,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Spinal interneurons are located in the spinal cord, which is subcortical. | Spinal interneurons are located in spinal cord, subcortical. | Spinal interneurons are located in the spinal cord (subcortical).","Spinal interneurons are located in the spinal cord, which is subcortical.","Spinal interneurons are located in spinal cord, subcortical.",Spinal interneurons are located in the spinal cord (subcortical).,,,
411,ST,solitary tract,Rat,PM34416255,13,12,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9833,"Solitary tract is a white-matter fiber bundle, not gray matter. | Solitary tract is a white matter tract in brainstem, not gray matter. | Solitary tract is a white-matter tract in the medulla (fibers).","Solitary tract is a white-matter fiber bundle, not gray matter.","Solitary tract is a white matter tract in brainstem, not gray matter.",Solitary tract is a white-matter tract in the medulla (fibers).,,,
412,TG,trigeminal ganglion,Rat,PM41824792,13,7,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9833,"Trigeminal ganglion is a cranial nerve ganglion (PNS), not CNS gray matter. | Trigeminal ganglion is a peripheral nerve structure, PNS. | Trigeminal ganglion is a cranial nerve ganglion (PNS).","Trigeminal ganglion is a cranial nerve ganglion (PNS), not CNS gray matter.","Trigeminal ganglion is a peripheral nerve structure, PNS.",Trigeminal ganglion is a cranial nerve ganglion (PNS).,,,
413,vagal afferents,vagal afferents,Mouse,PM42342191,13,10,other,flash,other,other,other,3/3,3-0,,,,,,high,0.9833,"Vagal afferents are peripheral nerve fibers of the vagus nerve, not CNS region. | Vagal afferents are peripheral nerve fibers, PNS. | Vagal afferents are nerve fibers of the vagus nerve (PNS).","Vagal afferents are peripheral nerve fibers of the vagus nerve, not CNS region.","Vagal afferents are peripheral nerve fibers, PNS.",Vagal afferents are nerve fibers of the vagus nerve (PNS).,,,
414,vHipp,ventral hippocampus,Mouse,PM41022937,13,10,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.95,"ventral hippocampus is part of hippocampal formation, classified as subcortical. | Ventral hippocampus is part of hippocampal formation, subcortical. | Hippocampal formation (ventral hippocampus) is subcortical.","ventral hippocampus is part of hippocampal formation, classified as subcortical.","Ventral hippocampus is part of hippocampal formation, subcortical.",Hippocampal formation (ventral hippocampus) is subcortical.,,,
415,vM1,ventral primary motor cortex,Mouse,PM38712153,13,6,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.95,"ventral primary motor cortex is neocortex, thus cortical. | Ventral primary motor cortex is part of neocortex. | vM1 is ventral primary motor cortex, a cortical area.","ventral primary motor cortex is neocortex, thus cortical.",Ventral primary motor cortex is part of neocortex.,"vM1 is ventral primary motor cortex, a cortical area.",,,
416,A2,secondary auditory cortex,Mouse,PM33328909,12,6,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.95,"secondary auditory cortex is neocortex, thus cortical. | Secondary auditory cortex is a cortical area. | Secondary auditory cortex is part of cerebral cortex.","secondary auditory cortex is neocortex, thus cortical.",Secondary auditory cortex is a cortical area.,Secondary auditory cortex is part of cerebral cortex.,,,
