record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence,final_reason,seed_old_label,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
1772,layer 2/3 PPC,layer 2/3 of posterior parietal cortex,Mouse,PM37662297,3,1,neocortex,flash,high,0.95,"PPC is posterior parietal cortex, a neocortical area. | PPC is posterior parietal cortex, a neocortical area; layer 2/3 locates within it. | Posterior parietal cortex (PPC) is a neocortical association area.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,"PPC is posterior parietal cortex, a neocortical area.","PPC is posterior parietal cortex, a neocortical area; layer 2/3 locates within it.",Posterior parietal cortex (PPC) is a neocortical association area.,,,
1773,layer 5 pyramidal neurons,layer 5 pyramidal neurons,Rat,PM34296174,3,2,neocortex,flash,medium,0.8,"Layer 5 pyramidal neurons are typically located in neocortex. | 'Layer 5 pyramidal neurons' implies neocortical layer 5; no region given but conventional usage. | Describes a neuronal type (layer 5 pyramidal neurons), not a brain region.",cortical,neocortex,neocortex,other,2/3,2-1,,,,,,Layer 5 pyramidal neurons are typically located in neocortex.,'Layer 5 pyramidal neurons' implies neocortical layer 5; no region given but conventional usage.,"Describes a neuronal type (layer 5 pyramidal neurons), not a brain region.",,,
1774,layer I,layer I,Mouse,PM36476865,3,3,neocortex,flash,medium,0.8,Layer I is a layer of neocortex. | 'Layer I' alone is ambiguous; could be neocortex or other cortical structures. | Layer I is a cortical layer of neocortex.,cortical,neocortex,ambiguous,neocortex,2/3,2-1,,,,,,Layer I is a layer of neocortex.,'Layer I' alone is ambiguous; could be neocortex or other cortical structures.,Layer I is a cortical layer of neocortex.,,,
1775,layer V CMNs,,Mouse,PM34973965,3,1,neocortex,flash,high,0.8333,"Layer V is a neocortical layer; CMNs likely corticomotoneurons. | 'Layer V' is neocortical; 'CMNs' likely corticospinal motor neurons located there. | Layer V is a neocortical layer; 'CMNs' likely corticomotoneurons, still neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Layer V is a neocortical layer; CMNs likely corticomotoneurons.,'Layer V' is neocortical; 'CMNs' likely corticospinal motor neurons located there.,"Layer V is a neocortical layer; 'CMNs' likely corticomotoneurons, still neocortex.",,,
1776,LC-NA neurons,noradrenergic neurons in the locus coeruleus,,PM32598024,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1777,LC-NE,locus coeruleus norepinephrine neurons,,PM32354756,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1778,LC6,LC6,,PM35410869,3,1,ambiguous,flash,medium,0.4667,"LC6 likely refers to a subregion of locus coeruleus, a brainstem nucleus. | 'LC6' unclear; could be locus coeruleus (non_neocortex) or other structure. | Acronym 'LC6' ambiguous: could be locus coeruleus (non-neocortex) or other.",ambiguous,non_neocortex,ambiguous,ambiguous,2/3,2-1,,,,,,"LC6 likely refers to a subregion of locus coeruleus, a brainstem nucleus.",'LC6' unclear; could be locus coeruleus (non_neocortex) or other structure.,Acronym 'LC6' ambiguous: could be locus coeruleus (non-neocortex) or other.,,,
1779,Ld2,,Mouse,PM40200030,3,1,ambiguous,flash,medium,0.3333,"Ld2 could refer to laterodorsal thalamic nucleus or other; cannot decide. | 'Ld2' not a standard region abbreviation; cannot determine neocortex or not. | Ld2 unclear; possible laterodorsal thalamus or other, insufficient info.",ambiguous,ambiguous,ambiguous,ambiguous,3/3,3-0,,,,,,Ld2 could refer to laterodorsal thalamic nucleus or other; cannot decide.,'Ld2' not a standard region abbreviation; cannot determine neocortex or not.,"Ld2 unclear; possible laterodorsal thalamus or other, insufficient info.",,,
1780,LdmPFC,left dorsomedial prefrontal cortex,Mouse,PM42034280,3,1,neocortex,flash,high,0.9833,Left dorsomedial prefrontal cortex is part of neocortex. | dorsomedial prefrontal cortex is neocortex | Prefrontal cortex (dorsomedial) is part of neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Left dorsomedial prefrontal cortex is part of neocortex.,dorsomedial prefrontal cortex is neocortex,Prefrontal cortex (dorsomedial) is part of neocortex.,,,
1781,left cerebellum crus I,cerebellum crus I,,PM33095382,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1782,left dorsolateral putamen,dorsolateral putamen,Human,PM42252837,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1783,left motor cortex,contralesional (left) motor cortex,Rat,PM35552276,3,2,neocortex,flash,high,0.9833,Motor cortex is neocortex. | motor cortex is neocortex | Motor cortex is a primary neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Motor cortex is neocortex.,motor cortex is neocortex,Motor cortex is a primary neocortical area.,,,
1784,left parietal cortex,,Human,PM36237410,3,1,neocortex,flash,high,0.9833,Parietal cortex is neocortex. | parietal cortex is neocortex | Parietal cortex is part of isocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Parietal cortex is neocortex.,parietal cortex is neocortex,Parietal cortex is part of isocortex.,,,
1785,left PHG,,,PM39103495,3,1,non_neocortex,flash,high,0.9167,"PHG is parahippocampal gyrus, allocortex/mesocortex, not neocortex. | PHG = parahippocampal gyrus, part of allocortex | PHG stands for parahippocampal gyrus, a mesocortical region.",cortical,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,,,,,,"PHG is parahippocampal gyrus, allocortex/mesocortex, not neocortex.","PHG = parahippocampal gyrus, part of allocortex","PHG stands for parahippocampal gyrus, a mesocortical region.",,,
1786,left posterior cingulate gyrus,,Human,PM35432176,3,1,non_neocortex,flash,medium,0.8,"Posterior cingulate gyrus is limbic allocortex/mesocortex, not typical neocortex. | posterior cingulate gyrus is mesocortex, typically non_neocortex | Posterior cingulate gyrus is limbic/mesocortex, not neocortex.",cortical,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,,,,,,"Posterior cingulate gyrus is limbic allocortex/mesocortex, not typical neocortex.","posterior cingulate gyrus is mesocortex, typically non_neocortex","Posterior cingulate gyrus is limbic/mesocortex, not neocortex.",,,
1787,left striatum,striatum,,PM35153656,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1788,lemniscal nuclei,,,PM41108202,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1789,LH/ZI,lateral hypothalamus/zona incerta,Mouse,PM39233365,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1790,LHAstress-TRAP,lateral hypothalamus stress-TRAP,Mouse,PM41722046,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1791,LHb-l,lateral division of the lateral habenula nucleus,Mouse,PM39605808,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1792,LHb-m,medial division of the lateral habenula nucleus,Mouse,PM39605808,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1793,limbic sub-region,,,PM34999565,3,1,ambiguous,flash,medium,0.5667,"Limbic sub-region is vague; could be any limbic structure, mostly non-neocortex but uncertain. | limbic sub-region likely allocortex/mesocortex | Limbic sub-region could be neocortex (e.g., cingulate) or non-neocortex (e.g., hippocampus).",ambiguous,ambiguous,non_neocortex,ambiguous,2/3,2-1,,,,,,"Limbic sub-region is vague; could be any limbic structure, mostly non-neocortex but uncertain.",limbic sub-region likely allocortex/mesocortex,"Limbic sub-region could be neocortex (e.g., cingulate) or non-neocortex (e.g., hippocampus).",,,
1794,limbic system,limbic system,Human,PM35076030,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1795,limbic thalamus,limbic thalamus,Mouse,PM35645738,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1796,LLDm,,,PM41108202,3,1,non_neocortex,flash,medium,0.7833,"LLDm likely lateral dorsal thalamic nucleus (non-neocortex). | LLDm typically lateral lemniscus dorsal nucleus, brainstem auditory (non-neocortex) | LLDm is lateral dorsal nucleus of thalamus, a non-neocortical gray matter region.",ambiguous,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,,,,,,LLDm likely lateral dorsal thalamic nucleus (non-neocortex).,"LLDm typically lateral lemniscus dorsal nucleus, brainstem auditory (non-neocortex)","LLDm is lateral dorsal nucleus of thalamus, a non-neocortical gray matter region.",,,
1797,lM2,left secondary motor cortex,Rat,PM36157577,3,1,neocortex,flash,high,0.9767,left secondary motor cortex is neocortex. | Fullname 'left secondary motor cortex' clearly neocortex | Secondary motor cortex (M2) is part of neocortex; fullname confirms.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,left secondary motor cortex is neocortex.,Fullname 'left secondary motor cortex' clearly neocortex,Secondary motor cortex (M2) is part of neocortex; fullname confirms.,,,
1798,lobule X,lobule X,,PM39467650,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1799,LPBCCK,lateral parabrachial nucleus CCK neurons,Mouse,PM36930206,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1800,LRt,lateral reticular nucleus,Mouse,PM39494735,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1801,LS Crfr2α+,lateral septum Crfr2α-positive neurons,Mouse,PM42162422,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1802,LS Crhr2,lateral septum Crhr2-expressing neurons,,PM40585201,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1803,LSN,lateral spinal nucleus,Mouse,PM42126073,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1804,LSPnoc,,Mouse,PM40153436,3,1,ambiguous,flash,medium,0.5,LSPnoc likely lateral septal nucleus posterior (non-neocortex). | Acronym LSPnoc not standard; no fullname; cannot confidently assign | Acronym LSPnoc ambiguous; likely non-neocortical but cannot confirm with fullname.,ambiguous,non_neocortex,ambiguous,ambiguous,2/3,2-1,,,,,,LSPnoc likely lateral septal nucleus posterior (non-neocortex).,Acronym LSPnoc not standard; no fullname; cannot confidently assign,Acronym LSPnoc ambiguous; likely non-neocortical but cannot confirm with fullname.,,,
1805,lung innervating sensory neurons,lung innervating sensory neurons,,PM34755535,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1806,lung tissue,,,PM36358412,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1807,LVLat SPBN,lateral ventral lateral spinal projection neurons,,PM39487174,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1808,M1 L1,primary motor cortex layer 1,Mouse,PM32559228,3,1,neocortex,flash,high,0.9833,primary motor cortex layer 1 is neocortex. | Primary motor cortex layer 1 is neocortex | Primary motor cortex layer 1 is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,primary motor cortex layer 1 is neocortex.,Primary motor cortex layer 1 is neocortex,Primary motor cortex layer 1 is neocortex.,,,
1809,M1 leg area,primary motor cortex leg area,,PM34624846,3,1,neocortex,flash,high,0.9833,primary motor cortex leg area is neocortex. | Primary motor cortex leg area is neocortex | Primary motor cortex leg area is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,primary motor cortex leg area is neocortex.,Primary motor cortex leg area is neocortex,Primary motor cortex leg area is neocortex.,,,
1810,MD-L,lateral subnucleus of mediodorsal thalamus,Mouse,PM40908583,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1811,MD-M,medial subnucleus of mediodorsal thalamus,Mouse,PM40908583,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1812,MDc,mediodorsal thalamic nucleus (central part),Macaque,PM41840687,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1813,MdD,medullary reticular nucleus,,PM39778623,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1814,medial geniculate body,medial geniculate body,Human,PM36115054,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1815,medial OFC,medial orbitofrontal cortex,Mouse,PM38155094,3,2,neocortex,flash,high,0.9767,medial orbitofrontal cortex is neocortex. | Medial orbitofrontal cortex is part of prefrontal neocortex | Medial orbitofrontal cortex is part of prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,medial orbitofrontal cortex is neocortex.,Medial orbitofrontal cortex is part of prefrontal neocortex,Medial orbitofrontal cortex is part of prefrontal neocortex.,,,
1816,medial sensorimotor cortex,medial sensorimotor cortex,Mouse,PM36823038,3,3,neocortex,flash,high,0.9667,Medial sensorimotor cortex is neocortex (sensorimotor areas are neocortical). | medial sensorimotor cortex is part of isocortex | Medial sensorimotor cortex is part of neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Medial sensorimotor cortex is neocortex (sensorimotor areas are neocortical).,medial sensorimotor cortex is part of isocortex,Medial sensorimotor cortex is part of neocortex.,,,
1817,medial-tract PN,medial tract projection neuron,,PM33988500,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1818,median preoptic nucleus,median preoptic nucleus,,PM41604462,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1819,mediodorsal nucleus of the thalamus,mediodorsal nucleus of the thalamus,Macaque,PM39658838,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1820,medullary dorsal horn,superficial layer of the medullary dorsal horn,Rat,PM38556265,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1821,medullary pyramid,medullary pyramid,Macaque,PM34624846,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1822,medullary pyramids,medullary pyramids,Mouse,PM38423792,3,3,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1823,MeP,posterior medial amygdala nucleus,Rat,PM40352758,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1824,MFB,medial forebrain bundle,Rat,PM35869680,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1825,MI cortex,motor cortex (MI),Rat,PM34665323,3,1,neocortex,flash,high,0.9667,MI (motor cortex) is a neocortical area. | MI (motor cortex) is primary motor neocortex | MI (motor cortex) is primary motor neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,MI (motor cortex) is a neocortical area.,MI (motor cortex) is primary motor neocortex,MI (motor cortex) is primary motor neocortex.,,,
1826,mitral cells,mitral cells,Mouse,PM40057769,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1827,MMA,Medio-Medial-Anterior cortex,Mouse,PM33159207,3,1,neocortex,flash,medium,0.7167,Medio-Medial-Anterior cortex is a neocortical region in mouse. | Medio-Medial-Anterior cortex is likely neocortical area | MMA likely refers to a medial prefrontal neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Medio-Medial-Anterior cortex is a neocortical region in mouse.,Medio-Medial-Anterior cortex is likely neocortical area,MMA likely refers to a medial prefrontal neocortical area.,,,
1828,MOG,middle occipital gyrus,,PM41493598,3,2,neocortex,flash,high,0.9667,Middle occipital gyrus is part of neocortex (occipital lobe). | middle occipital gyrus is neocortex (occipital lobe) | Middle occipital gyrus is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Middle occipital gyrus is part of neocortex (occipital lobe).,middle occipital gyrus is neocortex (occipital lobe),Middle occipital gyrus is neocortex.,,,
1829,"MOs, AId, OLF, CTXsp",,,PM40654623,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1830,MOs-2,,,PM36309684,3,1,neocortex,flash,medium,0.7667,"MOs (secondary motor cortex) is a neocortical area; -2 suggests subregion. | MOs-2 likely secondary motor cortex (neocortex) | MOs likely secondary motor cortex, neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,MOs (secondary motor cortex) is a neocortical area; -2 suggests subregion.,MOs-2 likely secondary motor cortex (neocortex),"MOs likely secondary motor cortex, neocortex.",,,
1831,motor nuclei,motor nuclei,Rat,PM35343727,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1832,mPFC L5,medial prefrontal cortex layer 5,Mouse,PM40521117,3,1,neocortex,flash,high,0.9667,mPFC (medial prefrontal cortex) is neocortex; layer 5 is cortical layer. | medial prefrontal cortex layer 5 is neocortex | mPFC is medial prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,mPFC (medial prefrontal cortex) is neocortex; layer 5 is cortical layer.,medial prefrontal cortex layer 5 is neocortex,mPFC is medial prefrontal neocortex.,,,
1833,MPO,medial preoptic area,Mouse,PM40196592,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1834,MPO/MPA,,,PM39805973,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1835,MPT,medial pretectal area,,PM40090880,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1836,MRGPRA3+ primary afferents,MRGPRA3+ primary afferents,Mouse,PM34986325,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1837,MSDB,medial septum-diagonal band of Broca,Mouse,PM36342657,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1838,Multiple brain areas,,Mouse,PM34139240,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1839,multiple cortical and subcortical areas,,,PM35474896,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1840,multiple subcortical targets,,,PM40777408,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1841,MVe,medial vestibular nucleus,Mouse,PM41578852,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1842,NAc D1R,nucleus accumbens dopamine D1 receptor neurons,Mouse,PM36944111,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1843,NAc-S D1-SPNs,nucleus accumbens shell D1-expressing SPNs,Rat,PM41222464,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1844,NAcSOM+,nucleus accumbens SOM+ neurons,Mouse,PM37590414,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1845,NBM/SIp,nucleus basalis magnocellularis/substantia innominata pars major,Mouse,PM38405824,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1846,NC,,,PM42133082,3,1,neocortex,flash,medium,0.6,Acronym NC is ambiguous; could be neocortex or other structures. | NC conventional acronym for neocortex; fullname empty | NC commonly abbreviates neocortex; no fullname provided.,ambiguous,ambiguous,neocortex,neocortex,2/3,2-1,,,,,,Acronym NC is ambiguous; could be neocortex or other structures.,NC conventional acronym for neocortex; fullname empty,NC commonly abbreviates neocortex; no fullname provided.,,,
1847,NDNF L1INs,neuron-derived neurotrophic factor Layer 1 inhibitory interneurons,,PM38743567,3,1,neocortex,flash,high,0.9667,"NDNF L1 inhibitory interneurons are located in Layer 1 of neocortex. | Layer 1 inhibitory interneurons reside in neocortex | NDNF L1INs are layer 1 interneurons, part of neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,NDNF L1 inhibitory interneurons are located in Layer 1 of neocortex.,Layer 1 inhibitory interneurons reside in neocortex,"NDNF L1INs are layer 1 interneurons, part of neocortex.",,,
1848,NDNF+,NDNF+ interneurons,Mouse,PM33188733,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1849,NDNF-INs,NDNF-expressing interneurons,Mouse,PM39071266,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1850,neocortical visuomotor regions,,Human,PM40750361,3,1,neocortex,flash,high,0.9867,"Explicitly names neocortical visuomotor regions, which are neocortex. | Neocortical visuomotor regions are clearly neocortex | Explicitly 'neocortical visuomotor regions'.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,"Explicitly names neocortical visuomotor regions, which are neocortex.",Neocortical visuomotor regions are clearly neocortex,Explicitly 'neocortical visuomotor regions'.,,,
1851,networked regions,networked regions,Mouse,PM35042795,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1852,neurons,neurons,Mouse,PM37813563,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1853,neurotensin-expressing neurons,neurotensin-expressing neurons,Mouse,PM42454582,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1854,NG neurons,nodose ganglion neurons,Mouse,PM37004577,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1855,NRM,nucleus raphe magnus,Mouse,PM36752606,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1856,NTSNE,nucleus tractus solitarius noradrenergic neurons,Mouse,PM38446848,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1857,OB mitral cells,olfactory bulb mitral cells,Mouse,PM35129439,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1858,ObOc,accessory oculomotor nucleus,,PM33598920,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1859,OC,occipital cortex,Mouse,PM36062147,3,3,neocortex,flash,high,0.99,Occipital cortex (OC) is part of neocortex. | Occipital cortex is part of neocortex | Occipital cortex is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Occipital cortex (OC) is part of neocortex.,Occipital cortex is part of neocortex,Occipital cortex is neocortex.,,,
1860,oculomotor nucleus,oculomotor nucleus,,PM41957684,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1861,OLMα2,OLMα2 cells,,PM40757734,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1862,optic tectum,,,PM38819436,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1863,orbital cortex,orbital cortex,Mouse,PM41279263,3,3,neocortex,flash,high,0.99,Orbital cortex is a region of prefrontal neocortex. | Orbital cortex is prefrontal neocortex | Orbital cortex is orbitofrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Orbital cortex is a region of prefrontal neocortex.,Orbital cortex is prefrontal neocortex,Orbital cortex is orbitofrontal neocortex.,,,
1864,OTD1,olfactory tubercle D1 neurons,,PM39475384,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1865,OTD2,olfactory tubercle D2 neurons,,PM39475384,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1866,OVLT,organum vasculosum of the lamina terminalis,Mouse,PM37784240,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1867,Oxtr-HI,Oxtr-positive hilar neurons,Mouse,PM33311459,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1868,Oxytocin neurons,oxytocin neurons (PVH),Mouse,PM39585985,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1869,PA,proprioceptive afferents,,PM33819448,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1870,pancreatic β-cell compartment,pancreatic β-cell compartment,Mouse,PM39005380,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1871,parabrachial nuclei,parabrachial nuclei,Mouse,PM40663610,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1872,parafascicular thalamus,parafascicular thalamus,,PM33730568,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1873,parallel fiber,parallel fiber,Mouse,PM37741947,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1874,parasubiculum,parasubiculum,,PM32656783,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1875,paraventricular nucleus of the hypothalamus,paraventricular nucleus of hypothalamus,Rat,PM38811166,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1876,parvicellular VPM,parvicellular ventral posteromedial subnucleus,,PM39197940,3,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1877,patchy dSPNs,patchy direct-pathway spiny projection neurons,Mouse,PM41472677,3,2,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1878,patchy neuron,patchy neuron,,PM41032042,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1879,patchy neurons,patchy neurons,Mouse,PM40093044,3,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
1880,PBil,internal lateral nucleus,Mouse,PM42126073,3,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1881,PBP,parabrachial pigmented nucleus,Primate,PM38293165,3,3,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
